"code_bss_old","code_bss_new","point_name","code_insee","lon","lat","altitude","nb_results_ades_all_params","year_min","year_max","nb_parameters","nb_results","info_up_date"
"02791X0053/HY","BSS000VMEW","KERNO - RQ N.70","22001",-2.85740793066052,48.3373768714092,210.00,29508,2001,2024,34,1026,"2024-10-31"
"02855X0005/P","BSS000VWHR","Puits de la Touche (Commer - 53)","53072",-0.640439398772874,48.2544685110185,110.00,27703,1988,2024,35,1124,"2024-10-31"
"02855X0008/P5","BSS000VWHU","Puits de la Corbelière ( St George de Buttavent - 53)","53219",-0.716500752618898,48.3153414074087,135.00,26136,2001,2024,33,882,"2024-10-31"
"02877X0003/F","BSS000VXSR","Forage de Pentvert (Saosnes - 72)","72326",0.266076947599608,48.3279183229423,110.00,60667,1981,2024,34,1619,"2024-10-31"
"03104X0007/HY","BSS000XCNT","SOURCE DE COATILIGER (SAINT-SÉGAL - 29)","29263",-4.0503196914259,48.2341975571565,104.00,19648,2001,2024,34,658,"2024-10-31"
"03137X0023/P1","BSS000XHTX","GUILY","56125",-3.03684271259217,48.0650124492139,163.00,19853,2007,2024,34,706,"2024-10-31"
"03208X0013/P","BSS000XWRQ","Puits des Roussières (St-Christophe-du-Luat - 53)","53207",-0.445187406506583,48.1326706625103,87.00,23792,1984,2024,34,919,"2024-10-31"
"03556X0026/FEX","BSS000ZSBP","Forage de la Haie - les Friches (Cosse-le-Vivien - 53)","53077",-0.954978317699382,47.9383488749518,65.00,25570,1988,2022,34,789,"2024-10-31"
"03591X0033/P","BSS000ZVQR","Puits de Disse (St-Mars-la-Brière - 72)","72300",0.384898518522023,48.0363953171823,59.00,21653,2007,2024,34,542,"2024-10-31"
"03622X0090/FAEP","BSS000ZZAK","Forage du château d'eau (Peronville - 28 )","28296",1.57744072721107,48.0524874828032,133.00,41620,1987,2024,34,1140,"2024-10-31"
"03812X0025/S1","BSS001BCDE","Forage de Pont-l'Abbé (Pont-l'Abbé - 29)","29220",-4.21759276735952,47.8787881366744,28.00,19591,2007,2024,34,839,"2024-10-31"
"03855X0002/HY","BSS001BHCC","LOCMEREN DES PRES - RQ N.91","56067",-2.80992128015243,47.752846731542,95.00,25616,1996,2024,35,930,"2024-10-31"
"03861X0055/P1","BSS001BHRB","LE PRASSAY","56197",-2.46369960285857,47.8737002891751,58.00,26404,2006,2024,35,1133,"2024-10-31"
"03951X0510/F","BSS001BSKF","PUITS DE MONT À REGRET ( CHAPELLE-HUON - 72)","72064",0.752926740731295,47.8484724355829,75.00,17697,2001,2024,33,496,"2024-10-31"
"03981X0140/F2AEP","BSS001BZCR","FORAGE DES MUIDS ( MEZIÈRES-LES-CLERY - 45)","45204",1.80770907797194,47.8416245750872,98.00,20621,1991,2024,34,627,"2024-10-31"
"03995X0035/F","BSS001CHJX","Forage de Tigy Sologne (Tigy - 45)","45324",2.16011755882283,47.7616858911171,143.00,17680,2007,2024,34,440,"2024-10-31"
"04236X0027/SI-1","BSS001DNVY","PUITS DE AVRILLE (AVRILLE - 49)","49015",-0.625191122279453,47.5201096444669,47.00,28849,2007,2024,34,745,"2024-10-31"
"04572X0032/F2AEP","BSS001FFUL","Forage des Chaufours (Pernay - 37)","37182",0.487570886867259,47.4419680188258,76.00,28282,1985,2024,34,762,"2024-10-31"
"04592X0008/F2","BSS001FNCH","Forage de la Clochetière (Chaumont-sur-Loire - 41)","41045",1.18696688645642,47.4687272734947,109.00,21223,1986,2024,34,716,"2024-10-31"
"04807X0020/F","BSS001GNYT","Forage de la Blonnetais (Frossay - 44)","44061",-1.89817258803712,47.2210522182587,5.00,20642,1987,2024,34,810,"2024-10-31"
"04818X0181/F2","BSS001HBAA","Forage et puits de l'Ile Lorideau (Basse-Goulaine - 44)","44009",-1.46857965274238,47.2317116744809,5.00,23627,2001,2024,34,652,"2024-10-31"
"04911X0007/PAEP1","BSS001HTAF","Puits du Pont du Cher (Mennetou-sur-Cher - 18)","41135",1.86871384949884,47.2658934316272,89.00,21805,2007,2024,33,532,"2024-10-31"
"04925X0007/PAEP3","BSS001HUNA","PUITS DE LA PRAIRIE (FOECY - 18)","18096",2.17021016431804,47.1875437502894,107.00,26656,1991,2024,35,763,"2024-10-31"
"04933X0005/HYAEP","BSS001HVAS","Source de la Fontaine Guellard (Crezancy-en-Sancerre - 18)","18079",2.71814713404136,47.3172202778336,244.71,23992,2007,2024,34,581,"2024-10-31"
"04933X0010/HYAEP","BSS001HVAX","Source de la Fontaine Godard ( Veaugues - 18 )","18272",2.7498145193969,47.2640828556403,215.00,25327,1991,2024,34,848,"2024-10-31"
"05068X0002/F2","BSS001JNJJ","Forage de l'Epine (Epine - 85)","85083",-2.23892367875052,46.9925936959775,1.00,17775,2007,2024,33,593,"2024-10-31"
"05108X0501/F","BSS001JYHX","Puits de Maulevrier ( Maulevrier - 49)","49192",-0.740178867916027,47.0268477858039,160.00,25467,2007,2024,33,593,"2024-10-31"
"00443X0017/HY","BSS000DVCD","SOURCE DE LA VIMEUSE(FRETTEMEULE-76)","80362",1.6317033292087,50.0148248077933,60.00,18782,2007,2022,25,547,"2024-10-31"
"00515X0118/HY","BSS000EJBN","LA FONTAINE DES FIEVRES( LA BOUTEILLE-02)","02109",3.97916761204189,49.88907601245,137.90,22920,2005,2024,34,826,"2024-10-31"
"00518X0001/S1AEP","BSS000EJLU","STATION DE POMPAGE LE CHALET(LA NEUVILLE-AUX-JOUTES-08)","08318",4.24916241378433,49.9238793796768,251.00,24108,2007,2024,35,836,"2024-10-31"
"00861X0001/PAEP","BSS000FYPG","BOIS BLANC STATION POMPAGE(GRANDCHAMP-08)","08196",4.39533078840304,49.6478525958848,144.00,26859,1997,2024,35,1091,"2024-10-31"
"00861X0032/PAEP","BSS000FYQP","MOUZON Captage de DE JUSTINE- HERBIGNY(WASIGNY-08)","08499",4.33746540635612,49.611624454093,87.00,11276,2007,2024,35,364,"2024-10-31"
"00986X0085/S","BSS000GKYC","SOURCE DU VIVIER(SAINT-GERMAIN-VILLAGE-27)","27549",0.496215680534654,49.3435990809246,50.00,85824,1996,2024,35,2286,"2024-10-31"
"00994B0114/F","BSS000GMJK","PETIT CAPTAGE DE LA S.L.E.E. F(MAROMME-76)","76410",1.04649492029827,49.4789211843561,18.00,70022,1999,2024,34,1809,"2024-10-31"
