"code_station","x_l93","y_l93","x_longitude","y_latitude","nb_reseaux_distincts","nb_resultats_fw_params","date_min_fw_params","date_max_fw_params","info_up_date"
"03249030",415176,6865288,-0.8810077804214103,48.82464440002695,0,472,1998-01-14,2023-12-13,"2024-12-06"
"03249200",412839,6864638,-0.9123613500943464,48.817768968328984,0,693,1997-06-25,2023-12-13,"2024-12-06"
"03249300",411380,6864457,-0.9320837116561433,48.815491641062884,0,1761,1997-02-17,2024-09-30,"2024-12-06"
"03249515",421188,6869678,-0.8020942345247238,48.866707641111184,0,556,1997-06-25,2023-12-13,"2024-12-06"
"03249595",414982.4,6869554.53,-0.8865006236750882,48.862882634320215,0,1835,1997-06-25,2024-09-30,"2024-12-06"
"03249880",413631,6871401,-0.9061428708234247,48.8788684523189,0,573,1997-06-25,2020-11-16,"2024-12-06"
"03250055",416972,6875465,-0.8633539111838949,48.91684881556501,0,922,1997-06-25,2024-07-09,"2024-12-06"
"03250110",415453.38,6876482.36,-0.8847325061198711,48.925316858358514,0,2331,1990-07-12,2024-09-30,"2024-12-06"
"03250430",415263,6878911,-0.888959114856949,48.94704584718671,0,3514,1990-02-05,2024-09-30,"2024-12-06"
"03250475",409650.28,6877977.22,-0.9648506524952263,48.936150176427915,0,3515,1990-02-05,2024-09-30,"2024-12-06"
"03250575",405986.84,6874577.12,-1.0124336451838643,48.9039497261652,0,797,1997-06-25,2024-07-09,"2024-12-06"
"03250585",405806,6875587,-1.0155976107955182,48.91293699435797,0,782,1998-01-14,2022-11-08,"2024-12-06"
"03250797",402846,6885237,-1.0627003403206696,48.99823911604737,0,2649,2007-01-11,2024-08-21,"2024-12-06"
"03250975",406349.58,6891422.84,-1.019183409839247,49.05539956612855,0,1309,2008-08-13,2024-07-10,"2024-12-06"
"03251190",401195.97,6895115.24,-1.0922123953998735,49.08617667136093,0,5287,1990-02-05,2024-09-30,"2024-12-06"
"03252500",400019,6905292,-1.115559955303241,49.17700135586317,0,3204,1990-03-01,2024-10-02,"2024-12-06"
"03252755",405227,6908533,-1.0465120075598835,49.20851891079318,0,1696,1998-02-24,2024-08-21,"2024-12-06"
