point_id,year,ArsenAs mg*kg-1,Azot amonowyNNH4 mg*kg-1,Azot azotanowyNNO3 mg*kg-1,Azot ogólny%,"BN-78/9180-11: 0,1-0,02 mmudział w %","BN-78/9180-11: 1,0-0,1 mmudział w %",BN-78/9180-11: < 0.02 mmudział w %,BarBa mg*kg-1,BerylBe mg*kg-1,ChromCr mg*kg-1,CynkZn mg*kg-1,Fosfor przyswajalnymg P2O5* 100g-1,Fosfor%,"Glin wymienny ""Al""cmol(+)*kg-1",Glin%,KadmCd mg*kg-1,KobaltCo mg*kg-1,Kwasowośc wymienna (Hw)cmol(+)*kg-1,Kwasowość hydrolityczna (Hh)cmol(+)*kg-1,LantanLa mg*kg-1,LitLi mg*kg-1,Magnez przyswajalnymg Mg*100g-1,Magnez wymienny (Mg2+)cmol(+)*kg-1,Magnez%,ManganMn mg*kg-1,MiedźCu mg*kg-1,NikielNi mg*kg-1,"Odczyn ""pH "" w zawiesinie H2OpH","Odczyn ""pH "" w zawiesinie KClpH",OłówPb mg*kg-1,"PTG 2008: 0,05-0,002 mmudział w %","PTG 2008: 2,0-0,05 mmudział w %",PTG 2008: < 0.002 mmudział w %,Pestycydy - zwiazki nie chlorowe - atrazinmg*kg-1,Pestycydy - zwiazki nie chlorowe - carbarylmg*kg-1,Pestycydy - zwiazki nie chlorowe - carbofuranmg*kg-1,Pestycydy chloroorganiczne - DDT/DDE/DDDmg*kg-1,Pestycydy chloroorganiczne - aldrinmg*kg-1,Pestycydy chloroorganiczne - alfa-HCHmg*kg-1,Pestycydy chloroorganiczne - beta-HCHmg*kg-1,Pestycydy chloroorganiczne - dieldrinmg*kg-1,Pestycydy chloroorganiczne - endrinmg*kg-1,Pestycydy chloroorganiczne - gamma-HCHmg*kg-1,Pojemność sorpcyjna gleby (T)cmol(+)*kg-1,Potas przyswajalnymg K2O*100g-1,Potas wymienny (K+)cmol(+)*kg-1,Potas%,Przewodnictwo elektryczne właściwemS*m-1,Próchnica%,RadioaktywnośćBq*kg-1,RtecHg mg*kg-1,Siarka przyswajalnamg S-SO4*100g-1,Siarka%,Stosunek C/Nnan,StrontSr mg*kg-1,Suma kationów wymiennych (S)cmol(+)*kg-1,Sód wymienny (Na+)cmol(+)*kg-1,Sód%,WWA - antracenµg*kg-1,WWA - benzo(a)antracenµg*kg-1,WWA - benzo(a)fluorantenµg*kg-1,WWA - benzo(a)pirenµg*kg-1,WWA - benzo(b)fluorantenµg*kg-1,WWA - benzo(ghi)perylenµg*kg-1,WWA - benzo(k)fluorantenµg*kg-1,WWA - chryzenµg*kg-1,"WWA - dibenzo(a,h)antracenµg*kg-1",WWA - fenantrenµg*kg-1,WWA - fluorantenµg*kg-1,WWA - fluorenµg*kg-1,"WWA - indeno(1,2,3-cd)pirenµg*kg-1",WWA - naftalenµg*kg-1,WWA - pirenµg*kg-1,WanadV mg*kg-1,Wapń wymianny (Ca2+)cmol(+)*kg-1,Wapń%,Wielopierscieniowe weglowodory aromatyczne suma 13 WWAµg*kg-1,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V)%,Węgiel organiczny%,Węglany (CaCO3)%,Zasoleniemg KCl*100g-1,Żelazo%
7,2005,,,,0.07,25.0,49.0,26.0,33.6,0.3,13.6,41.1,8.9,0.037,,0.98,0.1,1.19,,1.95,8.7,7.9,6.0,0.61,0.2,314.0,8.3,8.3,6.8,6.0,11.0,,,8.0,,,,,,,,,,,11.75,21.1,0.57,0.19,11.5,1.39,636.0,,1.28,0.019,11.6,8.7,9.8,0.03,0.007,,,,,,,,,,,,,,,,23.3,8.59,0.2,767.0,83.4,0.81,,30.4,1.34
7,2010,,,,0.097,30.0,41.0,29.0,28.3,0.31,14.7,39.5,3.9,0.033,,0.62,0.11,3.0,,3.15,8.4,5.9,6.3,0.51,0.13,248.0,8.8,9.2,6.3,5.5,13.1,36.0,60.0,4.0,,,,,,,,,,,8.73,9.4,0.28,0.07,6.06,1.9,623.0,,1.28,0.014,11.3,5.2,5.58,0.18,0.001,,,,,,,,,,,,,,,,18.4,4.61,0.13,644.1,63.9,1.1,,15.99,1.13
7,2015,3.19,10.61,7.3,0.13,29,40,31,31.8,0.35,13.1,27.4,3.0,0.03,0.06,0.72,0.09,3.33,0.18,2.18,8.1,7.2,4.8,0.18,0.14,242,5.7,7.3,6.1,5.2,10.5,35,57,8,"<0,001","<0,001","<0,001",0.024,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",8.05,8.9,0.51,0.07,5.63,1.98,827,0.04,0.43,0.017,8.8,6.4,5.87,0.04,0.004,5.2,20.3,6.6,25.9,39.1,23.2,15.3,25.8,8.2,23.0,45.0,1.8,25.1,3.9,40.4,20.0,5.14,0.15,298.2,72.93,1.15,,14.86,0.98
7,2020,3.64,26.6,39.5,0.12,35,38,27,27.1,"<2,00",14.3,31.2,17.8,0.077,0.01,0.49,"<0,50",3.55,0.12,2.7,9.9,"<10,00",4.9,0.43,0.14,245,5.1,6.68,6.1,5.2,10.7,44,48,8,,,,,,,,,,,9.9,37.2,0.28,0.17,10.61,4.99,569,"<0,100",1.9,0.015,24.08,"<10,00",7.31,"<0,10",0.004,"<25,0",25,"<25,0",37,38,28,33,36,"<25,0","<25,0",53,"<25,0",35,"<25,0",47,20.6,6.6,0.25,332,73.84,2.89,0.02,28,0.6
9,1995,,,,0.13,8.0,84.0,8.0,17.7,0.2,7.8,100.8,88.0,0.163,,0.67,0.7,0.75,,2.4,10.0,3.1,11.0,1.4,0.15,130.0,6.0,4.7,6.2,5.5,28.0,,,3.0,,,,,,,,,,,9.63,9.0,0.28,0.07,8.86,2.3,465.0,,1.38,0.045,10.2,32.7,7.23,0.06,0.009,,,,,,,,,,,,,,,,10.0,5.49,0.32,683.0,75.08,1.33,,22.8,0.69
9,2000,,,,0.14,10.0,82.0,8.0,15.7,0.19,6.4,101.3,77.5,0.183,,0.57,0.64,1.07,,2.6,7.6,3.7,12.0,1.48,0.12,128.0,5.8,3.3,6.3,5.1,29.9,,,1.0,,,,,,,,,,,9.19,10.3,0.36,0.05,7.0,2.46,352.0,,1.38,0.038,10.2,26.1,6.59,0.03,0.005,,,,,,,,,,,,,,,,13.4,4.72,0.26,646.0,71.71,1.43,,18.5,0.63
9,2005,,,,0.12,10.0,80.0,10.0,18.6,0.17,6.9,126.2,23.5,0.141,,0.58,0.63,1.33,,2.73,7.7,3.1,8.2,1.37,0.1,157.0,4.3,3.0,6.2,5.0,24.7,,,1.0,,,,,,,,,,,10.17,14.4,0.4,0.06,5.5,2.49,338.0,,1.23,0.031,12.0,23.2,7.44,0.04,0.01,,,,,,,,,,,,,,,,14.7,5.63,0.27,729.0,73.16,1.44,,14.4,0.7
9,2010,,,,0.14,18.0,72.0,10.0,17.3,0.18,6.8,47.9,23.5,0.1,,0.52,0.2,1.38,,2.4,7.4,2.7,2.14,0.12,0.05,139.0,4.3,3.7,7.2,6.5,16.4,15.0,83.0,2.0,,,,,,,,,,,6.12,18.0,0.5,0.05,7.5,2.96,336.0,,0.52,0.03,12.3,6.1,3.72,0.06,0.004,,,,,,,,,,,,,,,,11.6,3.04,0.21,581.8,60.78,1.72,0.08,19.81,0.71
9,2015,2.82,7.75,"<1,00",0.13,17,75,8,11.2,0.15,5.9,29.6,27.0,0.09,,0.4,0.17,1.53,,1.88,5.4,2.4,1.92,0.2,0.04,120,4.1,3.3,7.0,6.5,13.2,15,84,1,"<0,001","<0,001","<0,001",0.023,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",8.19,9.9,0.14,0.02,3.46,2.89,635,0.02,0.32,0.023,12.9,5.1,6.31,0.03,0.004,8.2,40.7,11.3,44.9,70.0,38.0,23.8,42.2,10.4,29.5,75.5,5.1,49.6,4.1,64.3,10.4,5.94,0.18,502.1,77.03,1.68,0.17,9.13,0.62
9,2020,2.46,2.2,33.4,0.13,24,65,11,10.5,"<2,00",5.8,22.1,20.9,0.034,"<0,0022",0.45,"<0,50",1.46,0.05,2.1,6.18,"<10,00",1.9,0.25,0.06,99.4,2.55,3.02,6.8,6,10.7,18,79,3,,,,,,,,,,,8.8,5.3,0.1,0.04,6.43939393,4.82,334,"<0,100",2.7,0.013,21.54,"<10,00",5.95,"<0,10",0.002,"<25,0",65,85,94,"<25,0",59,78,67,"<25,0",35,121,"<25,0",70,"<25,0",98,10,5.6,0.09,687,67.61,2.8,0.03,17,0.43
