point_id,year,ArsenAs mg*kg-1,Azot amonowyNNH4 mg*kg-1,Azot azotanowyNNO3 mg*kg-1,Azot ogólny%,"BN-78/9180-11: 0,1-0,02 mmudział w %","BN-78/9180-11: 1,0-0,1 mmudział w %",BN-78/9180-11: < 0.02 mmudział w %,BarBa mg*kg-1,BerylBe mg*kg-1,ChromCr mg*kg-1,CynkZn mg*kg-1,Fosfor przyswajalnymg P2O5* 100g-1,Fosfor%,"Glin wymienny ""Al""cmol(+)*kg-1",Glin%,KadmCd mg*kg-1,KobaltCo mg*kg-1,Kwasowośc wymienna (Hw)cmol(+)*kg-1,Kwasowość hydrolityczna (Hh)cmol(+)*kg-1,LantanLa mg*kg-1,LitLi mg*kg-1,Magnez przyswajalnymg Mg*100g-1,Magnez wymienny (Mg2+)cmol(+)*kg-1,Magnez%,ManganMn mg*kg-1,MiedźCu mg*kg-1,NikielNi mg*kg-1,"Odczyn ""pH "" w zawiesinie H2OpH","Odczyn ""pH "" w zawiesinie KClpH",OłówPb mg*kg-1,"PTG 2008: 0,05-0,002 mmudział w %","PTG 2008: 2,0-0,05 mmudział w %",PTG 2008: < 0.002 mmudział w %,Pestycydy - zwiazki nie chlorowe - atrazinmg*kg-1,Pestycydy - zwiazki nie chlorowe - carbarylmg*kg-1,Pestycydy - zwiazki nie chlorowe - carbofuranmg*kg-1,Pestycydy chloroorganiczne - DDT/DDE/DDDmg*kg-1,Pestycydy chloroorganiczne - aldrinmg*kg-1,Pestycydy chloroorganiczne - alfa-HCHmg*kg-1,Pestycydy chloroorganiczne - beta-HCHmg*kg-1,Pestycydy chloroorganiczne - dieldrinmg*kg-1,Pestycydy chloroorganiczne - endrinmg*kg-1,Pestycydy chloroorganiczne - gamma-HCHmg*kg-1,Pojemność sorpcyjna gleby (T)cmol(+)*kg-1,Potas przyswajalnymg K2O*100g-1,Potas wymienny (K+)cmol(+)*kg-1,Potas%,Przewodnictwo elektryczne właściwemS*m-1,Próchnica%,RadioaktywnośćBq*kg-1,RtecHg mg*kg-1,Siarka przyswajalnamg S-SO4*100g-1,Siarka%,Stosunek C/Nnan,StrontSr mg*kg-1,Suma kationów wymiennych (S)cmol(+)*kg-1,Sód wymienny (Na+)cmol(+)*kg-1,Sód%,WWA - antracenµg*kg-1,WWA - benzo(a)antracenµg*kg-1,WWA - benzo(a)fluorantenµg*kg-1,WWA - benzo(a)pirenµg*kg-1,WWA - benzo(b)fluorantenµg*kg-1,WWA - benzo(ghi)perylenµg*kg-1,WWA - benzo(k)fluorantenµg*kg-1,WWA - chryzenµg*kg-1,"WWA - dibenzo(a,h)antracenµg*kg-1",WWA - fenantrenµg*kg-1,WWA - fluorantenµg*kg-1,WWA - fluorenµg*kg-1,"WWA - indeno(1,2,3-cd)pirenµg*kg-1",WWA - naftalenµg*kg-1,WWA - pirenµg*kg-1,WanadV mg*kg-1,Wapń wymianny (Ca2+)cmol(+)*kg-1,Wapń%,Wielopierscieniowe weglowodory aromatyczne suma 13 WWAµg*kg-1,Wysycenie kompleksu sorpcyjnego kationami zasadowymi (V)%,Węgiel organiczny%,Węglany (CaCO3)%,Zasoleniemg KCl*100g-1,Żelazo%
203,2020,2.48,2.3,42.5,0.06,22,37,41,32.9,"<2,00",7.61,32.1,7.9,0.023,0.02,0.17,"<0,50",4.52,0.07,1.5,10.42,"<10,00",4.9,0.6,0.07,504,4.7,5.61,6.5,5.9,18.9,44,45,11,,,,,,,,,,,8.1,9,0.19,0.04,7.57575757,3.29,413,"<0,100",3.09,0.007,31.83,"<10,00",6.15,"<0,10",0.008,"<25,0",34,"<25,0",47,58,50,47,54,"<25,0","<25,0",69,"<25,0",53,"<25,0",59,11.1,5.3,0.12,471,75.93,1.91,0.02,20,0.35
205,1995,,,,0.108,16.0,69.0,15.0,31.0,0.2,4.8,21.5,15.3,0.05,1.23,0.44,0.17,1.84,1.49,4.95,8.0,3.6,1.9,0.2,0.07,187.0,5.0,3.0,4.7,3.6,14.4,,,5.0,,,,,,,,,,,6.3,8.5,0.25,0.07,4.32,2.09,402.0,,1.42,0.025,11.2,6.5,1.35,0.03,0.005,,,,,,,,,,,,,,,,11.7,0.87,0.05,276.0,21.43,1.21,,11.4,0.52
205,2000,,,,0.086,16.0,70.0,14.0,27.0,0.2,4.7,20.7,13.6,0.06,0.72,0.41,0.12,2.0,0.93,3.6,7.1,3.9,1.4,0.16,0.07,202.0,5.2,4.2,5.3,3.9,15.9,,,3.0,,,,,,,,,,,4.69,6.0,0.18,0.07,4.8,1.87,395.0,,1.7,0.024,12.6,5.2,1.09,0.06,0.006,,,,,,,,,,,,,,,,11.0,0.69,0.06,266.0,23.24,1.08,,12.7,0.47
205,2005,,,,0.089,17.0,72.0,11.0,29.4,0.16,3.8,25.8,15.1,0.056,0.06,0.41,0.1,2.0,0.11,2.03,5.9,3.6,5.6,0.57,0.07,206.0,4.4,4.0,6.1,5.1,16.6,,,3.0,,,,,,,,,,,4.68,11.7,0.28,0.06,6.2,1.71,404.0,,1.75,0.02,11.1,6.8,2.65,0.03,0.007,,,,,,,,,,,,,,,,9.1,1.77,0.12,310.0,56.62,0.99,,16.5,0.48
205,2010,,,,0.074,15.0,71.0,14.0,25.1,0.15,4.2,22.6,11.0,0.042,0.54,0.22,0.07,1.87,0.7,3.23,5.2,1.9,3.4,0.28,0.05,213.0,5.1,3.7,5.5,4.2,14.2,18.0,80.0,2.0,,,,,,,,,,,5.01,12.4,0.38,0.05,4.43,1.36,479.0,,1.07,0.012,10.7,2.7,1.78,0.1,0.004,,,,,,,,,,,,,,,,5.5,1.02,0.05,409.5,35.51,0.79,,11.7,0.47
205,2015,1.71,6.56,3.24,0.08,16,73,11,21.6,0.11,4.6,17.2,12.3,0.05,1.06,0.28,0.06,1.54,1.45,4.13,6.0,1.5,1.58,0.18,0.05,221,4.2,3.2,4.1,3.1,11.4,14,84,2,"<0,001","<0,001","<0,001",0.039,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",5.05,7.2,0.14,0.03,5.89,1.21,225,0.01,0.6,0.011,8.7,2.8,0.92,0.07,0.005,2.8,6.4,4.3,9.2,13.5,6.9,6.2,7.4,4.6,31.5,12.6,2.3,9.5,2.1,11.1,5.8,0.52,0.03,124.0,18.23,0.7,,15.55,0.39
205,2020,2.42,2.4,15.1,0.18,33,52,15,57.7,"<2,00",13,27.3,1.9,0.032,0.01,0.89,"<0,50",3,0.07,1.7,12.21,"<10,00",11.6,1.57,0.12,265,6.59,7.65,7.1,6.5,12.6,30,65,5,,,,,,,,,,,21.9,4.5,0.19,0.16,4.16666666,4.4,546,"<0,100",2.43,0.01,14.17,13,20.27,0.11,0.005,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",15.4,18.4,0.17,"<25,0",92.56,2.55,0.04,11,0.89
207,1995,,,,0.089,44.0,8.0,48.0,71.3,0.43,11.7,38.3,14.2,0.074,0.15,1.18,0.21,6.21,0.33,3.22,20.9,9.2,6.2,0.67,0.14,600.0,12.2,9.0,5.8,4.5,21.2,,,9.0,,,,,,,,,,,8.46,20.4,0.7,0.18,6.57,1.83,922.0,,1.87,0.025,11.9,15.8,5.24,0.13,0.01,,,,,,,,,,,,,,,,30.3,3.74,0.18,195.0,61.94,1.06,,17.3,1.08
207,2000,,,,0.099,41.0,8.0,51.0,69.3,0.47,14.3,40.0,16.7,0.068,0.0,1.12,0.28,4.72,0.0,2.07,18.3,10.7,8.4,0.82,0.14,588.0,15.5,10.3,6.7,5.5,21.9,,,11.0,,,,,,,,,,,9.54,21.0,0.57,0.14,5.1,2.06,834.0,,1.68,0.025,12.0,12.3,7.47,0.1,0.008,,,,,,,,,,,,,,,,36.7,5.98,0.2,451.0,78.3,1.19,,13.5,1.11
207,2005,,,,0.121,48.0,5.0,47.0,75.8,0.46,15.9,37.4,19.0,0.08,,1.01,0.19,4.89,,1.73,19.8,7.0,16.9,0.98,0.14,652.0,11.4,11.6,6.6,5.8,21.6,,,8.0,,,,,,,,,,,10.36,21.1,0.71,0.22,9.8,1.97,803.0,,1.88,0.03,9.4,14.4,8.63,0.08,0.009,,,,,,,,,,,,,,,,29.2,6.86,0.26,753.0,83.3,1.14,,25.9,1.28
207,2010,,,,0.094,44.0,5.0,51.0,73.9,0.47,14.2,40.2,12.0,0.058,,0.93,0.18,6.08,,2.55,18.9,7.1,13.6,0.74,0.14,738.0,12.2,10.8,7.0,6.1,21.7,78.0,14.0,8.0,,,,,,,,,,,9.11,37.7,0.86,0.2,12.65,1.59,765.0,,1.06,0.022,9.8,9.3,6.56,0.42,0.021,,,,,,,,,,,,,,,,20.8,4.54,0.16,1692.2,72.0,0.92,0.04,33.39,1.16
207,2015,6.31,12.12,2.95,0.09,50,4,46,54.3,0.43,13.2,35.7,13.9,0.06,,0.7,0.15,5.68,,2.48,16.0,5.3,7.2,0.48,0.11,594,11.7,10.5,6.4,5.7,19.9,78,14,8,"<0,001","<0,001","<0,001",0.078,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001",7.73,22.7,0.75,0.13,10.07,1.55,1121,0.04,0.73,0.014,10.0,6.6,5.25,0.13,0.007,19.3,58.0,20.1,54.5,83.9,41.6,34.9,60.1,20.3,47.8,144.4,13.4,46.6,16.9,121.0,18.3,3.89,0.14,745.7,67.93,0.9,,26.58,1.0
207,2020,6.19,4.2,35.2,0.11,48,25,27,60.7,"<2,00",12.9,28.8,9.2,0.057,0.01,1.16,"<0,50",5.13,0.12,2.4,19.67,"<10,00",9.6,0.87,0.22,581,9.56,9.37,6.2,5.4,18.1,57,33,10,,,,,,,,,,,9.7,34.6,0.74,0.17,15.1515151,4.41,811,"<0,100",3.4,0.012,23.27,"<10,00",6.91,"<0,10",0.004,"<25,0",30,"<25,0",32,30,"<25,0","<25,0",35,"<25,0","<25,0",63,"<25,0",27,"<25,0",51,18.1,5.3,0.22,268,71.24,2.56,0.03,40,1.9
209,1995,,,,0.084,44.0,7.0,49.0,69.3,0.33,10.5,36.7,8.5,0.042,0.18,1.02,0.45,6.72,0.32,3.15,16.2,8.2,3.8,0.36,0.14,728.0,8.5,10.6,6.3,5.0,24.1,,,8.0,,,,,,,,,,,8.03,15.0,0.47,0.13,3.87,1.74,769.0,,2.5,0.021,11.9,12.8,4.88,0.06,0.008,,,,,,,,,,,,,,,,23.0,3.99,0.14,180.0,60.77,1.0,,10.2,0.93
209,2000,,,,0.092,42.0,10.0,48.0,78.3,0.4,10.0,35.0,6.5,0.046,0.19,0.94,0.35,5.28,0.37,3.15,12.4,8.1,3.2,0.34,0.12,650.0,7.5,9.0,6.1,4.9,21.7,,,9.0,,,,,,,,,,,7.63,19.3,0.5,0.12,5.1,1.85,877.0,,2.25,0.024,11.6,9.2,4.48,0.1,0.008,,,,,,,,,,,,,,,,26.7,3.54,0.12,763.0,58.72,1.07,,13.5,0.96
209,2005,,,,0.075,46.0,10.0,44.0,65.3,0.33,10.2,32.0,18.2,0.078,0.06,0.84,0.28,5.96,0.32,3.75,18.4,5.3,2.7,0.36,0.1,612.0,8.2,9.3,5.4,4.7,22.3,,,6.0,,,,,,,,,,,8.5,35.3,0.84,0.17,21.0,1.55,840.0,,1.83,0.02,12.0,9.5,4.75,0.08,0.011,,,,,,,,,,,,,,,,21.0,3.47,0.13,296.0,55.88,0.9,,55.4,0.87
209,2010,,,,0.086,44.0,10.0,46.0,71.6,0.41,11.3,35.4,11.4,0.061,0.12,0.73,0.2,5.98,0.23,3.83,15.7,5.4,7.9,0.58,0.12,665.0,9.5,10.2,6.1,5.2,23.0,75.0,19.0,6.0,,,,,,,,,,,8.69,20.4,0.58,0.13,7.7,1.59,636.0,,1.74,0.019,10.7,8.2,4.86,0.06,0.008,,,,,,,,,,,,,,,,16.8,3.64,0.12,358.0,55.95,0.92,,20.33,0.97
209,2015,5.08,7.96,11.17,0.08,49,11,40,68.4,0.62,14.9,38.7,8.3,0.05,0.19,0.83,0.19,6.48,0.4,3.45,17.1,7.3,5.3,0.33,0.12,710,11.4,13.0,5.7,4.7,19.9,75,20,5,"<0,001","<0,001","<0,001",0.09,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001",7.31,15.8,0.5,0.16,8.98,1.39,665,0.04,0.75,0.013,10.1,7.8,3.86,0.05,0.009,6.0,18.8,7.5,22.2,14.2,21.3,14.2,25.3,8.3,36.3,37.8,6.1,28.6,12.3,30.6,19.9,2.97,0.12,269.7,52.77,0.81,,23.71,1.13
209,2020,4.79,8.2,44.7,0.11,31,22,47,64.9,"<2,00",13,29.6,13,0.047,0.01,0.3,"<0,50",5.38,0.12,2.1,19.06,"<10,00",13,1.07,0.04,593,8.92,9.98,6.3,5.6,17.7,62,28,10,,,,,,,,,,,8.1,44.7,0.94,0.03,23.8636363,3.86,896,"<0,100",3.2,0.013,20.36,"<10,00",6.91,0.1,0.002,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",17.6,4.8,0.03,"<25,0",85.31,2.24,0.03,63,0.28
211,1995,,,,0.06,47.0,36.0,17.0,43.7,0.23,6.8,26.2,3.8,0.04,,0.6,0.2,4.03,,2.3,8.6,4.8,2.3,0.25,0.07,563.0,6.3,7.2,6.7,5.6,18.4,,,5.0,,,,,,,,,,,5.82,10.9,0.34,0.08,5.54,1.12,533.0,,1.38,0.019,10.7,5.8,3.52,0.06,0.004,,,,,,,,,,,,,,,,11.7,2.87,0.09,121.0,60.48,0.64,,14.6,0.68
211,2000,,,,0.08,44.0,38.0,18.0,45.3,0.3,8.7,30.0,5.9,0.04,,0.65,0.25,5.65,,1.88,7.1,6.1,3.3,0.33,0.09,517.0,6.3,6.6,7.0,6.0,14.5,,,4.0,,,,,,,,,,,5.75,14.0,0.34,0.09,8.1,1.42,602.0,,1.38,0.018,10.2,7.3,3.87,0.06,0.004,,,,,,,,,,,,,,,,16.7,3.14,0.14,132.0,67.3,0.82,,21.4,0.67
211,2005,,,,0.073,48.0,32.0,20.0,49.3,0.27,7.3,33.3,8.3,0.05,,0.64,0.17,4.83,,1.95,10.6,6.4,2.1,0.36,0.09,530.0,8.0,8.7,6.8,5.8,16.0,,,5.0,,,,,,,,,,,6.38,22.0,0.39,0.14,11.4,1.54,562.0,,1.25,0.014,12.2,7.4,4.43,0.02,0.006,,,,,,,,,,,,,,,,18.1,3.66,0.14,184.0,69.44,0.89,,30.1,0.87
211,2010,,,,0.098,22.0,56.0,22.0,58.7,0.3,9.2,63.4,3.5,0.039,0.11,0.57,0.29,3.34,0.23,3.3,9.6,5.8,11.4,0.45,0.08,432.0,7.4,7.5,6.3,5.2,24.5,30.0,68.0,2.0,,,,,,,,,,,7.43,11.6,0.28,0.12,5.1,1.67,354.0,,1.03,0.017,9.9,7.0,4.13,0.03,0.011,,,,,,,,,,,,,,,,14.9,3.37,0.1,279.0,55.58,0.97,,13.46,0.74
211,2015,3.94,11.13,4.62,0.08,20,63,17,37.9,0.29,7.6,52.3,4.1,0.04,0.08,0.32,0.24,2.79,0.4,2.78,6.4,3.7,5.8,0.22,0.06,348,7.4,6.2,5.8,4.8,18.7,23,73,4,"<0,001","<0,001","<0,001",0.009,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",5.95,9.5,0.56,0.07,4.98,1.37,260,0.05,0.36,0.012,10.0,4.7,3.17,0.02,0.004,5.4,11.7,6.8,14.8,8.6,11.4,8.1,10.2,6.1,9.2,19.2,4.5,13.4,5.8,17.7,11.4,2.37,0.08,140.2,53.26,0.8,,13.15,0.57
211,2020,7.16,2.3,35,0.12,37,46,17,28.5,"<2,00",31.2,29.9,16,0.071,0.01,0.42,"<0,50",3.07,0.11,1.4,7.74,"<10,00",5.3,0.67,0.31,347,9.07,6.07,7.2,6.9,18.7,36,59,5,,,,,,,,,,,19.2,19.4,0.53,0.1,18.1818181,2.49,324,"<0,100",2.7,0.016,12,16.6,14,"<0,10",0.003,"<25,0",29,"<25,0",41,50,35,80,28,"<25,0",28,52,"<25,0",26,"<25,0",69,20.3,12.8,0.5,438,72.92,1.44,0.05,48,0.66
213,1995,,,,0.069,16.0,70.0,14.0,35.7,0.27,6.5,20.0,23.4,0.038,,0.52,0.2,1.87,,1.2,8.8,4.3,3.0,0.3,0.08,143.0,5.5,3.5,6.8,6.0,10.5,,,4.0,,,,,,,,,,,7.22,10.8,0.3,0.1,16.87,1.31,467.0,,2.25,0.02,11.0,8.3,6.02,0.06,0.006,,,,,,,,,,,,,,,,17.3,5.36,0.17,429.0,83.38,0.76,,44.5,0.59
213,2000,,,,0.068,18.0,68.0,14.0,31.3,0.23,6.0,21.2,26.6,0.048,,0.43,0.19,2.05,,1.05,7.9,4.4,2.8,0.34,0.09,173.0,5.7,4.1,7.0,6.2,12.7,,,3.0,,,,,,,,,,,7.64,8.0,0.19,0.08,15.5,1.25,478.0,,2.5,0.023,10.6,7.0,6.59,0.06,0.006,,,,,,,,,,,,,,,,16.3,6.0,0.2,567.0,86.26,0.72,,40.9,0.5
213,2005,,,,0.068,15.0,71.0,14.0,29.6,0.18,5.8,23.1,25.2,0.046,,0.4,0.13,1.6,,1.43,6.9,4.5,3.8,0.41,0.07,142.0,6.0,4.0,7.0,6.4,9.8,,,2.0,,,,,,,,,,,7.3,9.7,0.24,0.07,15.8,1.18,446.0,,2.12,0.018,10.0,6.2,5.87,0.03,0.007,,,,,,,,,,,,,,,,10.4,5.19,0.15,1192.0,80.41,0.68,,44.8,0.52
213,2010,,,,0.076,16.0,70.0,14.0,26.6,0.2,5.4,29.9,20.2,0.042,,0.26,0.15,1.66,,1.5,6.9,2.2,6.9,0.52,0.06,141.0,6.2,3.9,6.7,5.9,11.5,18.0,80.0,2.0,,,,,,,,,,,5.58,11.4,0.3,0.07,5.64,1.29,423.0,,1.12,0.013,9.9,4.2,4.08,0.07,0.003,,,,,,,,,,,,,,,,7.4,3.19,0.1,551.5,73.1,0.75,0.04,14.88,0.5
213,2015,2.6,10.56,31.2,0.1,20,69,11,24.6,0.13,4.2,18.2,20.4,0.04,,0.19,0.13,1.37,,1.5,5.0,1.3,7.1,0.34,0.05,128,5.3,2.9,6.3,5.7,9.6,15,83,2,"<0,001","<0,001","<0,001",0.1,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",4.96,17.6,0.67,0.04,11.71,1.22,256,0.01,1.71,0.015,7.1,4.0,3.46,0.02,0.003,4.4,31.7,8.4,45.3,66.9,36.1,24.6,42.8,9.5,29.4,75.2,3.4,41.0,3.4,63.2,6.3,2.42,0.11,473.6,69.73,0.71,,30.91,0.35
213,2020,1.53,1,28.3,0.1,36,31,33,13.8,"<2,00",3.66,13.3,11.7,0.031,0.02,0.36,"<0,50",1.29,"<0,05","<0,75",4.58,"<10,00",2,0.33,0.41,92.5,2.69,3.01,9.4,7.9,4.31,54,40,6,,,,,,,,,,,27.5,5.7,0.14,0.1,7.19696969,4.06,224,"<0,100",3.15,0.04,23.5,"<10,00",8.83,"<0,10",0.003,"<25,0",29,"<25,0",39,43,35,38,47,"<25,0","<25,0",68,"<25,0",37,"<25,0",58,4.52,8.3,0.71,394,32.11,2.35,0.13,19,0.47
215,1995,,,,0.07,21.0,61.0,18.0,34.3,0.27,8.2,19.7,13.4,0.038,,0.63,0.12,2.24,,1.5,9.0,4.9,5.4,0.35,0.12,250.0,4.5,5.7,7.0,6.3,10.7,,,5.0,,,,,,,,,,,7.56,14.5,0.37,0.12,13.84,1.29,498.0,,1.5,0.018,10.7,9.4,6.06,0.05,0.007,,,,,,,,,,,,,,,,17.3,5.29,0.23,241.0,80.16,0.75,,36.5,0.75
215,2000,,,,0.08,20.0,62.0,18.0,33.0,0.27,7.5,21.3,15.0,0.034,,0.57,0.19,2.29,,1.35,9.9,5.6,5.2,0.44,0.1,237.0,4.5,5.6,7.2,6.4,10.9,,,5.0,,,,,,,,,,,7.37,10.0,0.28,0.11,13.2,1.1,435.0,,1.75,0.019,8.0,9.6,6.02,0.06,0.007,,,,,,,,,,,,,,,,20.0,5.24,0.27,480.0,81.68,0.64,,34.8,0.63
215,2005,,,,0.086,20.0,61.0,19.0,27.5,0.2,6.8,21.1,18.7,0.048,,0.51,0.13,1.9,,1.05,8.2,5.0,5.8,0.49,0.1,260.0,5.0,4.3,6.9,6.2,10.7,,,4.0,,,,,,,,,,,7.34,12.9,0.47,0.12,10.9,1.08,429.0,,1.26,0.014,7.3,7.7,6.29,0.04,0.007,,,,,,,,,,,,,,,,17.2,5.29,0.26,385.0,85.69,0.63,,28.9,0.61
215,2010,,,,0.067,22.0,60.0,18.0,27.1,0.23,6.6,27.6,16.6,0.039,,0.26,0.16,2.43,,0.98,7.7,2.9,7.1,0.51,0.07,242.0,5.2,6.0,7.3,6.7,10.9,25.0,72.0,3.0,,,,,,,,,,,5.52,15.4,0.35,0.09,6.84,1.1,493.0,,1.47,0.009,9.6,5.1,4.54,0.12,0.004,,,,,,,,,,,,,,,,9.0,3.56,0.13,354.8,82.24,0.64,0.04,18.06,0.61
215,2015,2.33,6.94,2.0,0.08,51,33,16,24.4,0.24,5.7,17.8,16.1,0.03,,0.27,0.13,1.78,,0.98,6.6,3.1,5.1,0.23,0.06,183,4.6,4.5,7.0,6.5,7.8,22,75,3,"<0,001","<0,001","<0,001",0.044,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",5.57,15.2,0.43,0.05,7.77,1.0,583,0.02,0.72,0.012,7.3,5.3,4.59,0.08,0.006,4.3,23.9,6.8,29.8,44.5,27.6,16.0,30.0,8.2,24.0,48.8,4.0,31.6,3.3,41.0,8.5,3.85,0.12,333.7,82.4,0.58,0.08,20.51,0.45
215,2020,1.88,1,22.3,0.14,23,64,13,14,"<2,00",3.85,15.1,14.4,0.019,0.01,0.26,"<0,50",1.29,0.05,0.9,11.32,"<10,00",1.4,0.17,0.08,135,3.55,2.44,7.1,6.8,9.22,17,80,3,,,,,,,,,,,4.7,3.3,0.09,0.04,4.16666666,2.64,311,"<0,100",2.18,0.016,10.93,"<10,00",2.89,"<0,10",0.005,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",8.19,2.6,0.22,"<25,0",61.49,1.53,0.02,11,0.31
217,1995,,,,0.062,11.0,81.0,8.0,25.3,0.1,2.5,15.2,2.4,0.026,,0.27,0.09,1.68,,1.65,3.2,3.1,1.5,0.14,0.03,197.0,2.6,3.5,6.5,5.4,8.3,,,2.0,,,,,,,,,,,3.55,3.4,0.11,0.03,2.38,0.79,280.0,,1.38,0.012,7.2,4.6,1.9,0.03,0.004,,,,,,,,,,,,,,,,5.7,1.62,0.04,163.0,53.52,0.45,,6.3,0.24
217,2000,,,,0.058,7.0,86.0,7.0,25.2,0.13,3.3,20.0,4.8,0.034,,0.28,0.1,1.81,,1.88,2.5,2.9,2.0,0.23,0.03,238.0,2.7,2.9,6.5,5.2,7.6,,,3.0,,,,,,,,,,,3.91,6.4,0.17,0.04,4.0,0.91,282.0,,1.38,0.012,9.1,3.7,2.03,0.03,0.004,,,,,,,,,,,,,,,,6.7,1.6,0.05,221.0,51.92,0.53,,10.6,0.2
217,2005,,,,0.046,9.0,84.0,7.0,30.2,0.2,2.6,19.7,9.5,0.052,,0.3,0.15,1.53,,1.85,3.0,3.7,1.4,0.13,0.03,198.0,3.3,3.6,6.2,4.9,8.3,,,2.0,,,,,,,,,,,3.42,11.8,0.24,0.05,5.5,0.91,342.0,,1.28,0.011,11.5,4.4,1.57,0.03,0.004,,,,,,,,,,,,,,,,7.2,1.17,0.03,443.0,45.91,0.53,,14.6,0.31
217,2010,,,,0.076,14.0,69.0,17.0,48.5,0.26,6.8,37.3,20.6,0.047,,0.36,0.11,3.71,,2.78,6.1,3.6,15.3,0.78,0.06,466.0,7.6,7.6,6.5,6.1,13.5,19.0,76.0,5.0,,,,,,,,,,,7.07,24.3,0.53,0.08,7.58,1.4,206.0,,1.22,0.014,10.7,4.7,4.29,0.03,0.004,,,,,,,,,,,,,,,,9.6,2.95,0.07,499.8,60.68,0.81,,20.02,0.64
217,2015,3.81,9.19,3.29,0.07,18,65,17,41.1,0.27,7.2,29.9,18.0,0.05,0.07,0.36,0.12,4.23,0.25,2.25,5.8,3.9,15.1,0.46,0.07,408,8.5,8.8,6.3,5.4,13.0,19,75,6,"<0,001","<0,001","<0,001",0.068,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",6.9,23.4,1.37,0.09,7.23,1.16,430,0.02,0.77,0.012,9.6,4.7,4.65,0.02,0.003,6.6,32.5,9.9,32.6,51.1,24.5,17.5,32.5,9.2,30.2,64.8,4.9,33.1,5.4,56.6,10.3,2.79,0.1,396.1,67.4,0.67,,19.09,0.72
217,2020,1.7,1,43.9,0.05,34,47,19,17.5,"<2,00",4.51,13.7,7.2,0.038,0.04,0.35,"<0,50",1.37,0.09,1.8,8.74,"<10,00",3.5,0.47,0.11,114,2.36,2.43,6.2,5.4,6.33,36,59,5,,,,,,,,,,,5.8,15.3,0.21,0.1,10.2272727,3.78,465,"<0,100",4.92,0.005,43.8,"<10,00",3.92,"<0,10",0.005,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",26,"<25,0","<25,0","<25,0","<25,0",5.63,3.2,0.17,26,67.59,2.19,"<0,01",27,0.41
219,1995,,,,0.09,23.0,63.0,14.0,27.1,0.23,8.2,24.0,36.1,0.035,,0.54,0.23,2.21,,2.03,8.0,6.9,4.7,0.49,0.09,297.0,4.0,4.3,6.0,5.3,8.5,,,4.0,,,,,,,,,,,7.44,16.2,0.49,0.1,25.95,1.1,360.0,,2.0,0.016,7.1,7.5,5.41,0.06,0.004,,,,,,,,,,,,,,,,8.3,4.37,0.13,301.0,72.72,0.64,,68.5,0.67
219,2000,,,,0.103,22.0,62.0,16.0,29.3,0.3,9.0,24.5,42.0,0.041,,0.59,0.21,2.11,,1.86,10.0,6.0,4.8,0.43,0.1,315.0,5.2,5.0,6.3,5.5,10.5,,,5.0,,,,,,,,,,,7.0,13.9,0.38,0.11,24.6,1.42,489.0,,2.13,0.02,8.0,9.0,5.14,0.1,0.006,,,,,,,,,,,,,,,,10.3,4.23,0.18,469.0,73.43,0.82,,64.9,0.73
219,2005,,,,0.085,24.0,61.0,15.0,28.6,0.2,6.7,25.9,38.6,0.052,,0.51,0.18,2.99,,1.58,7.0,5.3,4.0,0.49,0.07,287.0,5.2,4.3,6.7,6.0,10.3,,,4.0,,,,,,,,,,,7.21,21.3,0.46,0.11,20.7,1.4,520.0,,2.0,0.017,9.5,6.7,5.63,0.04,0.005,,,,,,,,,,,,,,,,12.3,4.64,0.17,806.0,78.09,0.81,,53.4,0.69
219,2010,,,,0.096,26.0,56.0,18.0,29.3,0.24,7.5,36.5,49.0,0.069,,0.36,0.15,3.7,,1.65,7.7,3.4,9.0,0.63,0.08,375.0,5.8,5.9,7.0,6.3,11.9,25.0,71.0,4.0,,,,,,,,,,,7.07,30.0,0.7,0.09,10.29,1.59,569.0,,1.27,0.014,9.6,5.4,5.42,0.11,0.004,,,,,,,,,,,,,,,,10.0,3.98,0.14,958.1,76.65,0.92,0.04,27.16,0.68
