point_id,year,As [mg*kg-1],Ba [mg*kg-1],Be [mg*kg-1],Cd [mg*kg-1],Co [mg*kg-1],Cr [mg*kg-1],Cu [mg*kg-1],Hg [mg*kg-1],La [mg*kg-1],Li [mg*kg-1],Mn [mg*kg-1],Ni [mg*kg-1],Pb [mg*kg-1],Sr [mg*kg-1],V [mg*kg-1],Zn [mg*kg-1]
43,2010,,43.8,0.38,0.19,4.16,12.9,11.6,,10.2,7.1,252,11.9,13.9,24.6,15.9,40.2
43,2015,3.29,49.4,0.33,0.17,4.19,13.0,10.5,0.05,10.7,6.2,259.0,11.6,13.2,24.1,16.4,30.1
43,2020,4.31,60.1,"<2,00","<0,50",4.11,14.9,12.4,"<0,100",12.48,"<10,00",261,11,14.1,23.1,16.8,44.6
45,1995,,30.7,0.27,0.24,1.57,9.5,6.0,,10.7,4.7,345,5.8,15.1,10.8,10.0,45.0
45,2000,,28.3,0.23,0.19,1.45,8.5,5.2,,9.5,4.2,298,5.1,15.9,8.0,10.3,46.0
45,2005,,36.2,0.17,0.16,1.32,8.2,5.1,,7.8,3.6,366,4.8,13.0,9.6,14.7,40.9
45,2010,,32.1,0.21,0.2,1.92,6.3,8.5,,8.2,3.1,284,5.2,17.7,9.4,11.8,40.0
45,2015,2.43,39.2,0.2,0.16,1.98,7.3,10.2,0.09,6.9,2.0,269.0,4.8,16.1,10.1,12.9,27.0
45,2020,2.91,46.5,"<2,00","<0,50",2.11,8.63,8.63,"<0,100",9.69,"<10,00",286,5.04,26.7,12,14.5,34.9
47,1995,,31.2,0.27,0.2,1.47,9.5,4.7,,11.9,5.0,435,5.8,9.9,10.1,21.7,23.2
47,2000,,31.7,0.3,0.18,1.99,9.0,4.5,,10.6,5.5,435,6.0,11.4,9.3,22.0,22.7
47,2005,,31.3,0.2,0.16,1.46,7.8,5.5,,9.1,4.8,421,5.6,10.6,8.0,18.9,26.2
47,2010,,30.8,0.26,0.15,2.17,8.2,5.8,,10.7,2.7,390,5.3,18.9,4.2,10.9,38.4
47,2015,2.07,27.8,0.25,0.09,2.13,6.5,10.7,0.03,5.8,2.1,310.0,4.8,10.5,3.4,9.4,20.8
47,2020,2.94,30.2,"<2,00","<0,50",2.26,9.02,5.69,"<0,100",7.28,"<10,00",372,5.01,20.5,"<10,00",12.7,32
49,1995,,27.7,0.17,0.15,1.62,4.8,2.8,,7.8,3.2,302,3.2,7.9,6.5,5.7,15.5
49,2000,,24.7,0.17,0.11,1.71,4.7,3.0,,7.1,3.5,348,3.6,9.3,5.5,6.3,14.0
49,2005,,27.3,0.12,0.08,2.05,5.0,3.2,,6.4,3.4,317,3.0,9.9,5.4,8.3,17.0
49,2010,,27.3,0.14,0.1,1.54,4.3,2.9,,5.3,2.0,339,3.1,9.5,5.0,6.2,25.8
49,2015,1.56,23.5,0.12,0.09,1.53,3.7,3.8,0.01,4.7,1.7,323.0,2.8,8.4,3.3,6.0,18.0
49,2020,1.61,27.3,"<2,00","<0,50",1.68,5.17,4.02,"<0,100",6.89,"<10,00",350,3.32,9.32,"<10,00",6.75,24.3
51,1995,,45.7,0.23,0.16,1.73,8.2,5.0,,8.8,4.8,332,4.3,11.3,9.5,10.0,30.0
51,2000,,39.7,0.23,0.23,2.43,8.7,7.1,,5.3,4.3,338,3.9,9.3,6.2,10.0,35.0
51,2005,,34.9,0.2,0.12,2.69,7.9,7.1,,8.6,4.0,340,5.0,10.3,6.2,12.5,30.3
51,2010,,35.7,0.19,0.12,1.64,5.8,8.5,,6.7,2.1,260,3.5,10.5,5.0,7.3,30.3
51,2015,1.85,30.1,0.22,0.12,1.76,5.6,5.1,0.01,5.5,2.4,275.0,3.6,10.3,4.5,7.2,29.6
51,2020,2.07,36.7,"<2,00","<0,50",2.16,7.8,3.49,"<0,100",7.44,"<10,00",271,4.67,11.2,"<10,00",10.2,34.2
53,1995,,13.0,0.1,0.56,0.87,3.3,1.3,,5.6,1.8,90,1.2,20.4,4.1,5.0,71.7
53,2000,,10.7,0.1,0.48,0.83,3.3,1.7,,5.0,1.3,68,1.1,19.7,3.6,6.7,70.0
53,2005,,13.6,0.07,0.5,1.03,3.4,1.8,,8.4,1.7,65,1.7,18.6,3.2,5.0,72.0
53,2010,,11.6,0.09,0.04,0.52,2.6,1.5,,3.2,0.9,70,1.3,7.0,2.1,3.3,10.9
53,2015,1.23,7.3,0.09,0.02,0.49,2.5,1.2,0.01,2.4,0.9,72.0,1.0,11.0,1.3,3.2,6.5
53,2020,"<1,00",9.22,"<2,00","<0,50","<1,00",3.57,2.8,"<0,100","<2,50","<10,00",32.1,"<2,00",7.09,"<10,00",3.78,15.9
55,1995,,115.0,1.33,0.21,4.68,42.5,20.3,,20.5,27.1,467,29.3,10.3,42.7,93.3,68.3
55,2000,,105.7,1.33,0.24,6.73,38.0,22.2,,20.6,24.3,443,29.8,13.3,44.3,80.0,78.3
55,2005,,93.1,0.89,0.18,5.81,31.5,18.4,,18.9,26.0,426,25.0,13.1,49.3,80.8,67.7
55,2010,,63.3,1.04,0.13,8.78,33.9,15.0,,16.8,17.5,386,26.6,16.1,28.9,36.3,63.7
55,2015,5.45,62.3,1.08,0.14,10.61,39.5,16.1,0.03,17.4,17.7,420.0,29.4,15.5,31.3,41.5,60.7
55,2020,9.49,103,"<2,00","<0,50",12.5,63.4,19.3,"<0,100",23.84,25.1,480,34.5,18.1,84.5,61.8,76.5
57,1995,,124.0,0.83,0.51,5.71,29.8,21.3,,16.7,22.2,967,32.2,15.7,26.7,55.0,75.0
57,2000,,116.7,0.93,0.49,6.93,26.3,23.2,,18.6,24.4,996,34.5,16.3,28.3,61.7,80.3
57,2005,,100.1,0.76,0.44,8.27,25.5,22.3,,13.9,20.6,1020,33.5,21.2,21.6,56.2,76.2
57,2010,,86.8,0.69,0.34,9.59,23.8,20.0,,13.4,17.0,1023,33.2,18.5,16.9,25.9,75.7
57,2015,5.76,76.8,0.66,0.32,9.84,25.1,21.3,0.07,10.9,16.2,887.0,33.9,16.4,21.2,27.3,73.9
57,2020,6.73,98.1,"<2,00","<0,50",9.72,29.3,17,"<0,100",18.53,23.4,991,32,16.4,26.8,31.5,65.3
59,1995,,27.4,0.13,0.24,0.87,2.2,2.8,,5.1,1.9,157,1.8,8.0,4.4,5.0,13.0
59,2000,,26.6,0.1,0.18,1.01,3.3,2.2,,3.8,1.2,130,1.0,6.9,3.2,6.3,9.5
59,2005,,22.1,0.1,0.23,1.1,2.8,2.3,,4.7,1.6,136,1.7,8.0,2.9,4.7,13.1
59,2010,,25.4,0.11,0.15,0.79,3.3,2.1,,3.8,0.8,120,1.8,6.9,2.7,3.4,11.4
59,2015,1.69,27.4,0.13,0.15,1.05,3.6,5.3,0.04,3.8,0.9,175.0,2.0,13.3,2.5,4.5,14.4
59,2020,"<1,00",12.4,"<2,00","<0,50","<1,00",2.26,"<2,00","<0,100",2.54,"<10,00",103,"<2,00",5.02,"<10,00",2.48,6.29
61,1995,,48.7,0.3,0.12,2.56,11.7,8.2,,10.1,7.2,357,9.3,8.7,9.1,21.7,36.7
61,2000,,45.7,0.33,0.16,3.04,10.5,6.3,,8.9,7.7,355,10.5,8.4,7.6,20.0,40.0
61,2005,,40.6,0.27,0.15,2.5,9.6,7.1,,9.7,5.2,371,10.0,8.3,6.7,22.9,35.4
61,2010,,45.2,0.26,0.16,3.61,8.4,6.3,,7.3,4.4,366,10.1,8.9,6.4,9.5,41.5
61,2015,3.41,41.5,0.31,0.17,4.02,9.7,8.9,0.04,6.7,4.7,389.0,11.5,9.3,5.9,10.9,38.1
61,2020,2.69,39,"<2,00","<0,50",3.67,10.6,3.54,"<0,100",9.97,"<10,00",342,10.1,7.87,"<10,00",11.6,30.9
63,1995,,61.0,0.4,0.28,4.01,12.8,9.5,,11.9,10.6,392,12.5,7.7,12.4,21.7,33.3
63,2000,,52.4,0.28,0.25,3.21,8.7,8.3,,9.7,8.6,327,8.3,6.8,10.6,20.0,29.8
63,2005,,54.3,0.23,0.25,3.73,9.3,9.1,,8.3,9.5,287,9.3,7.3,9.1,21.9,26.2
63,2010,,55.0,0.32,0.17,4.2,11.8,7.6,,9.6,6.6,332,13.2,9.3,9.2,13.1,38.5
63,2015,2.56,37.5,0.3,0.15,4.27,9.7,7.5,0.02,6.5,7.1,298.0,12.9,8.0,7.6,11.3,28.7
63,2020,3.03,44.8,"<2,00","<0,50",4.53,12.4,6.54,"<0,100",9.27,"<10,00",339,13.7,9.14,"<10,00",13.3,36
65,1995,,44.0,0.3,0.12,1.8,11.0,6.0,,13.1,5.0,308,4.3,9.5,11.8,21.7,20.8
65,2000,,38.0,0.3,0.19,1.47,10.0,5.7,,10.7,5.3,285,3.8,8.9,10.5,20.0,17.0
65,2005,,37.6,0.33,0.14,1.84,10.7,5.5,,11.9,4.2,264,5.0,9.9,8.4,17.6,17.7
65,2010,,31.5,0.25,0.1,2.71,8.8,3.3,,10.7,2.9,244,4.7,8.9,5.7,10.2,20.7
65,2015,2.33,29.8,0.29,0.12,2.88,8.5,3.6,0.03,10.7,4.5,243.0,4.9,7.3,5.3,10.2,21.4
65,2020,2.31,28.6,"<2,00","<0,50",2.9,9.74,"<2,00","<0,100",12.61,"<10,00",281,4.52,7.74,"<10,00",10.6,13.1
69,1995,,23.4,0.2,0.16,1.2,6.3,2.5,,7.1,2.9,220,3.5,8.7,5.9,5.0,21.3
69,2000,,19.7,0.17,0.16,1.47,5.5,2.7,,8.4,2.9,188,2.8,6.8,4.6,8.3,25.0
69,2005,,21.0,0.2,0.11,1.99,5.9,3.1,,7.4,2.1,197,4.0,7.6,4.6,7.3,21.6
69,2010,,29.9,0.18,0.09,1.5,6.1,3.2,,6.8,1.9,287,3.5,9.0,4.4,6.5,28.3
69,2015,1.52,21.0,0.19,0.07,1.41,4.5,3.3,0.01,5.5,2.6,271.0,2.6,7.6,3.0,5.9,19.4
69,2020,1.52,19.8,"<2,00","<0,50",1.52,5.13,"<2,00","<0,100",7.16,"<10,00",286,2.6,8.29,"<10,00",6.09,20.5
71,1995,,21.1,0.13,0.13,1.11,5.2,4.8,,7.2,2.3,152,4.3,10.5,5.6,5.0,24.0
71,2000,,18.0,0.13,0.16,1.63,4.8,3.7,,8.8,2.5,132,3.9,10.3,4.8,6.3,27.8
71,2005,,21.5,0.16,0.11,1.51,4.7,4.8,,10.1,1.9,139,4.2,11.7,5.4,8.6,21.6
71,2010,,22.7,0.14,0.09,1.77,4.2,3.9,,6.0,1.2,140,3.7,12.3,4.7,5.3,21.7
71,2015,2.35,20.8,0.14,0.18,1.23,3.9,3.8,0.07,5.1,1.7,59.0,3.1,14.3,4.5,5.1,36.8
71,2020,1.87,51.2,"<2,00","<0,50",3.95,10.3,2.04,"<0,100",16.5,"<10,00",266,8.45,8.11,"<10,00",24.9,24.7
73,1995,,33.7,0.37,0.17,2.45,16.8,5.3,,10.8,6.9,262,6.7,7.1,9.8,28.3,23.7
73,2000,,34.0,0.43,0.12,3.81,15.5,5.0,,11.4,7.9,290,5.7,6.9,9.7,26.7,26.2
73,2005,,32.3,0.33,0.16,3.39,17.4,5.4,,10.0,6.4,272,5.3,8.3,8.8,26.2,28.5
73,2010,,32.9,0.36,0.13,3.42,12.9,5.5,,10.8,5.2,262,7.9,10.4,6.3,19.1,36.5
73,2015,3.25,41.2,0.33,0.18,3.59,12.7,8.7,0.04,7.6,5.2,299.0,7.5,10.3,9.1,20.2,37.5
73,2020,4.83,41.6,"<2,00","<0,50",3.89,18.7,4,"<0,100",13.79,11.1,292,7.65,10.1,17.3,25.1,32
75,1995,,38.0,0.23,0.24,2.16,7.8,5.8,,10.2,5.7,450,5.2,15.7,9.7,13.3,35.0
75,2000,,36.2,0.23,0.2,2.77,9.0,5.5,,9.1,4.9,463,4.1,13.0,8.4,13.3,30.3
75,2005,,30.6,0.17,0.21,3.03,9.6,5.0,,7.5,4.3,498,4.6,11.6,7.9,11.0,33.6
75,2010,,24.4,0.23,0.13,2.91,6.6,5.7,,8.1,3.2,472,4.7,11.6,3.0,7.9,32.1
75,2015,1.71,24.6,0.18,0.11,2.48,6.1,5.7,0.01,6.4,3.0,399.0,4.5,8.9,3.4,7.6,24.0
75,2020,1.76,24.3,"<2,00","<0,50",2.64,7.5,2.71,"<0,100",9.25,"<10,00",400,4.23,8.89,"<10,00",9.19,23.4
77,1995,,44.0,0.3,0.17,2.19,11.0,4.0,,11.5,5.8,460,6.7,9.1,11.1,16.7,23.2
77,2000,,46.3,0.33,0.17,2.39,10.2,4.0,,11.9,6.3,497,5.8,8.5,13.9,20.0,26.5
77,2005,,40.9,0.23,0.12,2.86,11.5,4.1,,10.3,5.8,442,6.6,10.5,9.7,17.4,27.1
77,2010,,46.7,0.3,0.16,3.0,11.0,3.7,,9.6,4.0,468,7.2,11.1,6.5,12.1,31.1
77,2015,1.97,36.9,0.25,0.14,2.76,8.3,4.0,0.03,8.0,3.7,382.0,6.4,8.9,6.2,11.0,31.5
77,2020,1.91,36.2,"<2,00","<0,50",2.93,9.77,"<2,00","<0,100",11.28,"<10,00",369,6.14,8.73,"<10,00",12.8,23
79,1995,,135.3,1.37,0.16,6.01,44.0,26.8,,26.9,31.5,579,36.7,12.1,54.0,95.0,67.5
79,2000,,138.7,1.43,0.19,5.87,41.0,24.7,,31.2,30.7,610,38.0,10.4,56.0,93.3,75.0
79,2005,,134.4,1.21,0.16,6.43,42.1,21.4,,23.3,26.5,592,36.9,10.5,49.6,87.7,76.0
79,2010,,70.7,0.92,0.09,10.66,29.4,17.5,,18.3,14.4,416,28.9,16.2,15.4,35.6,74.4
79,2015,3.87,61.1,0.85,0.1,10.52,30.6,17.1,0.11,19.0,13.6,402.0,29.8,14.4,17.5,35.5,61.9
79,2020,5.42,56,"<2,00","<0,50",7.16,28.2,8.18,"<0,100",19.81,14.2,300,15.6,10.9,13.1,30.8,38.3
81,1995,,36.7,0.2,0.13,0.95,6.8,3.3,,6.5,4.4,290,3.3,7.6,5.8,10.0,25.0
81,2000,,39.0,0.17,0.19,1.13,5.8,3.0,,5.5,3.7,300,2.4,8.1,4.2,13.3,24.0
81,2005,,34.0,0.12,0.13,0.86,5.3,2.3,,3.8,3.2,281,2.3,9.3,3.9,10.0,28.9
81,2010,,27.2,0.16,0.1,1.38,5.0,2.5,,5.3,2.3,297,2.5,8.6,2.6,6.6,28.4
81,2015,1.87,23.9,0.14,0.07,1.37,4.2,2.8,0.01,4.8,2.0,263.0,2.0,7.2,2.5,6.3,20.8
81,2020,2.12,39.3,"<2,00","<0,50",1.86,6.07,14.1,"<0,100",6.8,"<10,00",356,2.7,10.1,"<10,00",7.81,38.1
83,1995,,23.1,0.2,0.09,0.89,4.2,2.0,,8.6,2.8,213,3.5,6.8,4.3,5.0,17.5
83,2000,,21.7,0.17,0.12,1.17,4.8,2.5,,9.9,3.0,192,2.9,8.0,3.7,6.7,16.2
83,2005,,22.3,0.12,0.07,1.06,4.3,2.8,,11.9,2.1,182,3.5,7.7,3.5,7.2,18.3
83,2010,,22.1,0.16,0.08,1.0,3.9,2.1,,4.9,1.9,190,3.0,9.5,1.7,4.9,16.3
83,2015,1.36,15.5,0.14,0.05,1.03,4.2,2.9,0.01,5.8,1.9,186.0,2.6,8.1,1.8,5.7,15.9
83,2020,1.06,19.5,"<2,00","<0,50",1.06,4.4,"<2,00","<0,100",6.09,"<10,00",177,2.65,6.62,"<10,00",5.52,15.5
85,1995,,17.0,0.1,0.24,0.72,5.2,2.0,,4.1,1.0,30,1.2,8.5,4.3,5.0,7.8
85,2000,,15.9,0.1,0.19,0.61,4.8,1.8,,3.3,2.3,28,1.1,8.6,3.1,6.7,7.7
85,2005,,13.3,0.1,0.13,0.83,4.8,2.0,,2.4,2.3,29,1.7,7.3,3.2,6.4,7.7
85,2010,,18.9,0.09,0.16,0.43,3.5,2.3,,3.0,1.2,34,1.8,7.1,4.0,5.2,10.3
85,2015,2.03,15.6,0.07,0.16,0.31,2.4,3.0,0.03,2.2,0.7,15.0,1.0,7.4,3.1,4.0,5.9
85,2020,1.82,17.1,"<2,00","<0,50","<1,00",2.84,"<2,00","<0,100",3.36,"<10,00",46.1,"<2,00",6.62,"<10,00",3.79,12.1
87,1995,,35.3,0.3,0.33,2.71,6.8,3.8,,10.3,4.5,463,5.0,22.4,6.9,13.3,43.3
87,2000,,39.4,0.27,0.27,1.97,5.8,3.3,,10.4,3.7,478,4.1,25.2,5.8,13.3,38.5
87,2005,,33.9,0.27,0.37,1.83,6.1,4.4,,8.8,3.0,400,4.7,23.7,4.5,10.5,32.6
87,2010,,27.8,0.16,0.16,1.17,3.9,3.4,,4.8,1.8,246,2.8,9.4,2.9,4.9,35.2
87,2015,2.3,23.0,0.16,0.13,2.03,4.9,1.8,0.03,8.5,2.3,310.0,2.7,8.7,5.3,8.1,15.8
87,2020,"<1,00",9.62,"<2,00","<0,50","<1,00",3.1,"<2,00","<0,100",4.93,"<10,00",39.7,"<2,00",3.71,"<10,00",3.47,9.94
89,1995,,28.3,0.23,0.16,3.04,7.5,5.2,,9.4,5.8,340,4.3,9.7,6.0,13.3,22.5
89,2000,,29.4,0.26,0.16,3.47,7.0,4.8,,8.8,5.6,339,4.9,12.8,5.9,13.3,22.7
89,2005,,33.0,0.3,0.1,4.43,9.8,6.5,,9.6,7.1,348,4.7,11.3,6.8,19.8,26.5
89,2010,,30.3,0.28,0.13,3.01,8.6,5.1,,8.6,4.6,236,6.8,9.9,5.4,11.2,34.3
89,2015,2.11,34.9,0.48,0.08,4.79,13.6,9.2,0.01,14.7,8.6,301.0,12.3,8.3,17.0,17.1,38.3
89,2020,1.29,20.9,"<2,00","<0,50",2.02,5.81,"<2,00","<0,100",8.2,"<10,00",184,3.24,7.22,"<10,00",7.58,15.4
91,1995,,22.4,0.17,0.09,1.13,5.2,2.5,,7.4,2.9,270,3.2,9.2,4.3,6.7,17.7
91,2000,,22.0,0.17,0.13,1.28,4.3,3.3,,6.7,2.4,267,2.9,7.9,3.7,6.7,18.8
91,2005,,20.8,0.13,0.08,1.76,6.1,3.0,,7.2,2.6,293,3.3,9.7,3.7,7.8,19.4
91,2010,,22.8,0.16,0.09,1.3,5.9,3.0,,6.8,1.9,271,4.1,8.7,3.7,5.3,28.1
91,2015,1.59,17.6,0.15,0.05,1.6,5.8,4.6,0.06,6.3,2.1,174.0,4.0,7.7,2.7,6.3,17.5
91,2020,1.96,24.9,"<2,00","<0,50",2.44,9.52,3.2,"<0,100",7.88,"<10,00",197,5.57,9.22,"<10,00",9.74,24.8
93,1995,,34.7,0.17,0.2,1.29,8.3,7.2,,9.6,4.5,272,4.7,8.1,13.1,10.0,26.3
93,2000,,35.7,0.23,0.18,1.13,7.0,6.0,,8.1,4.1,315,4.3,10.4,10.1,13.3,24.8
93,2005,,39.8,0.2,0.15,1.79,7.4,6.6,,13.0,3.5,318,5.3,12.6,10.0,14.6,27.7
93,2010,,38.5,0.19,0.17,2.01,7.4,7.1,,9.0,2.6,318,4.8,13.0,9.3,9.8,27.7
93,2015,2.62,38.1,0.2,0.13,1.93,6.4,7.8,0.02,8.3,3.2,345.0,4.5,13.8,6.8,10.4,26.0
93,2020,1.91,11.3,"<2,00","<0,50",1.02,4.23,4.03,"<0,100",7.7,"<10,00",157,2.3,6.85,"<10,00",6.98,25
95,1995,,23.6,0.23,0.19,2.24,11.0,4.7,,9.1,4.9,150,6.2,5.9,7.8,10.0,20.3
95,2000,,29.0,0.3,0.18,2.84,11.5,6.0,,7.8,5.3,205,8.0,6.3,8.0,8.7,23.8
95,2005,,25.7,0.23,0.12,2.89,9.8,4.6,,10.9,4.4,183,5.6,5.3,7.6,10.0,21.4
95,2010,,19.0,0.18,0.1,1.98,5.3,4.2,,7.2,2.5,157,4.8,7.8,3.9,7.3,24.3
95,2015,1.86,18.4,0.18,0.09,1.88,5.8,3.1,0.0,6.8,3.1,172.0,4.9,7.8,4.6,8.0,25.7
95,2020,2.71,19.1,"<2,00","<0,50",2.08,5.94,"<2,00","<0,100",8.34,"<10,00",172,4.54,7.29,"<10,00",8.13,18.7
97,1995,,61.3,0.33,0.25,2.76,15.5,8.2,,11.5,7.5,675,8.7,11.7,15.2,21.7,30.0
97,2000,,58.3,0.27,0.28,3.05,14.0,9.2,,10.9,7.3,745,6.8,11.9,13.2,26.7,35.0
97,2005,,58.6,0.3,0.21,3.4,12.7,8.5,,12.6,7.3,663,9.7,14.0,12.6,24.8,32.7
97,2010,,59.1,0.27,0.26,5.36,9.3,8.0,,7.8,3.1,916,8.8,17.1,9.7,17.1,35.8
97,2015,4.49,39.2,0.42,0.13,4.74,14.0,9.4,0.02,10.0,7.1,197.0,11.8,13.8,8.6,20.8,38.1
97,2020,2.37,30.2,"<2,00","<0,50",1.93,6.37,7.01,0.105,4.8,"<10,00",245,4.35,10.1,"<10,00",9.21,24.8
99,1995,,54.0,0.23,0.25,1.09,7.8,12.2,,7.4,4.1,167,5.3,24.0,12.3,5.0,78.3
99,2000,,54.7,0.17,0.28,1.37,7.0,13.2,,5.6,4.3,160,5.9,27.2,10.5,3.8,68.5
99,2005,,53.9,0.17,0.34,1.49,8.0,11.7,,8.6,3.5,189,6.3,31.6,12.8,6.9,68.4
99,2010,,38.7,0.24,0.11,3.45,9.0,6.7,,8.9,3.8,362,7.4,13.7,6.2,11.9,29.1
99,2015,5.21,53.3,0.18,0.21,1.82,7.5,18.2,0.1,8.1,2.6,196.0,5.8,30.6,13.3,9.7,85.8
99,2020,1.22,4.19,"<2,00","<0,50","<1,00",2.3,"<2,00","<0,100",2.71,"<10,00",15.3,"<2,00",7.8,"<10,00",3.25,"<5,00"
101,1995,,22.6,0.13,0.17,0.72,5.5,2.8,,4.3,2.3,85,4.0,6.7,8.0,3.5,18.5
101,2000,,19.9,0.1,0.14,1.02,4.8,3.2,,4.9,2.6,74,3.6,6.5,8.9,3.8,19.0
101,2005,,23.9,0.13,0.21,1.06,5.4,2.7,,5.6,3.2,91,3.7,5.7,9.5,5.3,20.7
101,2010,,24.6,0.12,0.16,1.29,5.0,3.0,,4.8,1.7,107,3.3,9.6,7.9,6.6,23.4
101,2015,2.01,23.7,0.14,0.13,1.09,4.3,2.8,0.01,4.4,1.9,97.0,3.0,9.5,7.4,7.1,21.3
101,2020,"<1,00",22.9,"<2,00","<0,50",1.16,7.2,3.7,"<0,100",8.7,"<10,00",248,4.2,9.5,"<10,00",10,28.3
103,1995,,29.1,0.17,0.19,1.33,8.8,9.2,,8.9,4.5,325,4.0,9.9,8.9,10.0,20.8
103,2000,,26.9,0.23,0.18,1.87,7.8,8.7,,8.6,4.6,307,3.7,8.8,6.7,12.7,17.2
103,2005,,26.6,0.17,0.15,1.72,8.9,7.7,,8.7,3.9,297,5.0,7.6,8.3,14.1,21.4
103,2010,,23.7,0.16,0.19,1.75,6.8,6.4,,7.5,2.3,316,4.3,12.4,8.0,10.3,32.1
103,2015,2.2,21.9,0.13,0.16,1.54,5.5,14.0,0.01,6.0,1.9,272.0,3.9,12.8,7.0,9.1,28.8
103,2020,4.6,23.8,"<2,00","<0,50",1.88,7.14,4.47,"<0,100",8.18,"<10,00",315,4.39,11.5,"<10,00",11.1,25.7
105,1995,,72.7,0.4,0.17,1.63,11.2,7.2,,12.3,8.1,317,7.3,7.9,17.0,10.0,52.0
105,2000,,76.7,0.47,0.19,2.09,11.0,6.5,,14.2,9.9,348,6.8,10.1,19.7,15.6,53.0
105,2005,,81.6,0.46,0.16,2.65,11.7,6.0,,15.0,9.6,320,7.3,8.9,13.6,12.9,47.2
105,2010,,75.0,0.54,0.13,4.08,10.6,6.8,,11.6,7.2,390,6.8,17.3,7.8,14.4,48.4
105,2015,4.78,54.7,0.43,0.12,3.5,9.3,5.8,0.03,9.0,5.4,318.0,5.7,14.7,7.0,14.8,41.2
105,2020,7.25,79.2,"<2,00","<0,50",4.95,13.6,7.52,"<0,100",10.86,"<10,00",463,7.26,18.4,11.6,19.8,48.5
107,1995,,20.6,0.13,0.19,1.87,4.7,2.7,,6.9,2.9,257,2.7,13.9,6.4,6.3,31.2
107,2000,,21.3,0.17,0.23,1.65,4.7,3.0,,6.7,2.8,236,3.6,14.8,5.8,7.3,38.3
107,2005,,20.6,0.17,0.23,1.83,5.6,3.0,,5.9,2.5,203,3.7,11.6,5.1,7.4,32.9
107,2010,,17.5,0.15,0.17,1.82,4.4,3.4,,6.8,1.9,191,4.1,12.6,3.8,6.7,48.8
107,2015,2.68,19.7,0.21,0.17,1.83,4.6,3.6,0.01,5.9,2.0,206.0,4.0,11.2,5.1,6.5,39.3
107,2020,1.99,20.6,"<2,00","<0,50",1.51,4.18,"<2,00","<0,100",6.43,"<10,00",275,3.02,8.59,"<10,00",5.53,24.1
111,1995,,28.4,0.17,0.12,2.35,4.7,4.2,,7.8,4.0,330,3.3,10.0,9.4,6.3,21.0
111,2000,,29.9,0.13,0.08,1.87,4.7,4.5,,6.8,3.7,325,4.0,8.9,8.4,8.0,18.8
111,2005,,27.6,0.1,0.1,2.38,4.8,3.6,,5.8,3.9,285,4.6,9.6,7.9,9.5,20.7
111,2010,,28.2,0.14,0.08,1.94,4.5,3.3,,6.7,2.1,307,3.9,9.4,4.1,6.0,24.4
111,2015,1.44,24.0,0.12,0.06,1.7,4.2,2.9,0.0,5.0,1.6,295.0,3.4,8.2,4.6,5.3,14.4
111,2020,1.73,26.9,"<2,00","<0,50",1.76,4.99,2.8,"<0,100",7.13,"<10,00",290,3.6,8.39,"<10,00",6.37,21.1
113,1995,,31.0,0.2,0.19,2.48,6.8,5.7,,8.2,4.5,195,4.7,8.8,8.7,12.3,20.5
113,2000,,32.0,0.23,0.19,2.16,7.0,4.8,,8.4,4.7,218,4.9,10.0,8.1,11.0,20.0
113,2005,,32.3,0.18,0.13,2.89,6.2,4.3,,6.3,4.2,189,4.7,8.3,6.8,10.2,22.5
113,2010,,32.5,0.21,0.17,2.39,6.9,5.1,,7.5,2.7,208,5.0,10.7,5.5,9.6,31.2
113,2015,2.32,31.5,0.23,0.14,2.26,6.8,4.7,0.01,6.8,2.7,221.0,4.7,9.4,5.4,9.5,19.7
113,2020,3.68,37,"<2,00","<0,50",2.76,9.8,5.61,"<0,100",6.64,"<10,00",234,5.55,11.3,"<10,00",12.8,26.7
115,1995,,34.3,0.3,0.24,3.01,9.3,5.7,,9.6,5.9,182,5.3,10.0,9.7,18.3,27.3
115,2000,,38.0,0.37,0.24,2.88,10.0,6.2,,11.0,7.0,212,6.0,12.3,10.5,16.3,30.7
115,2005,,44.5,0.23,0.18,2.39,10.6,6.7,,9.0,7.3,198,6.0,12.0,10.8,15.3,30.2
115,2010,,33.9,0.29,0.13,3.21,8.7,6.2,,9.2,4.6,203,8.1,8.9,6.1,11.7,32.4
115,2015,2.8,41.3,0.29,0.12,3.17,12.0,5.8,0.02,10.5,4.6,218.0,8.2,8.7,7.8,15.0,22.9
115,2020,2.92,34.2,"<2,00","<0,50",3.46,11.4,2.43,"<0,100",11.12,"<10,00",233,7.4,8.13,"<10,00",13.9,22
117,1995,,41.0,0.33,0.15,1.81,10.5,7.3,,12.4,6.1,245,7.5,8.7,10.1,21.7,26.5
117,2000,,38.2,0.37,0.23,2.34,11.0,6.3,,10.1,6.0,230,6.2,7.9,7.9,26.7,25.1
117,2005,,42.0,0.26,0.18,2.03,11.4,8.0,,9.7,4.5,223,8.3,9.0,7.2,20.5,25.0
117,2010,,45.8,0.45,0.13,4.5,14.2,7.5,,12.2,5.4,312,11.3,11.1,8.7,19.0,34.3
117,2015,3.89,35.9,0.56,0.12,4.83,16.1,8.7,0.03,12.8,9.6,285.0,12.8,9.6,8.0,21.0,29.8
117,2020,4.67,48.4,"<2,00","<0,50",4.52,18.4,8.09,"<0,100",14.65,"<10,00",279,12.1,10.3,10.4,21,30.8
