point_id,year,As [mg*kg-1],Ba [mg*kg-1],Be [mg*kg-1],Cd [mg*kg-1],Co [mg*kg-1],Cr [mg*kg-1],Cu [mg*kg-1],Hg [mg*kg-1],La [mg*kg-1],Li [mg*kg-1],Mn [mg*kg-1],Ni [mg*kg-1],Pb [mg*kg-1],Sr [mg*kg-1],V [mg*kg-1],Zn [mg*kg-1]
297,1995,,25.6,0.13,0.4,1.12,5.8,3.3,,5.8,2.5,192,3.7,9.6,9.6,6.7,22.5
297,2000,,28.5,0.17,0.46,0.89,6.3,3.3,,6.7,1.9,165,2.6,10.7,8.6,6.0,23.2
297,2005,,30.9,0.13,0.45,1.23,5.8,2.9,,6.2,2.5,174,3.7,9.0,8.5,6.8,19.1
297,2010,,20.8,0.1,0.14,0.9,3.3,2.8,,3.7,1.3,67,2.9,5.7,12.9,2.9,22.0
297,2015,0.73,17.0,0.09,0.13,0.82,2.8,2.9,0.01,3.2,1.7,72.0,2.3,5.6,8.9,3.0,97.3
297,2020,"<1,00",19.2,"<2,00","<0,50","<1,00",2.76,"<2,00","<0,100",3.55,"<10,00",125,"<2,00",4.94,15.5,2.91,9.25
299,1995,,59.7,0.43,1.04,2.68,22.8,15.3,,7.7,9.5,333,18.8,34.1,560.0,40.0,68.3
299,2000,,49.7,0.57,0.84,1.95,18.8,13.3,,3.9,7.9,277,19.2,34.2,490.0,53.3,61.7
299,2005,,51.6,0.67,0.78,2.36,25.6,12.3,,8.6,9.6,270,20.6,30.3,517.5,54.5,68.7
299,2010,,52.9,0.41,0.69,2.95,14.9,10.6,,7.0,5.7,301,11.0,16.5,453.4,19.5,60.7
299,2015,3.35,38.4,0.41,0.69,3.05,14.1,8.7,0.03,6.2,5.5,283.0,11.0,13.2,510.1,18.8,53.2
299,2020,2.87,53.6,"<2,00",0.82,2.73,14.9,6.18,"<0,100",8.42,"<10,00",279,9.14,15.8,471,19.1,67.5
301,1995,,78.0,0.33,0.36,3.09,18.7,21.8,,17.7,39.0,520,14.5,47.6,14.8,46.7,86.7
301,2000,,101.0,0.5,0.43,4.09,17.5,25.3,,15.4,35.7,615,19.1,49.0,19.2,46.7,101.3
301,2005,,124.7,0.7,0.5,4.66,19.3,26.9,,18.1,36.1,534,18.0,50.6,23.8,38.3,109.6
