point_id,year,c/n [-],humus [%],organic_carbon [%],total_nitrogen [%]
77,2020,8.92,1.84,1.07,0.12
79,1995,12.6,2.16,1.25,0.099
79,2000,11.3,2.25,1.3,0.115
79,2005,8.4,1.98,1.15,0.137
79,2010,10.7,2.86,1.66,0.155
79,2015,8.6,2.67,1.55,0.18
79,2020,10.0,1.56,0.9,0.09
81,1995,14.0,1.81,1.05,0.075
81,2000,11.5,1.8,1.04,0.09
81,2005,10.6,1.56,0.9,0.085
81,2010,12.4,1.76,1.02,0.082
81,2015,10.8,1.49,0.86,0.08
81,2020,7.4,1.91,1.11,0.15
83,1995,16.0,1.93,1.12,0.07
83,2000,13.6,1.88,1.09,0.08
83,2005,13.5,1.84,1.07,0.079
83,2010,14.1,2.21,1.28,0.091
83,2015,9.4,1.79,1.04,0.11
83,2020,9.7,1.67,0.97,0.1
85,1995,15.4,4.39,2.54,0.165
85,2000,13.5,3.96,2.3,0.17
85,2005,11.4,3.77,2.19,0.192
85,2010,12.5,4.0,2.32,0.186
85,2015,11.5,4.37,2.54,0.22
85,2020,14.41,4.22,2.45,0.17
87,1995,13.7,1.89,1.1,0.08
87,2000,10.9,1.69,0.98,0.09
87,2005,12.6,1.52,0.88,0.07
87,2010,10.0,2.17,1.26,0.126
87,2015,9.1,2.68,1.55,0.17
87,2020,13.71,1.66,0.96,0.07
89,1995,10.2,1.03,0.6,0.059
89,2000,9.3,1.15,0.67,0.072
89,2005,9.4,1.31,0.76,0.081
89,2010,8.5,1.86,1.08,0.127
89,2015,8.4,1.68,0.97,0.11
89,2020,13.11,2.03,1.18,0.09
91,1995,15.7,1.76,1.02,0.065
91,2000,14.2,1.8,1.04,0.073
91,2005,12.9,1.67,0.97,0.075
91,2010,11.9,1.83,1.06,0.089
91,2015,11.0,1.51,0.88,0.08
91,2020,15.25,2.1,1.22,0.08
93,1995,13.9,1.72,1.0,0.072
93,2000,11.5,1.59,0.92,0.08
93,2005,11.5,1.49,0.86,0.075
93,2010,10.9,1.45,0.84,0.077
93,2015,8.1,1.26,0.73,0.09
93,2020,19.57,2.36,1.37,0.07
95,1995,21.9,0.8,0.46,0.021
95,2000,14.8,0.9,0.52,0.035
95,2005,10.7,0.75,0.43,0.04
95,2010,11.2,1.1,0.64,0.057
95,2015,6.9,0.83,0.48,0.07
95,2020,17.57,2.07,1.23,0.07
97,1995,12.8,1.55,0.9,0.07
97,2000,11.2,1.56,0.9,0.08
97,2005,9.5,1.43,0.83,0.087
97,2010,10.2,1.83,1.06,0.104
97,2015,8.9,1.69,0.98,0.11
97,2020,29.0,3.51,2.03,0.07
99,1995,11.1,1.55,0.9,0.081
99,2000,10.8,1.4,0.81,0.075
99,2005,13.5,1.66,0.96,0.071
99,2010,9.8,1.48,0.86,0.088
99,2015,9.2,1.74,1.01,0.11
99,2020,28.0,3.86,2.24,0.08
101,1995,15.0,1.45,0.84,0.056
101,2000,14.5,1.51,0.87,0.06
101,2005,13.9,1.67,0.97,0.07
101,2010,12.9,1.69,0.98,0.076
101,2015,11.2,1.35,0.78,0.07
101,2020,14.5,1.51,0.87,0.06
103,1995,13.6,1.03,0.6,0.044
103,2000,16.2,1.13,0.65,0.04
103,2005,11.5,1.03,0.6,0.052
103,2010,10.6,1.24,0.72,0.068
103,2015,7.9,1.23,0.71,0.09
103,2020,9.73,1.85,1.07,0.11
105,1995,10.5,1.39,0.81,0.077
105,2000,10.6,1.51,0.87,0.082
105,2005,7.8,1.42,0.82,0.105
105,2010,9.1,1.34,0.78,0.086
105,2015,9.0,1.7,0.99,0.11
105,2020,5.0,2.88,1.1,0.22
107,1995,12.4,1.07,0.62,0.05
107,2000,9.0,0.99,0.57,0.063
107,2005,10.8,0.92,0.53,0.049
107,2010,11.2,1.12,0.65,0.058
107,2015,7.2,0.86,0.5,0.07
107,2020,23.33,1.21,0.7,0.03
111,1995,16.2,1.17,0.68,0.042
111,2000,13.4,1.15,0.67,0.05
111,2005,11.8,1.23,0.71,0.06
111,2010,10.5,1.17,0.68,0.065
111,2015,9.0,1.24,0.72,0.08
111,2020,14.0,1.93,1.12,0.08
113,1995,11.1,1.25,0.72,0.065
113,2000,12.5,1.2,0.7,0.056
113,2005,10.9,1.08,0.63,0.058
113,2010,9.3,1.09,0.63,0.068
113,2015,8.2,1.13,0.66,0.08
113,2020,17.18,3.26,1.89,0.11
115,1995,12.1,1.88,1.09,0.09
115,2000,11.7,2.08,1.21,0.103
115,2005,11.5,2.01,1.17,0.102
115,2010,10.7,1.79,1.04,0.097
115,2015,8.4,1.59,0.92,0.11
115,2020,5.7,0.98,0.57,0.1
117,1995,8.5,1.31,0.76,0.089
117,2000,9.1,1.2,0.7,0.077
117,2005,10.4,1.25,0.72,0.069
117,2010,10.9,1.53,0.89,0.082
117,2015,8.2,1.55,0.9,0.11
117,2020,8.3,1.43,0.83,0.1
119,1995,10.5,1.45,0.84,0.08
119,2000,10.1,1.39,0.81,0.08
119,2005,8.7,1.21,0.7,0.08
119,2010,11.7,1.43,0.83,0.071
119,2015,9.4,1.29,0.75,0.08
119,2020,12.5,1.72,1.0,0.08
121,1995,8.9,1.1,0.64,0.072
121,2000,9.3,1.36,0.79,0.085
121,2005,10.0,1.2,0.7,0.07
121,2010,10.3,1.4,0.81,0.079
121,2015,9.6,1.33,0.77,0.08
121,2020,20.88,2.88,1.67,0.08
123,1995,10.5,1.42,0.82,0.078
123,2000,10.1,1.29,0.75,0.074
123,2005,8.1,1.25,0.72,0.089
123,2010,10.6,1.31,0.76,0.072
123,2015,11.3,1.57,0.91,0.08
123,2020,25.86,3.12,1.81,0.07
125,1995,7.9,1.99,1.15,0.145
125,2000,7.3,2.1,1.22,0.166
125,2005,7.9,2.06,1.19,0.151
125,2010,9.3,2.07,1.2,0.129
125,2015,9.5,2.12,1.23,0.13
125,2020,6.21,1.5,0.87,0.14
127,1995,12.1,1.47,0.85,0.07
127,2000,11.5,1.58,0.92,0.08
127,2005,9.8,1.47,0.85,0.087
127,2010,12.0,1.72,1.0,0.083
127,2015,8.6,1.47,0.85,0.1
127,2020,9.25,1.92,1.11,0.12
129,1995,6.9,1.1,0.64,0.093
129,2000,8.0,1.37,0.8,0.1
129,2005,9.2,1.32,0.77,0.084
129,2010,8.9,1.62,0.94,0.106
129,2015,7.5,1.67,0.97,0.13
129,2020,9.57,2.31,1.34,0.14
131,1995,10.3,3.14,1.82,0.176
131,2000,9.9,3.04,1.76,0.177
131,2005,9.1,2.9,1.68,0.185
131,2010,10.8,1.97,1.14,0.106
131,2015,8.7,1.5,0.87,0.1
131,2020,14.1,2.43,1.41,0.1
133,1995,10.9,1.83,1.06,0.097
133,2000,12.6,2.15,1.25,0.099
133,2005,15.8,2.12,1.23,0.078
133,2010,8.3,1.66,0.96,0.115
133,2015,9.8,1.85,1.07,0.11
133,2020,7.46,1.67,0.97,0.13
135,1995,12.2,1.72,1.0,0.082
135,2000,12.9,1.74,1.01,0.078
135,2005,12.9,1.75,1.01,0.078
135,2010,9.2,1.52,0.88,0.096
135,2015,9.8,1.69,0.98,0.1
135,2020,18.18,3.45,2.0,0.11
