point_id,year,Al [cmol(+)*kg-1],Ca2+ [cmol(+)*kg-1],Hh [cmol(+)*kg-1],Hw [cmol(+)*kg-1],K+ [cmol(+)*kg-1],Mg2+ [cmol(+)*kg-1],Na+ [cmol(+)*kg-1],S [cmol(+)*kg-1],T [cmol(+)*kg-1],V [%]
419,1995,0.11,7.61,3.98,0.25,0.28,0.49,0.1,8.48,12.46,68.06
419,2000,0.12,7.36,4.15,0.38,0.25,0.61,0.1,8.32,12.47,66.72
419,2005,0.41,6.84,4.05,0.48,0.34,0.57,0.08,7.83,11.88,65.91
419,2010,2.49,2.89,8.18,2.77,0.54,0.53,0.18,4.14,12.32,33.59
419,2015,2.61,2.54,8.48,3.01,0.7,0.43,0.03,3.71,12.19,30.41
419,2020,"<0,0022",3.7,7.5,1.45,0.58,0.93,"<0,10",5.21,12.7,41.02
421,1995,,6.19,1.5,,0.52,0.87,0.08,7.66,9.16,83.62
421,2000,,6.13,1.65,,0.49,1.06,0.13,7.81,9.46,82.56
421,2005,,5.56,2.4,,0.47,0.97,0.04,7.04,9.44,74.58
421,2010,0.1,4.68,2.33,0.19,0.45,0.99,0.13,6.24,8.57,72.82
421,2015,0.24,3.37,2.93,0.47,0.76,0.53,0.16,4.82,7.75,62.18
421,2020,"<0,0022",4.6,2.4,0.2,0.47,0.88,"<0,10",5.95,9.8,60.71
423,1995,0.07,6.99,3.68,0.26,0.42,1.23,0.1,8.74,12.42,70.37
423,2000,0.11,6.49,4.08,0.3,0.55,0.95,0.13,8.12,12.2,66.56
423,2005,0.12,6.29,3.9,0.3,0.39,0.86,0.12,7.66,11.56,66.26
423,2010,0.6,4.69,5.4,0.81,0.53,1.36,0.17,6.74,12.14,55.51
423,2015,0.79,4.37,5.33,1.09,1.29,0.34,0.02,6.01,11.34,53.01
423,2020,0.07,5.7,5.1,0.77,0.26,1.08,"<0,10",7.04,15.3,46.01
425,1995,,10.98,1.2,,0.53,0.84,0.19,12.54,13.74,91.27
425,2000,,9.49,1.07,,0.36,0.62,0.1,10.57,11.64,90.81
425,2005,,9.06,1.31,,0.3,0.65,0.12,10.13,11.44,88.55
425,2010,0.23,4.39,5.18,0.37,0.35,0.54,0.17,5.45,10.63,51.28
425,2015,0.18,4.72,4.5,0.37,0.76,0.37,0.01,5.85,10.35,56.54
425,2020,"<0,0022",11.7,1.2,0.07,0.98,0.83,"<0,10",13.51,22.2,60.86
427,1995,0.26,10.23,5.25,0.4,0.4,2.96,0.1,13.69,18.94,72.28
427,2000,0.01,10.97,4.08,0.2,0.5,2.87,0.13,14.47,18.55,78.01
427,2005,0.06,12.87,3.88,0.25,0.46,2.3,0.08,15.71,19.59,80.19
427,2010,0.12,11.25,4.65,0.33,0.33,2.37,0.19,14.13,18.78,75.24
427,2015,0.6,8.91,5.7,0.95,2.49,0.25,0.05,11.69,17.39,67.23
427,2020,0.01,12.7,3.9,0.18,0.17,1.92,"<0,10",14.79,22.1,66.92
429,1995,,11.98,3.9,,0.96,1.53,0.13,14.6,18.5,78.92
429,2000,,11.98,4.28,,0.81,1.64,0.1,14.53,18.81,77.25
429,2005,,11.29,3.25,,1.26,1.81,0.13,14.49,17.74,81.68
429,2010,,13.31,3.45,,2.17,1.95,0.17,17.61,21.06,83.62
429,2015,,12.38,2.63,,1.76,0.56,0.03,14.73,17.36,84.85
429,2020,0.06,15.6,2.4,0.11,0.53,1.38,"<0,10",17.51,29.8,58.76
431,1995,,5.99,2.33,,0.36,1.05,0.1,7.5,9.83,76.3
431,2000,,6.73,1.85,,0.19,1.51,0.06,8.49,10.34,82.11
431,2005,,6.24,1.73,,0.3,1.03,0.02,7.59,9.32,81.44
431,2010,,6.64,1.5,,0.45,2.26,0.06,9.41,10.91,86.25
431,2015,0.19,4.39,2.85,0.37,1.55,0.25,0.01,6.2,9.05,68.51
431,2020,0.03,5.1,3.8,0.19,0.17,1.15,"<0,10",6.42,10.8,59.44
433,1995,,9.11,4.05,,0.38,1.6,0.16,11.25,15.3,73.53
433,2000,,10.97,3.6,,0.38,1.8,0.16,13.31,16.91,78.71
433,2005,,15.55,0.83,,0.3,1.31,0.18,17.34,18.17,95.43
433,2010,,14.27,0.68,,0.4,2.32,0.09,17.08,17.76,96.17
433,2015,,10.46,0.83,,1.53,0.27,0.04,12.3,13.13,93.68
433,2020,"<0,0022",31.9,0.8,0.05,0.25,0.69,"<0,10",32.84,49.4,66.48
435,1995,,8.98,2.33,,0.38,2.96,0.1,12.42,14.75,84.2
435,2000,,9.23,1.95,,0.36,2.43,0.06,12.08,14.03,86.1
435,2005,,16.24,1.13,,0.55,2.43,0.18,19.4,20.53,94.5
435,2010,,15.34,0.98,,0.77,5.14,0.07,21.32,22.3,95.61
435,2015,,8.67,1.2,,14.61,0.49,0.04,23.81,25.01,95.2
435,2020,0.02,16.1,2.1,0.11,0.34,4.23,"<0,10",20.67,23.3,88.71
437,1995,0.11,5.49,2.85,0.23,0.4,1.05,0.1,7.04,9.89,71.18
437,2000,0.03,5.74,2.6,0.1,0.47,0.83,0.06,7.1,9.7,73.2
437,2005,0.09,5.29,3.08,0.25,0.4,0.9,0.04,6.63,9.71,68.28
437,2010,0.09,4.26,3.0,0.21,0.4,0.86,0.09,5.62,8.62,65.18
437,2015,0.16,3.62,2.63,0.35,0.76,0.35,0.07,4.8,7.43,64.59
437,2020,0.01,8.8,3,0.09,0.25,1.52,"<0,10",10.57,17.5,60.4
439,1995,0.94,5.49,4.8,1.12,0.25,0.92,0.06,6.72,11.52,58.33
439,2000,1.05,5.24,4.65,1.35,0.32,0.94,0.03,6.53,11.18,58.41
439,2005,0.54,5.06,4.43,0.77,0.23,1.03,0.04,6.36,10.79,58.94
439,2010,0.56,7.48,4.28,0.74,0.35,1.91,0.13,9.87,14.15,69.76
439,2015,0.44,6.49,3.75,0.7,1.79,0.38,0.11,8.76,12.51,70.03
439,2020,"<0,0022",10.7,2.9,0.12,0.42,1.57,"<0,10",12.69,14.7,86.33
441,1995,,17.56,1.43,,0.76,2.05,0.15,20.52,21.95,93.49
441,2000,,16.72,1.5,,0.72,1.92,0.1,19.46,20.96,92.84
441,2005,,15.79,1.88,,0.59,1.89,0.09,18.36,20.24,90.71
441,2010,,12.67,1.8,,0.73,1.98,0.16,15.54,17.34,89.62
441,2015,,12.87,1.8,,1.71,0.69,0.1,15.38,17.18,89.52
441,2020,"<0,0022",13.3,1.5,0.09,0.57,1.5,"<0,10",15.37,23.3,65.97
443,1995,,8.98,3.68,,0.49,1.76,0.1,11.33,15.01,75.48
443,2000,,9.73,3.93,,0.61,2.31,0.1,12.75,16.68,76.44
443,2005,0.19,9.63,4.5,0.51,0.56,1.85,0.07,12.11,16.61,72.91
443,2010,,18.56,4.58,,0.73,4.2,0.09,23.57,28.15,83.73
443,2015,0.09,13.77,4.28,0.39,3.28,0.52,0.19,17.76,22.04,80.58
443,2020,0.01,10,5.1,0.16,0.65,2.65,"<0,10",13.3,20.7,64.25
445,1995,,7.23,3.53,,0.28,0.71,0.06,8.28,11.81,70.11
445,2000,,9.14,2.61,,0.4,0.83,0.06,10.43,13.04,79.98
445,2005,,9.28,2.4,,0.35,0.96,0.1,10.69,13.09,81.67
445,2010,0.04,8.82,2.33,0.11,0.33,1.17,0.21,10.54,12.87,81.9
445,2015,0.14,8.13,2.85,0.28,0.86,0.25,0.19,9.44,12.29,76.8
445,2020,"<0,0022",14.7,1.5,0.09,0.31,1.17,"<0,10",16.18,19.5,82.97
447,1995,,12.97,3.3,,0.87,1.09,0.16,15.09,18.39,82.06
447,2000,,11.98,4.83,,0.8,0.97,0.18,13.93,18.76,74.25
447,2005,,13.2,3.45,,0.62,0.98,0.15,14.95,18.4,81.25
447,2010,,18.05,1.58,,1.27,1.34,0.23,20.89,22.47,92.97
447,2015,0.28,5.61,6.64,0.53,0.99,1.27,0.2,8.06,14.7,54.84
447,2020,0.02,6.4,5.1,0.25,0.69,0.58,"<0,10",7.67,15.5,49.48
449,1995,,,2.10,,0.62,1.20,0.10,12.27,14.37,85.39
449,2000,,,2.63,,0.59,1.61,0.16,14.33,16.96,84.49
449,2005,,,2.93,,0.72,1.52,0.08,16.29,19.22,84.76
449,2010,0.08,,3.08,0.19,0.86,1.58,0.13,12.71,15.79,80.49
449,2015,0.14,,3.53,0.39,1.75,0.94,0.09,13.46,16.99,79.22
449,2020,0.01,13.1,5.3,0.18,0.55,1.45,"<0,10",15.1,18.9,79.89
