point_id,year,CaCo3 [%],pH_H2O [pH],pH_KCl [pH]
217,2005,,6.2,4.9
217,2010,,6.5,6.1
217,2015,,6.3,5.4
217,2020,"<0,01",6.2,5.4
219,1995,,6.0,5.3
219,2000,,6.3,5.5
219,2005,,6.7,6.0
219,2010,0.04,7.0,6.3
219,2015,,5.2,4.3
219,2020,0.03,6.6,6.5
221,1995,,6.5,5.5
221,2000,,6.4,5.3
221,2005,,6.4,5.5
221,2010,,6.6,5.6
221,2015,,6.7,6.2
221,2020,0.04,6.4,5.4
223,1995,,6.8,5.8
223,2000,,6.8,5.7
223,2005,,6.6,5.6
223,2010,,6.2,5.2
223,2015,,5.9,5.2
223,2020,0.02,6.8,6.1
225,1995,,5.3,4.1
225,2000,,5.7,4.3
225,2005,,5.4,4.3
225,2010,,5.1,4.0
225,2015,,4.2,3.2
225,2020,"<0,01",5.4,4.4
229,1995,,6.7,5.5
229,2000,,7.3,5.8
229,2005,,6.8,5.3
229,2010,0.12,7.2,6.4
229,2015,,6.6,6.0
229,2020,0.03,7.3,6.9
231,1995,,6.2,5.1
231,2000,,5.8,5.0
231,2005,,6.2,5.1
231,2010,,5.9,4.6
231,2015,,4.8,3.8
231,2020,"<0,01",5.2,4.2
233,1995,,5.3,4.3
233,2000,,7.1,6.1
233,2005,,6.8,5.6
233,2010,,5.3,4.0
233,2015,,5.2,4.4
233,2020,0.02,5.5,4.6
235,1995,,5.6,4.8
235,2000,,6.0,5.0
235,2005,,6.9,6.2
235,2010,,6.5,5.7
235,2015,,5.4,4.6
235,2020,0.19,5.2,4.6
237,1995,,6.0,5.2
237,2000,,6.4,5.5
237,2005,,5.3,4.2
237,2010,,5.7,4.7
237,2015,,4.7,3.9
237,2020,0.02,5.7,4.8
239,1995,,7.0,6.0
239,2000,,6.8,5.8
239,2005,,6.7,5.6
239,2010,,6.4,5.2
239,2015,,5.9,5.1
239,2020,0.24,6.4,5.5
241,1995,,5.5,4.4
241,2000,,6.0,4.8
241,2005,,5.7,4.6
241,2010,,5.6,4.7
241,2015,,6.0,5.2
241,2020,0.02,6.5,6.0
243,1995,,5.8,4.7
243,2000,,5.4,4.3
243,2005,,5.2,3.9
243,2010,,5.1,4.1
243,2015,,4.9,4.2
243,2020,0.03,4.8,4.1
245,1995,,6.8,6.0
245,2000,,7.0,5.7
245,2005,,6.6,5.7
245,2010,,5.0,3.7
245,2015,,4.3,3.8
245,2020,0.02,4.7,3.9
247,1995,,6.0,4.9
247,2000,,7.5,6.3
247,2005,,7.0,6.1
247,2010,0.21,7.0,6.3
247,2015,,4.8,4.0
247,2020,0.09,7.5,7.1
249,1995,,6.1,5.0
249,2000,,6.7,5.3
249,2005,,6.4,4.8
249,2010,,6.2,4.8
249,2015,,5.5,4.6
249,2020,0.03,6.7,6.2
251,1995,,6.1,4.9
251,2000,,6.4,5.2
251,2005,,7.0,6.3
251,2010,,6.6,5.6
251,2015,,5.8,5.0
251,2020,0.02,6.0,5.2
253,1995,,6.3,5.2
253,2000,,6.8,5.4
253,2005,,6.8,5.6
253,2010,0.13,7.2,6.7
253,2015,,5.7,4.8
253,2020,0.04,7.0,6.3
255,1995,,6.3,5.5
255,2000,,6.6,5.3
255,2005,,6.0,5.1
255,2010,,6.5,5.4
255,2015,,5.9,5.2
255,2020,0.03,6.7,6.0
257,1995,,5.5,4.5
257,2000,,5.7,4.3
257,2005,,5.9,4.7
257,2010,,5.9,4.5
257,2015,,5.8,5.4
257,2020,0.21,6.4,5.9
259,1995,,6.1,4.8
259,2000,,6.4,5.2
259,2005,,6.0,5.0
259,2010,,6.4,5.4
259,2015,,6.1,5.2
259,2020,0.02,5.6,4.5
261,1995,,4.9,3.7
261,2000,,6.3,4.9
261,2005,,5.8,4.8
261,2010,,6.2,4.8
261,2015,,5.5,4.6
261,2020,0.04,5.9,4.8
263,1995,,5.9,4.7
263,2000,,5.6,4.4
263,2005,,5.4,4.0
263,2010,,5.3,5.1
263,2015,,5.2,4.2
263,2020,0.16,5.4,4.5
265,1995,,5.9,4.5
265,2000,,5.6,4.3
265,2005,,5.2,4.2
265,2010,,5.4,4.0
265,2015,,4.1,3.2
265,2020,"<0,01",6.9,7.2
267,1995,,6.5,5.4
267,2000,,6.7,5.2
267,2005,,6.2,5.0
267,2010,,6.1,6.3
267,2015,,5.6,4.5
267,2020,0.17,6.2,5.4
269,1995,,6.9,6.1
269,2000,,7.3,6.3
269,2005,,6.9,6.2
269,2010,0.04,7.1,6.4
269,2015,0.02,6.8,6.0
269,2020,0.02,6.7,6.2
271,1995,,5.7,4.3
271,2000,,5.5,4.2
271,2005,,5.3,4.1
271,2010,,6.0,4.6
271,2015,,4.1,3.3
271,2020,0.02,6.2,5.3
273,1995,,5.6,4.3
273,2000,,5.6,4.2
273,2005,,5.2,4.0
273,2010,,5.6,4.1
273,2015,,4.8,3.8
273,2020,0.02,5.9,4.8
275,1995,,6.0,4.7
275,2000,,5.8,4.4
275,2005,,5.7,4.4
275,2010,,5.4,4.1
275,2015,,4.9,3.7
275,2020,0.18,4.9,4.2
277,1995,,7.1,6.5
277,2000,1.46,7.5,6.8
277,2005,2.31,7.0,6.4
277,2010,2.24,8.3,7.9
277,2015,2.23,7.7,7.2
277,2020,0.25,7.7,7.5
279,1995,,6.7,6.0
279,2000,,6.5,6.1
279,2005,,6.4,5.8
279,2010,0.04,7.6,7.0
279,2015,,5.9,4.9
279,2020,0.02,6.4,5.5
281,1995,,6.0,5.1
281,2000,,6.2,5.0
281,2005,,5.8,4.8
281,2010,,6.3,5.2
281,2015,,6.5,5.9
281,2020,0.02,6.6,5.8
283,1995,,7.0,5.8
283,2000,,7.4,6.3
283,2005,,7.0,6.0
283,2010,0.46,7.3,7.0
283,2015,0.08,7.0,6.5
283,2020,0.9,7.9,7.5
285,1995,,5.9,4.7
285,2000,,6.4,5.3
285,2005,,6.0,5.0
285,2010,,5.9,4.8
285,2015,0.0,7.0,6.5
285,2020,0.02,5.7,4.7
287,1995,,6.7,6.0
287,2000,,6.6,5.7
287,2005,,6.3,5.7
287,2010,,5.7,4.5
287,2015,,5.2,4.2
287,2020,"<0,01",5.2,4.4
289,1995,,6.2,4.8
289,2000,,5.9,4.5
289,2005,,6.1,4.8
289,2010,0.08,6.9,5.9
289,2015,,5.9,4.8
289,2020,0.02,6.5,5.7
291,1995,,6.5,5.6
291,2000,,7.0,6.0
291,2005,,6.6,5.7
291,2010,,6.5,5.8
291,2015,,6.4,5.5
291,2020,0.04,7.1,7.1
295,1995,,4.8,4.0
295,2000,,5.6,4.3
295,2005,,5.2,4.2
295,2010,,5.8,4.9
295,2015,,4.8,4.2
295,2020,0.14,5.8,5.1
297,1995,,6.9,6.4
297,2000,,7.1,6.3
297,2005,,6.9,6.2
297,2010,0.29,7.8,7.3
297,2015,0.62,7.4,7.2
297,2020,0.95,8.3,8.1
299,1995,57.94,7.7,6.8
299,2000,60.97,8.0,6.5
299,2005,60.09,7.5,6.7
299,2010,59.87,8.3,7.7
299,2015,61.86,7.8,7.3
299,2020,57.4,8.0,7.6
301,1995,,5.9,4.8
301,2000,,6.3,5.1
301,2005,,6.5,5.5
301,2010,,6.2,5.4
301,2015,,5.1,4.5
301,2020,0.07,5.7,4.8
303,1995,,5.0,3.8
303,2000,,5.5,4.2
303,2005,,6.8,6.1
303,2010,,5.2,4.3
303,2015,,5.2,4.1
303,2020,0.16,7.6,7.0
305,1995,,6.4,5.2
305,2000,,6.2,5.1
305,2005,,6.4,5.4
305,2010,,5.3,4.2
305,2015,,5.4,4.3
305,2020,0.05,5.0,4.2
307,1995,,7.0,6.0
307,2000,,7.3,6.4
307,2005,,7.1,6.1
307,2010,0.02,6.9,5.9
307,2015,,6.2,5.2
307,2020,0.06,6.6,5.9
311,1995,,6.5,5.4
311,2000,,6.2,5.1
311,2005,,6.9,5.8
311,2010,0.08,7.0,6.0
311,2015,,6.6,5.9
311,2020,0.04,6.9,6.5
313,1995,,6.3,5.2
313,2000,,6.6,5.5
313,2005,,5.8,4.9
313,2010,,6.5,5.9
313,2015,,5.9,5.1
313,2020,0.03,6.2,5.3
