point_id,year,PAH_sum_13 [µg*kg-1],anthracene [µg*kg-1],benzo(a)anthracene [µg*kg-1],benzo(a)fluoranthene [µg*kg-1],benzo(a)pyrene [µg*kg-1],benzo(b)fluoranthene [µg*kg-1],benzo(ghi)perylene [µg*kg-1],benzo(k)fluoranthene [µg*kg-1],chrysene [µg*kg-1],dibenzo(a.h)anthracene [µg*kg-1],fluoranthene [µg*kg-1],fluorene [µg*kg-1],indeno(1.2.3-cd)pyrene [µg*kg-1],naphthalene [µg*kg-1],phenanthrene [µg*kg-1,pyrene [µg*kg-1]
1,1995,353.0,,,,,,,,,,,,,,,
1,2000,397.0,,,,,,,,,,,,,,,
1,2005,186.0,,,,,,,,,,,,,,,
1,2010,202.4,,,,,,,,,,,,,,,
1,2015,238.1,5.9,15.5,6.1,20.7,30.8,16.6,11.7,19.3,6.5,35.2,4.0,19.9,3.0,22.3,29.6
1,2020,88,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",34,"<25,0",34,"<25,0","<25,0",28
3,1995,941.0,,,,,,,,,,,,,,,
3,2000,795.0,,,,,,,,,,,,,,,
3,2005,521.0,,,,,,,,,,,,,,,
3,2010,528.6,,,,,,,,,,,,,,,
3,2015,713.9,7.5,63.4,13.0,70.7,102.0,51.2,35.6,68.5,11.7,111.1,4.2,55.6,6.1,35.2,97.1
3,2020,1178,"<25,0",96,113,116,"<25,0",111,97,114,37,206,"<25,0",153,"<25,0",84,164
5,1995,579.0,,,,,,,,,,,,,,,
5,2000,386.0,,,,,,,,,,,,,,,
5,2005,268.0,,,,,,,,,,,,,,,
5,2010,301.7,,,,,,,,,,,,,,,
5,2015,525.3,6.2,40.7,9.9,52.4,73.7,38.2,25.5,46.0,6.8,82.6,4.9,40.7,12.1,37.9,69.8
5,2020,363,"<25,0",44,"<25,0",43,"<25,0",33,"<25,0",33,"<25,0",73,"<25,0",41,"<25,0",43,53
7,1995,315.0,,,,,,,,,,,,,,,
7,2000,290.0,,,,,,,,,,,,,,,
7,2005,767.0,,,,,,,,,,,,,,,
7,2010,644.1,,,,,,,,,,,,,,,
7,2015,298.2,5.2,20.3,6.6,25.9,39.1,23.2,15.3,25.8,8.2,45.0,1.8,25.1,3.9,23.0,40.4
7,2020,332,"<25,0",25,"<25,0",37,38,28,33,36,"<25,0",53,"<25,0",35,"<25,0","<25,0",47
9,1995,683.0,,,,,,,,,,,,,,,
9,2000,646.0,,,,,,,,,,,,,,,
9,2005,729.0,,,,,,,,,,,,,,,
9,2010,581.8,,,,,,,,,,,,,,,
9,2015,502.1,8.2,40.7,11.3,44.9,70.0,38.0,23.8,42.2,10.4,75.5,5.1,49.6,4.1,29.5,64.3
9,2020,687,"<25,0",65,85,94,"<25,0",59,78,67,"<25,0",121,"<25,0",70,"<25,0",35,98
13,1995,704.0,,,,,,,,,,,,,,,
13,2000,797.0,,,,,,,,,,,,,,,
13,2005,628.0,,,,,,,,,,,,,,,
13,2010,678.7,,,,,,,,,,,,,,,
13,2015,471.8,6.0,33.2,9.6,43.6,61.9,33.3,21.1,36.9,9.2,72.8,5.8,44.6,6.8,39.8,63.6
13,2020,906,"<25,0",70,"<25,0",98,99,71,86,91,"<25,0",144,"<25,0",94,"<25,0",31,122
15,1995,238.0,,,,,,,,,,,,,,,
15,2000,448.0,,,,,,,,,,,,,,,
15,2005,174.0,,,,,,,,,,,,,,,
15,2010,200.2,,,,,,,,,,,,,,,
15,2015,130.3,3.7,8.5,6.1,12.6,7.4,10.0,7.5,9.1,5.8,16.0,4.8,13.9,10.4,16.6,14.3
15,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
17,1995,1247.0,,,,,,,,,,,,,,,
17,2000,1760.0,,,,,,,,,,,,,,,
17,2005,1209.0,,,,,,,,,,,,,,,
17,2010,951.6,,,,,,,,,,,,,,,
17,2015,585.6,10.0,40.8,11.1,49.1,67.2,33.1,22.7,40.9,10.9,109.2,7.0,38.4,6.6,56.8,99.5
17,2020,347,"<25,0",27,"<25,0",37,37,31,30,35,"<25,0",60,"<25,0",36,"<25,0","<25,0",54
21,1995,295.0,,,,,,,,,,,,,,,
21,2000,483.0,,,,,,,,,,,,,,,
21,2005,297.0,,,,,,,,,,,,,,,
21,2010,369.6,,,,,,,,,,,,,,,
21,2015,446.7,5.8,29.0,7.2,36.7,54.3,34.1,19.7,35.2,8.8,63.4,5.2,36.0,11.0,63.7,54.8
21,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
23,1995,724.0,,,,,,,,,,,,,,,
23,2000,764.0,,,,,,,,,,,,,,,
23,2005,673.0,,,,,,,,,,,,,,,
23,2010,604.0,,,,,,,,,,,,,,,
23,2015,459.5,6.1,35.1,9.0,40.5,61.9,34.0,22.8,41.6,9.5,67.2,5.5,36.7,6.7,40.4,58.0
23,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
25,1995,196.0,,,,,,,,,,,,,,,
25,2000,235.0,,,,,,,,,,,,,,,
25,2005,410.0,,,,,,,,,,,,,,,
25,2010,151.7,,,,,,,,,,,,,,,
25,2015,128.3,3.2,7.1,4.4,10.5,6.4,10.2,7.0,10.5,5.4,15.0,3.3,12.3,9.2,24.7,12.7
25,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
27,1995,199.0,,,,,,,,,,,,,,,
27,2000,326.0,,,,,,,,,,,,,,,
27,2005,241.0,,,,,,,,,,,,,,,
27,2010,257.9,,,,,,,,,,,,,,,
27,2015,189.0,2.5,12.3,4.4,17.7,28.9,13.8,10.4,15.9,4.4,27.6,2.1,15.7,5.0,13.4,24.3
27,2020,935,"<25,0",66,"<25,0",88,93,86,80,84,"<25,0",153,"<25,0",126,"<25,0",32,127
29,1995,595.0,,,,,,,,,,,,,,,
29,2000,730.0,,,,,,,,,,,,,,,
29,2005,358.0,,,,,,,,,,,,,,,
29,2010,431.6,,,,,,,,,,,,,,,
29,2015,220.3,4.6,14.5,5.3,23.0,29.9,21.0,12.1,17.0,7.8,27.0,1.2,19.8,8.2,12.9,29.5
29,2020,212,"<25,0","<25,0",49,44,"<25,0","<25,0",30,31,"<25,0",47,"<25,0",37,"<25,0","<25,0","<25,0"
31,1995,236.0,,,,,,,,,,,,,,,
31,2000,161.0,,,,,,,,,,,,,,,
31,2005,125.0,,,,,,,,,,,,,,,
31,2010,125.0,,,,,,,,,,,,,,,
31,2015,217.4,4.0,17.2,4.3,21.0,23.8,15.0,10.9,18.2,4.6,29.1,4.3,16.0,7.6,28.3,25.0
31,2020,30,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",30,"<25,0","<25,0","<25,0","<25,0","<25,0"
33,1995,559.0,,,,,,,,,,,,,,,
33,2000,630.0,,,,,,,,,,,,,,,
33,2005,857.0,,,,,,,,,,,,,,,
33,2010,413.6,,,,,,,,,,,,,,,
33,2015,225.7,3.8,16.4,5.4,20.7,7.9,18.1,12.3,21.4,5.0,35.4,4.0,19.2,9.6,31.9,29.5
33,2020,469,"<25,0",51,"<25,0",56,70,44,34,39,"<25,0",67,"<25,0",56,"<25,0","<25,0",52
35,1995,141.0,,,,,,,,,,,,,,,
35,2000,141.0,,,,,,,,,,,,,,,
35,2005,135.0,,,,,,,,,,,,,,,
35,2010,138.3,,,,,,,,,,,,,,,
35,2015,132.7,3.7,9.7,5.2,12.8,6.3,11.7,7.0,10.9,5.2,17.3,3.1,12.4,3.2,16.9,15.7
35,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
37,1995,122.0,,,,,,,,,,,,,,,
37,2000,121.0,,,,,,,,,,,,,,,
37,2005,68.0,,,,,,,,,,,,,,,
37,2010,102.8,,,,,,,,,,,,,,,
37,2015,99.8,4.2,6.9,6.5,9.8,6.4,6.7,6.2,6.4,5.8,12.2,4.2,9.4,3.5,10.4,11.1
37,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
39,1995,545.0,,,,,,,,,,,,,,,
39,2000,334.0,,,,,,,,,,,,,,,
39,2005,673.0,,,,,,,,,,,,,,,
39,2010,357.0,,,,,,,,,,,,,,,
39,2015,413.1,5.5,31.7,9.1,37.1,56.6,32.2,20.9,37.7,10.7,60.1,3.9,35.9,16.0,30.7,50.2
39,2020,134,"<25,0","<25,0",29,"<25,0","<25,0","<25,0","<25,0",27,"<25,0",39,"<25,0",34,"<25,0","<25,0",34
41,1995,1150.0,,,,,,,,,,,,,,,
41,2000,1246.0,,,,,,,,,,,,,,,
41,2005,607.0,,,,,,,,,,,,,,,
41,2010,673.1,,,,,,,,,,,,,,,
41,2015,742.7,7.7,60.9,14.8,70.3,99.0,61.6,34.0,69.5,15.6,109.8,4.7,69.9,9.4,45.0,94.7
41,2020,473,"<25,0",40,45,46,"<25,0",34,39,48,"<25,0",96,"<25,0",40,"<25,0",53,77
43,1995,908.0,,,,,,,,,,,,,,,
43,2000,906.0,,,,,,,,,,,,,,,
43,2005,2409.0,,,,,,,,,,,,,,,
43,2010,828.3,,,,,,,,,,,,,,,
43,2015,1188.2,14.0,98.6,16.2,100.0,155.9,77.0,52.4,110.2,16.2,187.6,6.7,93.5,8.0,98.2,177.8
43,2020,589,"<25,0",45,"<25,0",56,56,57,46,45,"<25,0",102,"<25,0",66,"<25,0",30,86
45,1995,443.0,,,,,,,,,,,,,,,
45,2000,460.0,,,,,,,,,,,,,,,
45,2005,1047.0,,,,,,,,,,,,,,,
45,2010,539.7,,,,,,,,,,,,,,,
45,2015,645.4,7.3,48.6,10.0,57.1,81.1,48.4,27.8,54.7,14.4,103.0,5.3,60.2,6.1,51.3,86.3
45,2020,382,"<25,0",25,"<25,0",38,36,45,31,28,"<25,0",70,"<25,0",51,"<25,0","<25,0",58
47,1995,327.0,,,,,,,,,,,,,,,
47,2000,515.0,,,,,,,,,,,,,,,
47,2005,266.0,,,,,,,,,,,,,,,
47,2010,1118.0,,,,,,,,,,,,,,,
47,2015,828.0,6.4,62.6,13.9,78.4,121.4,64.8,39.9,74.0,16.5,126.9,4.1,79.3,7.5,42.8,111.0
47,2020,1266,"<25,0",114,153,145,"<25,0",105,134,142,"<25,0",232,"<25,0",131,"<25,0",67,196
49,1995,819.0,,,,,,,,,,,,,,,
49,2000,584.0,,,,,,,,,,,,,,,
49,2005,591.0,,,,,,,,,,,,,,,
49,2010,833.1,,,,,,,,,,,,,,,
49,2015,718.0,6.2,53.7,11.9,65.7,98.2,48.1,34.7,66.3,12.6,124.8,3.9,58.5,3.2,33.6,111.9
49,2020,926,"<25,0",59,"<25,0",83,95,95,86,69,"<25,0",155,"<25,0",116,"<25,0",37,131
51,1995,596.0,,,,,,,,,,,,,,,
51,2000,340.0,,,,,,,,,,,,,,,
51,2005,592.0,,,,,,,,,,,,,,,
51,2010,930.6,,,,,,,,,,,,,,,
51,2015,1080.6,11.2,89.2,17.2,104.6,148.1,79.7,54.2,103.1,13.9,159.4,8.1,96.4,7.3,73.8,139.0
51,2020,4290,52,415,"<25,0",503,474,316,327,349,"<25,0",657,"<25,0",455,"<25,0",221,521
53,1995,196.0,,,,,,,,,,,,,,,
53,2000,177.0,,,,,,,,,,,,,,,
53,2005,262.0,,,,,,,,,,,,,,,
53,2010,295.3,,,,,,,,,,,,,,,
53,2015,249.9,5.2,15.2,5.7,19.4,11.7,15.1,11.6,20.4,4.3,28.5,6.0,20.0,7.8,67.7,24.9
53,2020,452,"<25,0",33,56,43,"<25,0",39,49,52,"<25,0",88,"<25,0",45,32,33,70
55,1995,459.0,,,,,,,,,,,,,,,
55,2000,452.0,,,,,,,,,,,,,,,
55,2005,220.0,,,,,,,,,,,,,,,
55,2010,603.4,,,,,,,,,,,,,,,
55,2015,406.3,6.3,25.1,7.2,25.4,41.2,23.5,16.3,30.7,7.9,59.2,4.8,27.0,8.1,91.2,47.7
55,2020,369,"<25,0",32,43,39,"<25,0",32,37,40,"<25,0",69,"<25,0",39,27,28,53
57,1995,783.0,,,,,,,,,,,,,,,
57,2000,749.0,,,,,,,,,,,,,,,
57,2005,535.0,,,,,,,,,,,,,,,
57,2010,323.2,,,,,,,,,,,,,,,
57,2015,2265.7,24.8,187.7,31.0,175.3,269.4,150.8,88.4,212.8,33.7,398.1,15.6,185.8,10.3,183.7,339.5
57,2020,493,"<25,0",34,"<25,0",43,49,40,37,44,"<25,0",81,"<25,0",66,"<25,0",39,60
59,1995,195.0,,,,,,,,,,,,,,,
59,2000,120.0,,,,,,,,,,,,,,,
59,2005,242.0,,,,,,,,,,,,,,,
59,2010,230.0,,,,,,,,,,,,,,,
59,2015,389.4,7.5,36.5,9.7,37.0,18.3,26.3,21.4,41.7,8.0,64.0,6.7,36.9,14.3,31.6,53.6
59,2020,232,"<25,0","<25,0","<25,0",26,32,28,"<25,0",26,"<25,0",40,"<25,0",48,"<25,0","<25,0",32
61,1995,210.0,,,,,,,,,,,,,,,
61,2000,154.0,,,,,,,,,,,,,,,
61,2005,269.0,,,,,,,,,,,,,,,
61,2010,238.0,,,,,,,,,,,,,,,
61,2015,259.7,5.8,20.5,7.0,23.0,13.0,16.3,14.0,23.8,5.8,46.2,6.3,23.0,10.9,21.9,40.0
61,2020,93,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",31,"<25,0",36,"<25,0","<25,0",26
63,1995,433.0,,,,,,,,,,,,,,,
63,2000,416.0,,,,,,,,,,,,,,,
63,2005,545.0,,,,,,,,,,,,,,,
63,2010,415.0,,,,,,,,,,,,,,,
63,2015,362.2,6.6,26.4,7.2,26.5,12.5,18.3,15.1,30.1,5.1,55.7,6.9,24.7,10.7,85.7,48.7
63,2020,468,"<25,0",33,"<25,0",43,44,43,38,39,"<25,0",72,"<25,0",70,"<25,0",27,59
65,1995,341.0,,,,,,,,,,,,,,,
65,2000,281.0,,,,,,,,,,,,,,,
65,2005,261.0,,,,,,,,,,,,,,,
65,2010,257.8,,,,,,,,,,,,,,,
65,2015,162.0,4.3,12.0,5.2,16.7,10.0,12.7,10.6,14.0,4.5,23.3,4.5,17.5,9.0,12.7,19.4
65,2020,28,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",28,"<25,0","<25,0","<25,0"
69,1995,368.0,,,,,,,,,,,,,,,
69,2000,249.0,,,,,,,,,,,,,,,
69,2005,241.0,,,,,,,,,,,,,,,
69,2010,421.8,,,,,,,,,,,,,,,
69,2015,365.3,8.0,35.1,9.2,37.2,17.4,23.6,21.3,36.2,7.1,60.8,6.3,32.3,8.3,28.1,51.9
69,2020,386,"<25,0",31,"<25,0",38,40,36,34,34,"<25,0",61,"<25,0",62,"<25,0","<25,0",50
71,1995,588.0,,,,,,,,,,,,,,,
71,2000,570.0,,,,,,,,,,,,,,,
71,2005,716.0,,,,,,,,,,,,,,,
71,2010,656.1,,,,,,,,,,,,,,,
71,2015,239.9,5.9,20.5,6.8,25.1,12.7,15.6,13.3,22.5,4.2,34.9,6.2,19.8,14.0,29.2,29.9
71,2020,312,"<25,0",33,"<25,0",31,27,28,25,28,"<25,0",70,"<25,0",40,"<25,0","<25,0",30
73,1995,187.0,,,,,,,,,,,,,,,
73,2000,192.0,,,,,,,,,,,,,,,
73,2005,156.0,,,,,,,,,,,,,,,
73,2010,135.0,,,,,,,,,,,,,,,
73,2015,187.0,5.3,14.0,5.7,15.2,20.3,11.8,8.3,15.0,6.1,28.6,4.7,13.8,2.6,20.5,23.4
73,2020,29,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",29,"<25,0","<25,0","<25,0"
75,1995,746.0,,,,,,,,,,,,,,,
75,2000,1780.0,,,,,,,,,,,,,,,
75,2005,876.0,,,,,,,,,,,,,,,
75,2010,938.6,,,,,,,,,,,,,,,
75,2015,908.7,6.7,68.7,15.2,88.2,136.3,70.3,46.5,84.8,15.3,139.3,4.4,79.3,3.3,46.9,121.9
75,2020,750,"<25,0",47,"<25,0",73,80,79,66,64,"<25,0",108,"<25,0",116,"<25,0",28,89
77,1995,444.0,,,,,,,,,,,,,,,
77,2000,559.0,,,,,,,,,,,,,,,
77,2005,184.0,,,,,,,,,,,,,,,
77,2010,534.6,,,,,,,,,,,,,,,
77,2015,912.5,7.8,71.6,15.5,87.7,122.2,60.2,43.6,80.1,13.7,160.0,4.5,71.6,3.1,49.4,139.9
77,2020,1336,"<25,0",102,"<25,0",136,132,130,114,115,"<25,0",209,"<25,0",181,"<25,0",41,176
79,1995,197.0,,,,,,,,,,,,,,,
79,2000,342.0,,,,,,,,,,,,,,,
79,2005,210.0,,,,,,,,,,,,,,,
79,2010,196.5,,,,,,,,,,,,,,,
79,2015,206.5,3.9,15.4,6.3,18.6,6.9,17.2,10.8,19.7,6.4,36.5,4.4,20.5,18.8,15.2,31.1
79,2020,313,"<25,0",38,"<25,0",40,51,30,"<25,0",29,"<25,0",49,"<25,0",38,"<25,0","<25,0",38
81,1995,639.0,,,,,,,,,,,,,,,
81,2000,408.0,,,,,,,,,,,,,,,
81,2005,301.0,,,,,,,,,,,,,,,
81,2010,434.5,,,,,,,,,,,,,,,
81,2015,232.4,3.5,16.3,6.2,20.1,33.6,17.5,11.7,21.8,6.5,36.1,3.0,20.2,6.4,10.8,31.2
81,2020,1099,"<25,0",106,"<25,0",129,168,89,83,98,"<25,0",148,"<25,0",128,"<25,0",30,120
83,1995,740.0,,,,,,,,,,,,,,,
83,2000,305.0,,,,,,,,,,,,,,,
83,2005,544.0,,,,,,,,,,,,,,,
83,2010,785.0,,,,,,,,,,,,,,,
83,2015,570.4,5.8,42.5,12.7,50.0,78.9,33.7,26.7,46.2,10.6,98.1,5.0,48.9,6.4,38.6,85.6
83,2020,980,"<25,0",95,"<25,0",113,120,77,68,83,"<25,0",166,"<25,0",101,"<25,0",30,127
85,1995,168.0,,,,,,,,,,,,,,,
85,2000,226.0,,,,,,,,,,,,,,,
85,2005,139.0,,,,,,,,,,,,,,,
85,2010,157.5,,,,,,,,,,,,,,,
85,2015,183.4,6.2,11.0,8.2,15.0,10.3,14.2,10.3,16.4,9.2,23.6,5.8,20.0,8.9,21.1,20.1
85,2020,1914,"<25,0",171,"<25,0",296,288,223,185,134,"<25,0",144,"<25,0",320,"<25,0",25,128
87,1995,222.0,,,,,,,,,,,,,,,
87,2000,367.0,,,,,,,,,,,,,,,
87,2005,285.0,,,,,,,,,,,,,,,
87,2010,247.3,,,,,,,,,,,,,,,
87,2015,101.9,5.1,5.9,5.9,8.3,6.4,6.9,6.2,8.2,5.3,13.8,3.4,9.4,2.6,13.3,9.9
87,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
89,1995,111.0,,,,,,,,,,,,,,,
89,2000,118.0,,,,,,,,,,,,,,,
89,2005,171.0,,,,,,,,,,,,,,,
89,2010,120.0,,,,,,,,,,,,,,,
89,2015,97.5,3.6,6.3,5.7,9.4,6.0,7.5,5.9,6.5,5.2,12.7,3.9,9.8,6.2,9.4,11.3
89,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
91,1995,134.0,,,,,,,,,,,,,,,
91,2000,132.0,,,,,,,,,,,,,,,
91,2005,129.0,,,,,,,,,,,,,,,
91,2010,100.0,,,,,,,,,,,,,,,
91,2015,102.0,3.6,7.4,5.7,9.4,6.0,6.9,6.1,7.9,5.2,13.0,3.2,9.6,4.4,12.4,11.4
91,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
93,1995,4122.0,,,,,,,,,,,,,,,
93,2000,1638.0,,,,,,,,,,,,,,,
93,2005,1131.0,,,,,,,,,,,,,,,
93,2010,1722.1,,,,,,,,,,,,,,,
93,2015,1279.0,20.8,82.2,17.3,103.6,159.7,92.0,60.5,109.2,33.2,230.1,15.7,108.4,8.5,78.1,185.4
93,2020,1927,"<25,0",131,"<25,0",188,206,164,169,216,"<25,0",369,"<25,0",177,"<25,0","<25,0",307
95,1995,179.0,,,,,,,,,,,,,,,
95,2000,104.0,,,,,,,,,,,,,,,
95,2005,206.0,,,,,,,,,,,,,,,
95,2010,224.0,,,,,,,,,,,,,,,
95,2015,157.5,4.4,9.8,5.5,13.1,6.2,8.7,6.5,10.8,3.1,17.8,4.3,10.0,3.7,47.1,15.8
95,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
97,1995,351.0,,,,,,,,,,,,,,,
97,2000,201.0,,,,,,,,,,,,,,,
97,2005,239.0,,,,,,,,,,,,,,,
97,2010,265.9,,,,,,,,,,,,,,,
97,2015,159.1,4.0,11.0,5.5,14.1,7.5,10.9,8.2,15.0,4.3,26.0,4.3,14.1,5.0,18.5,21.1
97,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
99,1995,1248.0,,,,,,,,,,,,,,,
99,2000,1609.0,,,,,,,,,,,,,,,
99,2005,1842.0,,,,,,,,,,,,,,,
99,2010,1615.0,,,,,,,,,,,,,,,
99,2015,1435.1,20.2,109.8,26.0,124.4,173.6,105.0,60.8,122.1,22.7,227.2,12.2,130.8,8.5,127.4,199.0
99,2020,169,"<25,0","<25,0",28,"<25,0","<25,0","<25,0","<25,0",26,"<25,0",52,"<25,0",26,36,29,36
101,1995,187.0,,,,,,,,,,,,,,,
101,2000,54.0,,,,,,,,,,,,,,,
101,2005,155.0,,,,,,,,,,,,,,,
101,2010,377.5,,,,,,,,,,,,,,,
101,2015,139.5,4.2,9.3,5.9,11.7,15.2,8.6,6.5,9.4,4.1,17.4,3.8,11.0,3.4,22.8,15.6
101,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
103,1995,308.0,,,,,,,,,,,,,,,
103,2000,279.0,,,,,,,,,,,,,,,
103,2005,284.0,,,,,,,,,,,,,,,
103,2010,324.5,,,,,,,,,,,,,,,
103,2015,274.1,4.3,18.3,6.6,23.8,34.2,20.4,12.9,24.2,4.9,43.4,4.4,25.2,4.0,22.2,36.0
103,2020,430,"<25,0",33,51,52,"<25,0",38,46,45,"<25,0",81,"<25,0",45,"<25,0",26,64
105,1995,353.0,,,,,,,,,,,,,,,
105,2000,140.0,,,,,,,,,,,,,,,
105,2005,260.0,,,,,,,,,,,,,,,
105,2010,210.1,,,,,,,,,,,,,,,
105,2015,242.9,5.3,18.0,7.0,20.3,29.8,15.3,10.9,21.0,5.0,40.9,4.7,18.8,6.8,18.6,34.3
105,2020,104,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",43,"<25,0","<25,0",33,28,33
107,1995,232.0,,,,,,,,,,,,,,,
107,2000,270.0,,,,,,,,,,,,,,,
107,2005,300.0,,,,,,,,,,,,,,,
107,2010,1334.0,,,,,,,,,,,,,,,
107,2015,474.6,9.3,32.2,10.8,43.7,58.5,49.2,17.0,33.3,38.9,51.8,12.3,61.0,10.7,20.0,47.4
107,2020,986,"<25,0",54,"<25,0",105,131,147,114,88,"<25,0",85,"<25,0",193,"<25,0","<25,0",69
111,1995,152.0,,,,,,,,,,,,,,,
111,2000,239.0,,,,,,,,,,,,,,,
111,2005,316.0,,,,,,,,,,,,,,,
111,2010,144.4,,,,,,,,,,,,,,,
111,2015,102.8,3.6,6.9,4.8,9.7,12.6,7.4,5.9,7.3,5.2,13.1,2.8,9.2,2.1,7.6,11.5
111,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
113,1995,172.0,,,,,,,,,,,,,,,
113,2000,153.0,,,,,,,,,,,,,,,
113,2005,413.0,,,,,,,,,,,,,,,
113,2010,257.3,,,,,,,,,,,,,,,
113,2015,158.2,4.0,11.0,5.3,13.8,18.6,10.3,7.8,11.7,5.4,22.5,3.3,12.8,2.3,17.7,19.4
113,2020,249,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",30,"<25,0",77,"<25,0","<25,0",121,89,53
115,1995,199.0,,,,,,,,,,,,,,,
115,2000,174.0,,,,,,,,,,,,,,,
115,2005,348.0,,,,,,,,,,,,,,,
115,2010,229.3,,,,,,,,,,,,,,,
115,2015,167.0,4.0,11.7,5.6,15.6,21.5,12.4,8.7,13.0,6.0,24.4,3.1,15.3,5.5,10.3,21.0
115,2020,114,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",42,"<25,0",38,"<25,0","<25,0",34
117,1995,233.0,,,,,,,,,,,,,,,
117,2000,478.0,,,,,,,,,,,,,,,
117,2005,278.0,,,,,,,,,,,,,,,
117,2010,921.7,,,,,,,,,,,,,,,
117,2015,1021.5,11.0,107.0,18.3,109.8,39.9,71.0,57.1,117.3,13.4,173.5,7.2,88.7,12.4,68.7,156.8
117,2020,28,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",28,"<25,0","<25,0","<25,0","<25,0","<25,0"
119,1995,196.0,,,,,,,,,,,,,,,
119,2000,266.0,,,,,,,,,,,,,,,
119,2005,380.0,,,,,,,,,,,,,,,
119,2010,463.4,,,,,,,,,,,,,,,
119,2015,183.1,3.5,12.6,5.4,16.9,25.0,13.9,10.1,15.7,5.8,25.5,2.5,16.1,5.5,13.2,22.4
119,2020,373,"<25,0",34,57,52,"<25,0",37,44,42,"<25,0",65,"<25,0",45,"<25,0","<25,0",54
121,1995,1519.0,,,,,,,,,,,,,,,
121,2000,256.0,,,,,,,,,,,,,,,
121,2005,196.0,,,,,,,,,,,,,,,
121,2010,196.6,,,,,,,,,,,,,,,
121,2015,135.3,3.2,8.2,4.8,11.7,15.6,9.8,7.4,10.0,5.2,18.2,2.7,11.9,1.8,15.6,15.7
121,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
123,1995,335.0,,,,,,,,,,,,,,,
123,2000,539.0,,,,,,,,,,,,,,,
123,2005,610.0,,,,,,,,,,,,,,,
123,2010,730.9,,,,,,,,,,,,,,,
123,2015,1205.6,17.3,99.1,13.8,110.7,36.6,75.4,52.5,116.6,11.1,221.4,16.0,90.3,15.4,173.5,185.2
123,2020,557,"<25,0",50,61,59,"<25,0",44,55,62,"<25,0",108,"<25,0",53,"<25,0",36,90
125,1995,338.0,,,,,,,,,,,,,,,
125,2000,531.0,,,,,,,,,,,,,,,
125,2005,336.0,,,,,,,,,,,,,,,
125,2010,306.5,,,,,,,,,,,,,,,
