point_id,year,PAH_sum_13 [µg*kg-1],anthracene [µg*kg-1],benzo(a)anthracene [µg*kg-1],benzo(a)fluoranthene [µg*kg-1],benzo(a)pyrene [µg*kg-1],benzo(b)fluoranthene [µg*kg-1],benzo(ghi)perylene [µg*kg-1],benzo(k)fluoranthene [µg*kg-1],chrysene [µg*kg-1],dibenzo(a.h)anthracene [µg*kg-1],fluoranthene [µg*kg-1],fluorene [µg*kg-1],indeno(1.2.3-cd)pyrene [µg*kg-1],naphthalene [µg*kg-1],phenanthrene [µg*kg-1,pyrene [µg*kg-1]
323,2020,1658,"<25,0",167,227,237,"<25,0",153,184,169,"<25,0",251,"<25,0",229,"<25,0",67,201
325,1995,595.0,,,,,,,,,,,,,,,
325,2000,353.0,,,,,,,,,,,,,,,
325,2005,356.0,,,,,,,,,,,,,,,
325,2010,281.2,,,,,,,,,,,,,,,
325,2015,338.9,5.2,23.4,6.8,28.2,45.6,21.7,16.1,28.1,8.1,53.3,5.4,28.6,8.6,32.9,42.4
325,2020,214,"<25,0","<25,0","<25,0",25,31,"<25,0","<25,0",28,"<25,0",47,"<25,0",46,"<25,0","<25,0",37
327,1995,1024.0,,,,,,,,,,,,,,,
327,2000,742.0,,,,,,,,,,,,,,,
327,2005,672.0,,,,,,,,,,,,,,,
327,2010,456.0,,,,,,,,,,,,,,,
327,2015,447.5,5.4,34.3,9.1,37.6,61.0,32.3,20.9,42.4,9.8,69.4,4.6,38.3,8.0,34.0,57.3
327,2020,355,"<25,0",28,39,33,"<25,0",27,33,40,"<25,0",68,"<25,0",33,53,39,54
329,1995,379.0,,,,,,,,,,,,,,,
329,2000,506.0,,,,,,,,,,,,,,,
329,2005,555.0,,,,,,,,,,,,,,,
329,2010,585.6,,,,,,,,,,,,,,,
329,2015,502.3,7.2,37.2,8.9,42.4,68.0,34.4,22.6,46.6,9.5,78.8,5.3,41.9,13.9,45.3,63.1
329,2020,1451,44,130,110,109,"<25,0",63,100,143,"<25,0",332,"<25,0",84,"<25,0",192,254
331,1995,1153.0,,,,,,,,,,,,,,,
331,2000,1231.0,,,,,,,,,,,,,,,
331,2005,1414.0,,,,,,,,,,,,,,,
331,2010,1228.0,,,,,,,,,,,,,,,
331,2015,913.1,15.4,73.9,18.2,83.3,125.4,61.2,43.0,82.6,18.4,139.6,8.4,77.3,17.1,60.1,124.5
331,2020,2488,28,253,"<25,0",284,298,171,175,209,"<25,0",390,"<25,0",254,"<25,0",128,298
333,1995,1340.0,,,,,,,,,,,,,,,
333,2000,1209.0,,,,,,,,,,,,,,,
333,2005,1803.0,,,,,,,,,,,,,,,
333,2010,877.0,,,,,,,,,,,,,,,
333,2015,446.8,6.5,30.8,8.1,34.5,61.6,29.8,20.2,42.4,9.6,74.6,5.2,37.5,12.0,35.9,58.1
333,2020,575,"<25,0",43,56,45,"<25,0",41,44,60,"<25,0",124,"<25,0",62,"<25,0",63,93
335,1995,1435.0,,,,,,,,,,,,,,,
335,2000,1390.0,,,,,,,,,,,,,,,
335,2005,1392.0,,,,,,,,,,,,,,,
335,2010,1016.0,,,,,,,,,,,,,,,
335,2015,754.5,12.7,48.9,13.7,53.5,114.5,52.4,35.4,80.1,16.7,118.1,8.1,64.4,19.0,62.5,87.1
335,2020,592,"<25,0",33,"<25,0",43,58,66,33,42,"<25,0",104,"<25,0",85,"<25,0",45,83
337,1995,316.0,,,,,,,,,,,,,,,
337,2000,465.0,,,,,,,,,,,,,,,
337,2005,784.0,,,,,,,,,,,,,,,
337,2010,368.0,,,,,,,,,,,,,,,
337,2015,317.5,4.5,26.4,7.2,29.0,43.4,21.3,15.5,28.6,7.5,49.7,3.0,27.6,4.3,18.3,42.7
337,2020,500,"<25,0",48,55,65,"<25,0",37,44,48,"<25,0",93,"<25,0",56,"<25,0",36,73
339,1995,293.0,,,,,,,,,,,,,,,
339,2000,459.0,,,,,,,,,,,,,,,
339,2005,612.0,,,,,,,,,,,,,,,
339,2010,291.1,,,,,,,,,,,,,,,
339,2015,222.4,4.4,17.9,6.2,22.6,10.4,18.3,12.3,20.9,6.9,36.0,3.1,22.3,4.0,16.7,30.6
339,2020,111,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",26,"<25,0",47,"<25,0","<25,0","<25,0","<25,0",38
341,1995,213.0,,,,,,,,,,,,,,,
341,2000,346.0,,,,,,,,,,,,,,,
341,2005,224.0,,,,,,,,,,,,,,,
341,2010,216.7,,,,,,,,,,,,,,,
341,2015,169.9,3.7,12.7,5.0,16.0,8.2,13.7,9.2,15.2,5.9,26.7,3.0,17.2,6.3,16.1,22.3
341,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
343,1995,454.0,,,,,,,,,,,,,,,
343,2000,203.0,,,,,,,,,,,,,,,
343,2005,558.0,,,,,,,,,,,,,,,
343,2010,461.0,,,,,,,,,,,,,,,
343,2015,481.9,7.0,35.0,9.5,39.6,68.2,38.0,22.4,43.3,10.8,71.1,6.9,44.5,11.8,36.3,58.9
343,2020,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0"
345,1995,784.0,,,,,,,,,,,,,,,
345,2000,646.0,,,,,,,,,,,,,,,
345,2005,1017.0,,,,,,,,,,,,,,,
345,2010,622.4,,,,,,,,,,,,,,,
345,2015,727.0,9.4,56.0,11.9,60.4,94.7,42.5,31.6,63.6,12.6,128.3,5.7,54.9,8.6,62.4,104.9
345,2020,775,"<25,0",69,82,76,"<25,0",55,71,85,"<25,0",160,"<25,0",70,"<25,0",61,128
347,1995,1194.0,,,,,,,,,,,,,,,
347,2000,1073.0,,,,,,,,,,,,,,,
347,2005,1204.0,,,,,,,,,,,,,,,
347,2010,4903.3,,,,,,,,,,,,,,,
347,2015,8352.9,114.8,737.8,148.0,713.2,1053.0,369.8,343.5,686.2,84.4,1738.4,36.7,466.3,26.7,502.3,1506.4
347,2020,5923,97,640,630,638,"<25,0",374,558,662,"<25,0",1150,"<25,0",484,"<25,0",340,980
349,1995,294.0,,,,,,,,,,,,,,,
349,2000,232.0,,,,,,,,,,,,,,,
349,2005,455.0,,,,,,,,,,,,,,,
349,2010,324.1,,,,,,,,,,,,,,,
349,2015,274.0,5.1,20.8,6.3,24.4,12.8,20.3,17.4,29.9,5.9,40.9,5.4,23.3,12.7,35.5,32.3
349,2020,95,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",32,"<25,0",38,"<25,0","<25,0",25
351,1995,136.0,,,,,,,,,,,,,,,
351,2000,250.0,,,,,,,,,,,,,,,
351,2005,238.0,,,,,,,,,,,,,,,
351,2010,644.5,,,,,,,,,,,,,,,
351,2015,211.4,4.4,20.6,7.2,22.5,11.0,16.0,13.1,22.5,5.9,27.2,3.4,19.3,7.9,21.6,24.1
351,2020,64,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",36,"<25,0","<25,0","<25,0","<25,0",28
353,1995,11391.0,,,,,,,,,,,,,,,
353,2000,6680.0,,,,,,,,,,,,,,,
353,2005,4912.0,,,,,,,,,,,,,,,
353,2010,1920.6,,,,,,,,,,,,,,,
353,2015,954.4,26.3,75.0,14.6,77.2,118.8,65.1,48.8,80.9,30.2,144.9,18.3,72.9,37.9,77.3,118.6
353,2020,205,"<25,0","<25,0","<25,0",28,29,"<25,0","<25,0",30,"<25,0",49,"<25,0",28,"<25,0","<25,0",41
355,1995,89.0,,,,,,,,,,,,,,,
355,2000,128.0,,,,,,,,,,,,,,,
355,2005,234.0,,,,,,,,,,,,,,,
355,2010,270.0,,,,,,,,,,,,,,,
355,2015,178.2,4.9,15.5,5.9,16.9,7.9,12.5,9.1,17.2,5.3,22.5,4.3,15.9,4.8,25.8,20.2
355,2020,27,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",27,"<25,0","<25,0","<25,0"
357,1995,149.0,,,,,,,,,,,,,,,
357,2000,182.0,,,,,,,,,,,,,,,
357,2005,264.0,,,,,,,,,,,,,,,
357,2010,168.4,,,,,,,,,,,,,,,
357,2015,117.1,2.5,7.8,3.9,10.5,15.6,10.1,6.3,9.2,4.6,15.6,2.1,11.5,2.4,8.2,13.0
357,2020,195,"<25,0","<25,0","<25,0",33,27,"<25,0",25,29,"<25,0",48,"<25,0","<25,0","<25,0","<25,0",33
359,1995,249.0,,,,,,,,,,,,,,,
359,2000,399.0,,,,,,,,,,,,,,,
359,2005,193.0,,,,,,,,,,,,,,,
359,2010,213.0,,,,,,,,,,,,,,,
359,2015,160.8,3.1,8.2,3.9,11.1,5.8,11.0,6.4,10.3,4.7,16.8,2.4,12.7,3.6,54.4,14.0
359,2020,85,"<25,0","<25,0",28,"<25,0","<25,0","<25,0","<25,0","<25,0","<25,0",32,"<25,0",27,31,"<25,0",26
361,1995,262.0,,,,,,,,,,,,,,,
361,2000,274.0,,,,,,,,,,,,,,,
361,2005,204.0,,,,,,,,,,,,,,,
361,2010,175.3,,,,,,,,,,,,,,,
361,2015,109.1,2.4,8.2,3.8,11.0,5.5,9.7,6.7,9.5,4.1,16.1,1.6,11.5,1.7,9.5,13.5
