point_id,year,organochlorine_pesticides_DDT/DDE/DDD [mg*kg-1],organochlorine_pesticides_aldrin [mg*kg-1],organochlorine_pesticides_alfa-HCH [mg*kg-1],organochlorine_pesticides_beta-HCH [mg*kg-1],organochlorine_pesticides_dieldrin [mg*kg-1],organochlorine_pesticides_endrin [mg*kg-1],organochlorine_pesticides_gamma-HCH [mg*kg-1],pesticides_non_chlorinated_compounds_atrazin [mg*kg-1],pesticides_non_chlorinated_compounds_carbaryl [mg*kg-1],pesticides_non_chlorinated_compounds_carbofuran [mg*kg-1]
139,2015,0.076,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
141,2015,0.16,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
143,2015,0.028,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
145,2015,0.043,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
147,2015,0.004,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
149,2015,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
151,2015,0.155,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
153,2015,0.071,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001",0.001,"<0,001"
155,2015,0.004,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
157,2015,0.02,0.001,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
159,2015,0.15,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
161,2015,0.033,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
163,2015,0.04,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
165,2015,0.034,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
167,2015,0.051,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
169,2015,0.003,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
171,2015,0.028,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
173,2015,0.105,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
175,2015,0.042,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
177,2015,0.012,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
179,2015,0.009,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
181,2015,0.014,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
183,2015,0.015,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
187,2015,0.024,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
189,2015,0.071,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
191,2015,0.01,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
193,2015,0.042,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
195,2015,0.024,0.002,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
197,2015,0.037,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
199,2015,0.037,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
