point_id,year,Al [%],Ca [%],Fe [%],K [%],Mg [%],Na [%],P [%],S [%]
261,2015,0.31,0.05,0.35,0.08,0.06,0.008,0.03,0.015
261,2020,0.59,0.05,0.66,0.06,0.07,0.003,0.03,0.012
263,1995,0.88,0.09,0.87,0.14,0.13,0.005,0.067,0.019
263,2000,0.71,0.06,0.79,0.12,0.1,0.004,0.056,0.02
263,2005,0.81,0.06,0.71,0.09,0.1,0.007,0.048,0.016
263,2010,0.52,0.09,0.8,0.09,0.09,0.004,0.029,0.015
263,2015,0.55,0.07,0.84,0.11,0.11,0.004,0.03,0.014
263,2020,0.68,0.31,1.01,0.17,0.17,0.004,0.055,0.013
265,1995,0.4,0.06,0.51,0.07,0.07,0.003,0.03,0.018
265,2000,0.27,0.05,0.31,0.04,0.04,0.004,0.042,0.018
265,2005,0.29,0.06,0.43,0.04,0.03,0.005,0.05,0.014
265,2010,0.15,0.03,0.35,0.03,0.03,0.002,0.029,0.009
265,2015,0.18,0.02,0.32,0.02,0.03,0.002,0.03,0.011
265,2020,0.77,0.15,0.98,0.15,0.15,0.006,0.049,0.005
267,1995,0.56,0.12,0.53,0.11,0.09,0.006,0.064,0.021
267,2000,0.49,0.12,0.55,0.09,0.09,0.005,0.057,0.019
267,2005,0.52,0.11,0.48,0.08,0.07,0.011,0.047,0.019
267,2010,0.3,0.09,0.5,0.07,0.07,0.001,0.037,0.016
267,2015,0.34,0.09,0.52,0.09,0.07,0.007,0.03,0.015
267,2020,0.69,0.18,0.84,0.12,0.12,0.005,0.032,0.012
269,1995,0.67,0.2,0.85,0.13,0.19,0.006,0.02,0.025
269,2000,0.65,0.24,0.97,0.11,0.19,0.01,0.028,0.022
269,2005,0.65,0.28,0.8,0.1,0.23,0.009,0.043,0.079
269,2010,0.44,0.2,0.98,0.07,0.17,0.005,0.04,0.023
269,2015,0.42,0.17,0.89,0.08,0.16,0.009,0.04,0.019
269,2020,0.36,0.1,0.47,0.08,0.07,0.003,0.051,0.013
271,1995,0.33,0.04,0.34,0.06,0.06,0.005,0.029,0.016
271,2000,0.33,0.06,0.41,0.06,0.06,0.005,0.031,0.016
271,2005,0.31,0.06,0.41,0.06,0.04,0.004,0.04,0.016
271,2010,0.23,0.05,0.36,0.05,0.05,0.007,0.037,0.016
271,2015,0.25,0.04,0.41,0.06,0.06,0.007,0.03,0.015
271,2020,0.3,0.09,0.41,0.04,0.06,0.002,0.033,0.01
273,1995,0.3,0.04,0.2,0.04,0.03,0.004,0.029,0.015
273,2000,0.28,0.04,0.23,0.04,0.03,0.004,0.034,0.018
273,2005,0.28,0.03,0.25,0.03,0.02,0.004,0.04,0.015
273,2010,0.29,0.05,0.41,0.05,0.05,0.004,0.042,0.017
273,2015,0.3,0.06,0.35,0.05,0.06,0.003,0.03,0.014
273,2020,0.47,0.48,0.71,0.11,0.1,0.003,0.062,0.011
275,1995,0.32,0.04,0.26,0.03,0.04,0.002,0.086,0.02
275,2000,0.27,0.04,0.29,0.03,0.04,0.003,0.078,0.016
275,2005,0.22,0.02,0.25,0.03,0.03,0.001,0.068,0.016
275,2010,0.23,0.03,0.28,0.02,0.03,0.003,0.037,0.015
275,2015,0.24,0.03,0.3,0.02,0.04,0.003,0.03,0.012
275,2020,0.7,0.29,0.71,0.07,0.09,0.003,0.048,0.009
277,1995,1.2,0.42,1.11,0.19,0.23,0.011,0.056,0.026
277,2000,0.88,0.5,0.82,0.11,0.19,0.01,0.04,0.023
277,2005,0.83,0.44,0.9,0.18,0.28,0.016,0.055,0.025
277,2010,0.57,0.22,0.79,0.08,0.22,0.009,0.042,0.028
277,2015,0.57,0.79,0.72,0.09,0.19,0.008,0.03,0.02
277,2020,0.52,0.2,0.62,0.12,0.15,0.005,0.045,0.029
279,1995,0.87,0.22,0.75,0.11,0.12,0.007,0.062,0.016
279,2000,0.78,0.19,0.6,0.08,0.09,0.006,0.058,0.02
279,2005,0.89,0.17,0.61,0.1,0.07,0.009,0.061,0.029
279,2010,0.47,0.28,0.62,0.11,0.08,0.005,0.06,0.017
279,2015,0.46,0.1,0.52,0.06,0.08,0.005,0.05,0.015
279,2020,0.88,0.31,0.97,0.16,0.15,0.005,0.053,0.014
281,1995,1.18,0.27,1.07,0.16,0.18,0.008,0.062,0.031
281,2000,0.91,0.18,0.83,0.12,0.12,0.008,0.056,0.028
281,2005,0.98,0.17,0.87,0.15,0.13,0.011,0.072,0.027
281,2010,0.66,0.15,0.94,0.12,0.12,0.003,0.059,0.027
281,2015,0.86,0.19,1.01,0.16,0.14,0.004,0.06,0.02
281,2020,0.38,0.07,0.45,0.07,0.06,0.003,0.049,0.012
283,1995,1.46,0.32,1.28,0.2,0.24,0.012,0.051,0.014
283,2000,1.47,0.3,1.48,0.18,0.27,0.01,0.043,0.018
283,2005,1.67,0.37,1.84,0.17,0.23,0.015,0.054,0.022
283,2010,0.47,0.41,0.7,0.09,0.09,0.004,0.038,0.026
283,2015,0.68,0.28,0.77,0.14,0.13,0.007,0.05,0.02
283,2020,1.18,0.44,1.29,0.14,0.22,0.006,0.061,0.064
285,1995,1.05,0.17,0.92,0.15,0.16,0.012,0.042,0.016
285,2000,1.15,0.23,1.08,0.17,0.15,0.009,0.055,0.02
285,2005,1.05,0.19,1.12,0.22,0.13,0.016,0.053,0.021
285,2010,0.69,0.13,0.92,0.09,0.13,0.003,0.035,0.017
285,2015,0.85,0.21,0.98,0.14,0.14,0.008,0.05,0.016
285,2020,0.94,0.22,1.23,0.28,0.23,0.005,0.04,0.012
287,1995,0.36,0.21,0.35,0.06,0.05,0.007,0.045,0.032
287,2000,0.31,0.15,0.26,0.08,0.04,0.004,0.034,0.028
287,2005,0.39,0.17,0.34,0.04,0.03,0.008,0.045,0.026
287,2010,0.26,0.03,0.29,0.05,0.03,0.002,0.035,0.016
287,2015,0.29,0.03,0.26,0.02,0.03,0.004,0.03,0.014
287,2020,0.96,0.26,1.12,0.18,0.19,0.004,0.075,0.006
289,1995,0.42,0.08,0.31,0.05,0.06,0.005,0.048,0.018
289,2000,0.35,0.08,0.27,0.03,0.03,0.004,0.038,0.018
289,2005,0.39,0.08,0.33,0.04,0.03,0.004,0.052,0.016
289,2010,0.32,0.06,0.34,0.05,0.06,0.001,0.058,0.021
289,2015,0.29,0.06,0.32,0.04,0.04,0.004,0.06,0.014
289,2020,0.31,0.19,0.4,0.04,0.05,0.004,0.068,0.01
291,1995,0.78,0.19,0.75,0.13,0.12,0.008,0.045,0.018
291,2000,0.65,0.27,0.86,0.1,0.11,0.006,0.04,0.014
291,2005,0.55,0.22,0.84,0.1,0.12,0.01,0.05,0.016
291,2010,0.31,0.09,0.54,0.08,0.05,0.005,0.041,0.012
291,2015,0.29,0.09,0.54,0.04,0.06,0.003,0.06,0.012
291,2020,1.1,0.14,1.11,0.15,0.16,0.004,0.034,0.012
295,1995,0.6,0.1,0.57,0.12,0.08,0.008,0.026,0.031
295,2000,0.47,0.08,0.5,0.08,0.07,0.006,0.035,0.028
295,2005,0.53,0.13,0.55,0.12,0.06,0.011,0.035,0.03
295,2010,0.37,0.12,0.52,0.08,0.07,0.006,0.026,0.018
295,2015,0.3,0.1,0.41,0.06,0.06,0.013,0.03,0.018
295,2020,1.44,0.36,1.55,0.19,0.28,0.005,0.049,0.011
297,1995,0.39,0.15,0.36,0.06,0.05,0.005,0.023,0.026
297,2000,0.29,0.18,0.4,0.04,0.03,0.004,0.03,0.029
297,2005,0.32,0.21,0.3,0.07,0.04,0.006,0.04,0.025
297,2010,0.17,0.29,0.23,0.05,0.03,0.004,0.037,0.016
297,2015,0.16,0.38,0.25,0.02,0.03,0.003,0.04,0.016
297,2020,0.44,0.05,0.42,0.08,0.06,0.003,0.03,0.07
299,1995,1.67,20.8,1.08,0.56,0.27,0.111,0.117,0.069
299,2000,1.12,25.9,0.83,0.41,0.17,0.098,0.122,0.053
299,2005,1.22,26.8,0.92,0.4,0.21,0.099,0.143,0.066
299,2010,0.83,21.29,0.87,0.25,0.18,0.011,0.132,0.079
299,2015,0.57,21.0,0.77,0.16,0.14,0.011,0.12,0.063
299,2020,0.88,19.03,0.72,0.23,0.17,0.014,0.106,0.205
301,1995,2.2,0.36,2.53,0.2,0.49,0.017,0.104,0.044
301,2000,1.89,0.38,2.4,0.16,0.38,0.016,0.093,0.038
301,2005,1.42,0.5,2.4,0.24,0.34,0.021,0.08,0.04
301,2010,1.81,0.45,2.63,0.23,0.45,0.018,0.116,0.045
301,2015,1.27,0.23,2.13,0.12,0.29,0.009,0.07,0.042
301,2020,1.92,1.94,2.34,0.61,0.77,0.008,0.06,0.038
303,1995,1.63,0.13,1.89,0.16,0.25,0.011,0.082,0.034
303,2000,1.45,0.17,1.45,0.14,0.22,0.008,0.111,0.032
303,2005,1.6,0.42,1.7,0.16,0.22,0.011,0.098,0.039
303,2010,1.06,0.19,1.7,0.18,0.19,0.009,0.084,0.031
303,2015,1.0,0.12,2.2,0.1,0.23,0.007,0.07,0.029
303,2020,0.41,0.14,0.5,0.09,0.1,0.004,0.037,0.026
305,1995,1.67,0.18,3.17,0.17,0.32,0.011,0.101,0.027
305,2000,1.62,0.16,2.75,0.17,0.39,0.01,0.087,0.021
305,2005,1.43,0.14,3.06,0.12,0.33,0.009,0.105,0.025
305,2010,1.27,0.07,2.53,0.16,0.33,0.017,0.098,0.023
305,2015,1.01,0.1,2.91,0.1,0.26,0.009,0.08,0.023
305,2020,0.3,0.02,0.26,0.02,0.03,0.002,0.054,0.016
307,1995,1.54,0.28,1.63,0.2,0.23,0.01,0.061,0.027
307,2000,1.22,0.33,1.2,0.14,0.15,0.008,0.061,0.023
307,2005,1.46,0.33,1.17,0.17,0.12,0.007,0.094,0.019
307,2010,1.12,0.2,1.47,0.19,0.17,0.007,0.062,0.022
307,2015,0.94,0.21,1.89,0.17,0.18,0.007,0.06,0.02
307,2020,0.35,0.07,0.45,0.08,0.08,0.003,0.042,0.016
311,1995,1.57,0.19,1.52,0.22,0.26,0.008,0.053,0.02
311,2000,1.26,0.14,1.35,0.15,0.2,0.007,0.061,0.021
311,2005,1.53,0.16,1.56,0.22,0.21,0.009,0.054,0.019
311,2010,0.89,0.17,1.24,0.18,0.19,0.011,0.049,0.018
311,2015,0.58,0.16,1.31,0.13,0.15,0.006,0.05,0.015
311,2020,0.17,2.66,0.17,0.03,0.04,0.002,0.053,0.015
313,1995,0.88,0.32,0.95,0.12,0.15,0.005,0.071,0.025
313,2000,0.95,0.35,1.1,0.15,0.14,0.007,0.082,0.02
313,2005,0.87,0.34,1.0,0.16,0.1,0.006,0.081,0.016
313,2010,0.61,0.35,0.96,0.14,0.12,0.005,0.08,0.03
313,2015,0.38,0.22,0.91,0.1,0.08,0.005,0.07,0.024
313,2020,1.12,0.18,1.21,0.14,0.17,0.018,0.084,0.026
315,1995,0.99,0.28,0.87,0.15,0.13,0.008,0.055,0.025
315,2000,1.11,0.29,1.07,0.16,0.16,0.008,0.062,0.026
315,2005,0.91,0.33,0.91,0.2,0.17,0.01,0.067,0.021
315,2010,0.82,0.36,1.18,0.16,0.18,0.006,0.108,0.018
315,2015,0.64,0.25,1.04,0.13,0.15,0.006,0.08,0.026
315,2020,1.32,0.21,1.59,0.21,0.31,0.006,0.054,0.026
317,1995,2.23,0.21,2.59,0.18,0.51,0.009,0.156,0.039
317,2000,2.1,0.18,2.71,0.14,0.48,0.007,0.144,0.036
317,2005,2.28,0.15,2.8,0.17,0.36,0.009,0.116,0.032
317,2010,1.73,0.24,2.64,0.12,0.51,0.011,0.073,0.052
317,2015,1.55,0.18,2.28,0.13,0.46,0.008,0.06,0.033
317,2020,0.44,0.1,0.49,0.06,0.07,0.003,0.051,0.017
319,1995,1.4,0.41,1.5,0.25,0.23,0.009,0.093,0.032
319,2000,1.23,0.39,1.45,0.21,0.22,0.01,0.109,0.027
319,2005,1.27,0.47,1.48,0.22,0.2,0.008,0.1,0.031
319,2010,0.87,0.35,1.47,0.21,0.22,0.003,0.083,0.026
319,2015,0.68,0.32,1.35,0.17,0.18,0.004,0.09,0.024
319,2020,0.45,0.1,0.54,0.08,0.08,0.003,0.06,0.017
321,1995,0.64,0.1,0.64,0.09,0.1,0.005,0.04,0.018
321,2000,0.6,0.1,0.67,0.06,0.08,0.004,0.038,0.016
321,2005,0.56,0.06,0.57,0.06,0.07,0.005,0.05,0.02
321,2010,0.37,0.09,0.61,0.06,0.07,0.002,0.056,0.015
321,2015,0.33,0.07,0.59,0.04,0.06,0.003,0.05,0.016
321,2020,0.99,0.19,1.01,0.15,0.15,0.004,0.046,0.013
323,1995,0.37,0.09,0.44,0.03,0.04,0.005,0.085,0.021
323,2000,0.36,0.22,0.48,0.03,0.04,0.005,0.072,0.018
323,2005,0.35,0.06,0.46,0.02,0.02,0.002,0.069,0.022
323,2010,0.29,0.03,0.44,0.02,0.02,0.003,0.053,0.017
323,2015,0.31,0.02,0.52,0.03,0.03,0.005,0.04,0.017
323,2020,1.51,0.57,2.34,0.26,0.53,0.008,0.063,0.02
325,1995,0.73,0.1,0.78,0.12,0.11,0.007,0.035,0.029
325,2000,0.65,0.09,0.67,0.08,0.08,0.004,0.043,0.023
325,2005,0.56,0.11,0.66,0.09,0.07,0.006,0.051,0.02
325,2010,0.35,0.06,0.63,0.05,0.05,0.002,0.049,0.015
325,2015,0.45,0.07,0.66,0.07,0.06,0.006,0.05,0.016
325,2020,1.26,0.38,1.31,0.21,0.23,0.004,0.043,0.011
327,1995,0.63,0.08,0.55,0.11,0.07,0.007,0.054,0.019
327,2000,0.56,0.06,0.48,0.08,0.05,0.005,0.06,0.018
327,2005,0.69,0.05,0.46,0.08,0.03,0.004,0.046,0.025
327,2010,0.32,0.07,0.46,0.04,0.05,0.006,0.037,0.014
327,2015,0.32,0.23,0.57,0.04,0.07,0.005,0.04,0.025
327,2020,0.21,0.21,0.21,0.04,0.03,0.003,0.047,0.011
329,1995,1.16,0.13,1.2,0.18,0.21,0.01,0.06,0.019
329,2000,0.98,0.11,1.18,0.16,0.21,0.008,0.073,0.019
329,2005,0.8,0.09,1.11,0.13,0.16,0.007,0.06,0.021
329,2010,1.0,0.1,1.75,0.19,0.31,0.005,0.045,0.019
329,2015,1.01,0.13,1.62,0.18,0.29,0.005,0.04,0.02
329,2020,0.9,0.34,0.92,0.14,0.18,0.007,0.099,0.013
331,1995,0.81,0.25,0.83,0.1,0.13,0.009,0.089,0.025
331,2000,0.66,0.26,0.75,0.07,0.09,0.006,0.101,0.021
331,2005,0.79,0.26,0.86,0.1,0.07,0.009,0.095,0.027
331,2010,0.49,0.14,0.76,0.07,0.06,"<0,0008",0.069,0.019
331,2015,0.55,0.13,0.7,0.06,0.06,0.005,0.07,0.022
331,2020,0.78,1.01,1.08,0.22,0.23,0.006,0.069,0.016
333,1995,1.54,0.51,1.32,0.26,0.18,0.011,0.063,0.041
333,2000,1.86,0.4,1.27,0.2,0.14,0.005,0.07,0.039
333,2005,1.51,0.38,1.21,0.24,0.17,0.008,0.109,0.034
333,2010,0.48,0.17,0.92,0.21,0.07,"<0,0008",0.038,0.019
333,2015,0.74,0.17,0.75,0.12,0.08,0.006,0.04,0.024
333,2020,1.33,0.96,1.87,0.27,0.26,0.009,0.158,0.026
335,1995,2.15,4.0,2.39,0.49,1.57,0.028,0.094,0.04
335,2000,2.17,3.88,2.63,0.52,1.54,0.021,0.105,0.038
335,2005,2.27,3.65,2.11,0.59,1.56,0.015,0.116,0.05
335,2010,1.32,1.18,2.57,0.17,0.3,0.009,0.098,0.04
335,2015,1.35,1.33,2.28,0.25,0.34,0.011,0.11,0.043
335,2020,0.63,0.22,0.84,0.16,0.15,0.005,0.048,0.061
337,1995,0.89,0.13,0.75,0.12,0.14,0.01,0.026,0.022
337,2000,0.69,0.16,0.67,0.12,0.1,0.008,0.03,0.018
337,2005,0.69,0.28,0.77,0.13,0.1,0.009,0.037,0.025
337,2010,0.44,0.16,0.8,0.07,0.08,0.006,0.033,0.016
337,2015,0.62,0.14,0.65,0.08,0.08,0.006,0.03,0.024
337,2020,0.15,0.03,0.19,0.02,0.02,0.002,0.025,0.017
339,1995,0.73,0.3,0.69,0.07,0.1,0.007,0.012,0.023
339,2000,0.58,0.22,0.61,0.06,0.08,0.004,0.028,0.018
339,2005,0.65,0.21,0.47,0.08,0.07,0.006,0.04,0.024
339,2010,0.45,0.18,0.55,0.06,0.07,0.008,0.046,0.016
339,2015,0.41,0.15,0.53,0.05,0.06,0.004,0.04,0.019
339,2020,0.47,0.17,0.3,0.04,0.05,0.003,0.105,0.014
341,1995,0.44,0.06,0.3,0.05,0.04,0.006,0.02,0.022
341,2000,0.44,0.09,0.4,0.05,0.05,0.003,0.027,0.019
341,2005,0.36,0.33,0.38,0.05,0.06,0.007,0.043,0.017
341,2010,0.25,0.07,0.36,0.03,0.02,0.001,0.034,0.014
341,2015,0.29,0.07,0.3,0.04,0.03,0.003,0.03,0.017
341,2020,0.58,0.15,0.91,0.14,0.21,0.01,0.06,0.009
343,1995,0.48,0.47,0.78,0.08,0.14,0.006,0.068,0.019
343,2000,0.45,0.46,0.71,0.06,0.15,0.004,0.08,0.02
343,2005,0.46,0.47,0.71,0.08,0.23,0.008,0.09,0.019
343,2010,0.55,0.91,1.29,0.08,0.91,0.003,0.048,0.022
343,2015,0.46,1.34,1.23,0.06,0.78,0.004,0.05,0.027
343,2020,1.3,0.09,2.05,0.12,0.24,0.006,0.064,0.054
345,1995,1.01,0.27,0.84,0.12,0.1,0.005,0.061,0.028
345,2000,0.98,0.28,0.83,0.13,0.09,0.006,0.073,0.024
345,2005,0.89,0.28,0.72,0.12,0.07,0.006,0.068,0.026
345,2010,0.65,0.26,0.88,0.13,0.06,0.005,0.042,0.02
345,2015,0.44,0.28,0.65,0.07,0.05,0.002,0.04,0.019
345,2020,0.57,0.16,0.88,0.13,0.16,0.004,0.047,0.017
347,1995,1.15,0.18,1.02,0.14,0.19,0.008,0.074,0.022
347,2000,0.87,0.18,0.9,0.16,0.14,0.008,0.081,0.027
347,2005,0.81,0.22,0.96,0.12,0.11,0.01,0.108,0.029
347,2010,0.84,0.18,1.47,0.14,0.23,0.01,0.064,0.027
347,2015,0.9,0.22,1.34,0.14,0.22,0.006,0.08,0.02
347,2020,2.45,0.32,3.5,0.23,0.81,0.007,0.063,0.017
349,1995,1.18,0.2,1.01,0.15,0.14,0.01,0.071,0.039
349,2000,1.23,0.17,1.21,0.18,0.17,0.01,0.068,0.035
349,2005,1.15,0.19,1.14,0.18,0.12,0.014,0.069,0.028
349,2010,1.03,0.19,1.46,0.14,0.18,0.011,0.054,0.02
349,2015,1.0,0.13,1.25,0.13,0.17,0.005,0.05,0.016
349,2020,0.27,0.18,0.4,0.04,0.05,0.003,0.046,0.017
351,1995,1.35,0.16,1.1,0.12,0.15,0.009,0.095,0.031
351,2000,1.08,0.37,1.06,0.13,0.17,0.007,0.084,0.03
351,2005,1.11,0.21,1.12,0.17,0.13,0.015,0.083,0.027
351,2010,0.78,0.15,1.09,0.1,0.14,0.003,0.074,0.03
351,2015,1.29,0.23,1.31,0.15,0.19,0.01,0.07,0.022
351,2020,1.18,0.32,1.68,0.2,0.26,0.008,0.079,0.018
353,1995,1.23,1.45,2.18,0.21,0.24,0.018,0.166,0.049
353,2000,1.05,1.43,2.06,0.21,0.24,0.024,0.186,0.043
353,2005,0.93,1.42,2.24,0.25,0.22,0.02,0.175,0.037
353,2010,0.71,0.77,2.06,0.19,0.19,0.009,0.093,0.038
353,2015,0.93,0.76,1.98,0.16,0.21,0.009,0.08,0.027
353,2020,0.65,0.22,1.01,0.13,0.2,0.004,0.05,0.021
355,1995,1.71,0.5,1.54,0.26,0.27,0.011,0.071,0.032
355,2000,1.64,0.55,1.47,0.26,0.27,0.012,0.071,0.034
355,2005,1.54,0.46,1.58,0.31,0.22,0.019,0.077,0.034
355,2010,1.04,0.38,1.58,0.18,0.21,0.01,0.062,0.023
355,2015,1.16,0.41,1.55,0.19,0.23,0.006,0.06,0.017
355,2020,0.9,0.3,1.05,0.15,0.09,0.002,0.054,0.02
357,1995,0.69,0.15,0.64,0.11,0.1,0.005,0.029,0.019
357,2000,0.65,0.2,0.64,0.1,0.09,0.004,0.028,0.014
357,2005,0.51,0.18,0.6,0.1,0.07,0.008,0.048,0.019
357,2010,0.38,0.18,0.64,0.09,0.06,0.003,0.037,0.015
357,2015,0.55,0.15,0.69,0.11,0.09,0.005,0.03,0.015
357,2020,0.71,0.1,0.31,0.09,0.15,0.004,0.08,0.012
359,1995,0.85,0.15,0.97,0.17,0.1,0.005,0.035,0.018
359,2000,0.72,0.13,0.84,0.13,0.08,0.004,0.04,0.018
359,2005,0.77,0.13,1.01,0.16,0.1,0.006,0.038,0.016
359,2010,0.45,0.09,0.83,0.08,0.06,0.002,0.027,0.013
359,2015,0.46,0.1,0.58,0.08,0.06,0.005,0.04,0.023
359,2020,2.32,1.55,3.57,0.27,0.76,0.012,0.047,0.014
361,1995,0.57,0.03,0.53,0.06,0.05,0.002,0.058,0.018
361,2000,0.51,0.04,0.49,0.06,0.05,0.004,0.068,0.018
361,2005,0.41,0.03,0.43,0.05,0.03,0.004,0.051,0.017
361,2010,0.24,0.02,0.47,0.03,0.03,0.002,0.03,0.012
361,2015,0.31,0.02,0.39,0.03,0.03,0.002,0.04,0.012
361,2020,0.67,0.19,0.84,0.08,0.11,0.003,0.037,0.008
363,1995,1.0,0.05,1.0,0.12,0.17,0.007,0.045,0.027
363,2000,0.87,0.04,1.13,0.1,0.13,0.009,0.046,0.024
363,2005,0.95,0.04,1.13,0.12,0.11,0.01,0.062,0.02
363,2010,0.83,0.06,1.13,0.08,0.13,0.004,0.049,0.02
363,2015,0.76,0.07,1.22,0.11,0.16,0.009,0.06,0.016
363,2020,0.44,0.18,0.66,0.16,0.12,0.006,0.046,0.021
365,1995,1.36,0.2,1.39,0.19,0.29,0.007,0.08,0.027
365,2000,1.34,0.28,1.58,0.2,0.29,0.009,0.075,0.029
365,2005,1.16,0.2,1.53,0.19,0.22,0.013,0.088,0.023
365,2010,1.45,0.33,2.73,0.26,0.43,0.008,0.113,0.021
365,2015,1.67,0.46,3.16,0.22,0.53,0.007,0.09,0.023
365,2020,0.71,0.19,0.8,0.13,0.13,0.005,0.041,0.023
367,1995,0.39,0.03,0.44,0.09,0.06,0.005,0.046,0.016
367,2000,0.26,0.05,0.32,0.06,0.04,0.003,0.055,0.018
367,2005,0.21,0.06,0.41,0.05,0.03,0.003,0.048,0.016
367,2010,0.2,0.05,0.33,0.05,0.04,0.004,0.033,0.011
367,2015,0.18,0.03,0.31,0.04,0.03,0.003,0.03,0.012
367,2020,0.6,0.25,0.72,0.1,0.09,0.004,0.045,0.008
369,1995,0.3,0.02,0.31,0.06,0.05,0.003,0.032,0.012
369,2000,0.3,0.05,0.45,0.05,0.05,0.003,0.03,0.013
369,2005,0.32,0.07,0.37,0.07,0.04,0.004,0.036,0.012
369,2010,0.15,0.05,0.4,0.04,0.04,0.003,0.027,0.008
369,2015,0.18,0.04,0.28,0.05,0.04,0.005,0.02,0.008
369,2020,0.57,0.13,0.74,0.12,0.11,0.004,0.048,0.005
371,1995,0.97,0.47,0.85,0.17,0.18,0.008,0.098,0.024
371,2000,0.6,0.39,0.72,0.13,0.14,0.005,0.091,0.019
371,2005,0.8,0.33,1.13,0.22,0.2,0.01,0.086,0.022
371,2010,0.8,0.34,1.44,0.21,0.22,0.006,0.074,0.028
371,2015,0.64,0.32,1.45,0.2,0.21,0.005,0.07,0.028
371,2020,1.24,0.28,1.55,0.22,0.25,0.005,0.055,0.033
373,1995,0.88,0.13,0.82,0.13,0.14,0.006,0.058,0.019
373,2000,0.97,0.12,1.03,0.16,0.13,0.005,0.07,0.021
373,2005,0.95,0.2,0.96,0.17,0.13,0.011,0.075,0.022
373,2010,0.36,0.07,0.61,0.11,0.06,0.003,0.048,0.014
373,2015,0.38,0.07,0.59,0.06,0.06,0.005,0.04,0.014
373,2020,0.31,0.08,0.45,0.02,0.03,0.001,0.035,0.012
375,1995,1.38,0.25,1.17,0.18,0.24,0.008,0.045,0.017
375,2000,1.27,0.3,1.27,0.19,0.23,0.007,0.053,0.016
375,2005,1.11,0.22,1.07,0.13,0.17,0.006,0.047,0.019
375,2010,0.71,0.23,1.09,0.11,0.17,0.006,0.034,0.015
375,2015,0.84,0.21,1.14,0.14,0.16,0.009,0.03,0.017
375,2020,1.01,0.49,1.24,0.18,0.18,0.005,0.087,0.032
377,1995,1.73,0.21,2.47,0.15,0.21,0.006,0.086,0.032
377,2000,1.93,0.2,2.28,0.17,0.22,0.01,0.106,0.03
377,2005,2.59,0.22,3.04,0.27,0.17,0.012,0.107,0.031
377,2010,1.1,0.14,1.92,0.08,0.14,0.011,0.057,0.025
377,2015,0.79,0.28,1.67,0.06,0.11,0.004,0.06,0.023
377,2020,0.63,0.16,0.88,0.11,0.11,0.003,0.035,0.019
379,1995,0.51,0.07,0.48,0.07,0.07,0.006,0.053,0.025
379,2000,0.41,0.03,0.45,0.04,0.05,0.006,0.064,0.024
379,2005,0.36,0.09,0.43,0.03,0.04,0.004,0.055,0.017
379,2010,0.32,0.06,0.44,0.04,0.05,0.004,0.051,0.015
379,2015,0.27,0.05,0.44,0.03,0.04,0.002,0.05,0.014
379,2020,0.34,0.09,0.39,0.07,0.07,0.004,0.039,0.008
381,1995,1.26,0.33,1.15,0.21,0.21,0.006,0.085,0.021
381,2000,1.14,0.39,1.27,0.24,0.21,0.01,0.089,0.026
381,2005,0.95,0.46,1.05,0.18,0.2,0.007,0.108,0.026
381,2010,0.71,0.3,0.95,0.12,0.14,0.008,0.111,0.022
381,2015,0.71,0.27,1.21,0.13,0.15,0.009,0.09,0.022
381,2020,1.44,0.34,1.83,0.11,0.17,0.005,0.078,0.024
383,1995,0.94,0.26,0.89,0.13,0.13,0.007,0.076,0.031
383,2000,0.83,0.22,0.9,0.09,0.11,0.008,0.063,0.028
383,2005,0.81,0.23,0.8,0.06,0.1,0.005,0.055,0.029
383,2010,0.46,0.18,0.84,0.05,0.08,0.005,0.041,0.02
383,2015,0.37,0.16,0.7,0.05,0.08,0.005,0.04,0.022
383,2020,0.56,0.09,0.7,0.07,0.08,0.003,0.046,0.015
385,1995,0.4,0.03,0.45,0.04,0.04,0.003,0.069,0.016
385,2000,0.36,0.04,0.5,0.04,0.04,0.005,0.067,0.014
385,2005,0.33,0.05,0.5,0.04,0.03,0.005,0.071,0.019
385,2010,0.24,0.03,0.48,0.02,0.03,0.007,0.041,0.014
385,2015,0.2,0.01,0.47,0.01,0.03,0.003,0.03,0.013
385,2020,0.41,0.1,0.54,0.04,0.06,0.003,0.036,0.008
387,1995,0.88,0.15,0.94,0.16,0.16,0.006,0.083,0.025
387,2000,0.91,0.16,1.01,0.14,0.15,0.01,0.078,0.02
387,2005,0.82,0.14,0.87,0.12,0.17,0.006,0.076,0.02
387,2010,0.64,0.13,0.91,0.13,0.13,0.005,0.058,0.016
387,2015,0.6,0.1,0.95,0.11,0.14,0.009,0.06,0.016
387,2020,0.55,0.24,0.52,0.07,0.11,0.003,0.064,0.011
389,1995,0.83,0.11,0.75,0.13,0.13,0.005,0.049,0.025
389,2000,0.8,0.15,0.89,0.12,0.12,0.008,0.048,0.02
389,2005,0.89,0.11,0.77,0.13,0.1,0.008,0.062,0.019
389,2010,0.62,0.11,0.88,0.12,0.11,0.006,0.052,0.015
389,2015,0.73,0.18,1.05,0.16,0.16,0.01,0.06,0.016
389,2020,0.57,0.3,0.64,0.07,0.1,0.006,0.067,0.015
393,1995,1.32,0.21,1.13,0.17,0.13,0.009,0.031,0.029
393,2000,0.98,0.19,1.08,0.14,0.13,0.008,0.034,0.02
