point_id,year,Al [%],Ca [%],Fe [%],K [%],Mg [%],Na [%],P [%],S [%]
39,2005,0.89,0.13,0.94,0.08,0.08,0.007,0.063,0.022
39,2010,0.53,0.15,0.79,0.08,0.11,0.006,0.055,0.018
39,2015,0.5,0.14,0.81,0.06,0.1,0.007,0.05,0.02
39,2020,1.43,0.2,1.92,0.13,0.32,0.005,0.042,0.017
41,1995,1.09,2.6,2.29,0.22,0.33,0.024,0.165,0.066
41,2000,0.97,2.69,2.32,0.2,0.29,0.024,0.152,0.058
41,2005,0.94,2.87,2.53,0.21,0.3,0.018,0.165,0.062
41,2010,0.56,1.67,2.15,0.09,0.21,0.008,0.125,0.055
41,2015,0.44,2.02,1.96,0.05,0.21,0.006,0.12,0.048
41,2020,0.65,0.15,0.77,0.07,0.07,0.004,0.066,0.05
43,1995,1.15,0.85,1.11,0.27,0.27,0.015,0.074,0.03
43,2000,0.98,1.01,1.23,0.25,0.26,0.014,0.08,0.033
43,2005,0.88,0.86,1.23,0.18,0.2,0.009,0.093,0.036
43,2010,0.63,0.27,1.2,0.16,0.25,0.006,0.06,0.029
43,2015,0.64,1.42,0.98,0.15,0.24,0.007,0.06,0.028
43,2020,0.7,0.1,0.42,0.09,0.08,0.003,0.022,0.038
45,1995,0.84,0.11,0.73,0.1,0.09,0.008,0.096,0.015
45,2000,0.69,0.09,0.66,0.07,0.09,0.006,0.096,0.016
45,2005,0.61,0.1,0.72,0.07,0.07,0.01,0.106,0.02
45,2010,0.42,0.08,0.73,0.06,0.08,0.003,0.072,0.029
45,2015,0.38,0.24,0.6,0.03,0.07,0.004,0.08,0.03
45,2020,0.83,0.13,0.94,0.13,0.15,0.004,0.049,0.027
47,1995,0.78,0.27,0.83,0.1,0.13,0.008,0.052,0.011
47,2000,0.67,0.24,0.82,0.1,0.12,0.008,0.046,0.014
47,2005,0.72,0.2,0.83,0.1,0.1,0.016,0.051,0.016
47,2010,0.53,0.07,0.79,0.06,0.08,0.003,0.067,0.013
47,2015,0.41,0.05,0.61,0.0,0.06,0.003,0.04,0.013
47,2020,0.41,0.04,0.38,0.03,0.05,0.002,0.034,0.008
49,1995,0.41,0.07,0.41,0.08,0.06,0.007,0.046,0.02
49,2000,0.36,0.07,0.43,0.07,0.07,0.005,0.046,0.018
49,2005,0.38,0.08,0.47,0.07,0.07,0.009,0.048,0.014
49,2010,0.26,0.08,0.42,0.07,0.05,0.009,0.045,0.014
49,2015,0.19,0.06,0.35,0.04,0.04,0.004,0.05,0.014
49,2020,0.54,0.24,0.7,0.07,0.11,0.02,0.036,0.01
51,1995,0.62,0.16,0.69,0.14,0.11,0.01,0.041,0.015
51,2000,0.46,0.29,0.59,0.09,0.09,0.006,0.055,0.02
51,2005,0.38,0.33,0.59,0.11,0.09,0.007,0.054,0.015
51,2010,0.28,0.09,0.44,0.09,0.07,0.01,0.057,0.012
51,2015,0.2,0.1,0.45,0.05,0.06,0.004,0.06,0.02
51,2020,0.37,0.13,0.36,0.07,0.07,0.003,0.032,0.016
53,1995,0.3,0.11,0.38,0.05,0.07,0.007,0.019,0.026
53,2000,0.21,0.1,0.28,0.03,0.05,0.006,0.026,0.02
53,2005,0.2,0.1,0.29,0.03,0.04,0.006,0.03,0.015
53,2010,0.2,0.02,0.24,0.03,0.02,0.006,0.032,0.007
53,2015,0.12,0.01,0.25,0.01,0.02,0.003,0.03,0.009
53,2020,1.25,1.04,1.94,0.18,0.78,0.029,0.041,0.008
55,1995,3.37,0.75,3.36,1.0,0.75,0.021,0.04,0.039
55,2000,3.4,0.63,3.08,1.19,0.69,0.013,0.062,0.033
55,2005,3.02,0.72,2.86,0.98,0.69,0.01,0.091,0.035
55,2010,1.53,0.55,2.75,0.52,0.49,0.003,0.045,0.034
55,2015,1.6,0.7,2.59,0.53,0.54,0.006,0.06,0.044
55,2020,0.5,0.08,0.52,0.07,0.07,0.003,0.054,0.043
57,1995,2.4,0.65,2.6,0.42,0.67,0.015,0.075,0.032
57,2000,2.67,0.7,2.63,0.38,0.61,0.015,0.087,0.028
57,2005,2.4,0.77,2.56,0.3,0.6,0.013,0.1,0.031
