point_id,year,radioactivity [Bq*kg-1],soil_electrical_conductivity [mS*m-1],soil_salinity [mg KCl*100g-1]
97,2010,566.0,5.86,15.47
97,2015,552.0,4.77,12.59
97,2020,712.0,18.1818181,48.0
99,1995,428.0,12.88,33.2
99,2000,391.0,13.3,35.1
99,2005,404.0,9.1,24.1
99,2010,626.0,10.57,27.91
99,2015,250.0,29.01,76.59
99,2020,285,3.03,"<10,00"
101,1995,182.0,7.48,19.3
101,2000,268.0,10.9,28.8
101,2005,299.0,10.1,26.6
101,2010,333.0,5.8,15.32
101,2015,662.0,5.08,13.41
101,2020,432.0,18.560606,49.0
103,1995,464.0,4.04,10.7
103,2000,468.0,5.8,15.3
103,2005,492.0,6.8,18.1
103,2010,500.0,6.23,16.43
103,2015,633.0,7.15,18.88
103,2020,383.0,12.5,33.0
105,1995,546.0,7.66,19.7
105,2000,560.0,5.3,14.0
105,2005,573.0,7.0,18.6
105,2010,569.0,4.93,13.02
105,2015,543.0,5.36,14.15
105,2020,491,3.41,"<10,00"
107,1995,367.0,4.84,12.8
107,2000,395.0,6.3,16.6
107,2005,412.0,6.7,17.7
107,2010,460.0,5.83,15.4
107,2015,265.0,4.16,10.98
107,2020,372,"<1,00","<10,00"
111,1995,395.0,3.81,10.1
111,2000,397.0,2.8,7.4
111,2005,412.0,4.3,11.4
111,2010,575.0,5.53,14.6
111,2015,632.0,5.65,14.92
111,2020,406.0,17.8030303,47.0
113,1995,506.0,8.91,23.5
113,2000,498.0,9.7,25.6
113,2005,506.0,6.2,16.5
113,2010,488.0,4.84,12.77
113,2015,515.0,6.91,18.24
113,2020,432.0,15.9090909,42.0
115,1995,585.0,12.97,34.2
115,2000,591.0,9.3,24.6
115,2005,555.0,9.4,24.8
115,2010,552.0,7.83,20.68
115,2015,325.0,8.19,21.62
115,2020,477.0,12.5,33.0
117,1995,559.0,8.53,21.9
117,2000,652.0,6.5,17.2
117,2005,591.0,9.0,23.8
117,2010,794.0,10.81,28.53
117,2015,830.0,6.45,17.03
117,2020,561.0,7.95454545,21.0
119,1995,370.0,5.1,13.5
119,2000,449.0,6.3,16.6
119,2005,423.0,6.2,16.5
119,2010,698.0,8.01,21.14
119,2015,278.0,6.42,16.95
119,2020,415.0,12.1212121,32.0
121,1995,565.0,13.92,35.8
121,2000,486.0,17.2,45.4
121,2005,536.0,14.1,37.3
121,2010,556.0,9.9,26.14
121,2015,379.0,7.64,20.17
121,2020,455.0,13.6363636,36.0
123,1995,321.0,9.31,23.9
123,2000,415.0,6.3,16.6
123,2005,385.0,6.2,16.3
123,2010,461.0,12.1,31.94
123,2015,583.0,11.61,30.65
123,2020,463.0,9.46969696,25.0
125,1995,437.0,7.65,19.7
125,2000,520.0,6.3,16.6
125,2005,523.0,7.1,18.8
125,2010,648.0,12.1,31.94
125,2015,731.0,13.05,34.45
125,2020,472.0,12.8787878,34.0
127,1995,361.0,5.88,15.5
127,2000,306.0,5.3,13.9
127,2005,265.0,4.4,11.7
127,2010,557.0,4.84,12.76
127,2015,273.0,6.24,16.47
127,2020,225.0,12.5,33.0
129,1995,564.0,12.45,32.9
129,2000,576.0,9.9,26.3
129,2005,595.0,10.3,27.1
129,2010,517.0,7.5,19.8
129,2015,328.0,6.28,16.58
129,2020,385.0,11.7424242,31.0
131,1995,593.0,18.32,48.4
