point_id,year,available ammonium nitrogen[NNH4 mg*kg-1],available magnesium [mg Mg*100g-1],available nitrate nitrogen [NNO3 mg*kg-1],available phosphorus [mg P2O5* 100g-1],available potassium [mg K2O*100g-1],available sulphur [mg S-SO4*100g-1]
105,2010,,11.6,,3.6,11.5,0.69
105,2015,8.35,6.6,"<1,00",4.1,11.5,1.0
105,2020,2.4,11.8,4.1,12.6,24.5,1.4
107,1995,,4.3,,9.9,8.9,1.12
107,2000,,4.7,,8.6,6.4,1.25
107,2005,,4.7,,8.9,7.5,0.83
107,2010,,5.3,,10.5,11.0,1.16
107,2015,5.13,3.92,6.77,8.6,8.6,0.44
107,2020,2.2,3.3,17.5,6.5,4.8,2.8
111,1995,,3.2,,13.1,8.0,0.75
111,2000,,2.9,,12.2,11.9,1.0
111,2005,,3.8,,14.2,17.6,0.88
111,2010,,6.2,,13.9,13.1,0.97
111,2015,5.2,4.7,9.42,12.6,12.1,0.69
111,2020,4.9,6.2,32.4,14.2,9.1,2.7
113,1995,,4.1,,12.7,10.8,1.38
113,2000,,6.0,,15.3,13.1,1.25
113,2005,,7.0,,11.7,12.9,1.12
113,2010,,11.0,,10.4,6.4,1.71
113,2015,4.55,7.8,4.95,8.2,10.6,1.27
113,2020,2.2,5.3,33.3,12.7,12.5,2.9
115,1995,,12.7,,25.4,24.1,1.25
115,2000,,10.8,,18.7,18.3,1.25
115,2005,,12.6,,14.6,24.4,1.12
115,2010,,8.7,,13.9,26.9,1.38
115,2015,6.99,6.2,3.11,8.6,26.3,1.94
115,2020,2.9,9.7,42.4,6.7,11.2,3.8
117,1995,,7.4,,17.0,35.0,1.0
117,2000,,6.0,,15.8,29.4,0.75
117,2005,,5.8,,12.0,28.9,0.7
117,2010,,11.9,,16.4,20.4,0.9
117,2015,9.16,7.6,4.66,12.8,20.2,0.8
117,2020,2.3,10.0,34.2,11.4,10.0,2.1
119,1995,,2.6,,16.2,13.0,1.55
119,2000,,3.0,,19.2,13.3,1.35
119,2005,,4.2,,16.3,14.5,1.63
119,2010,,4.2,,14.2,17.3,1.5
119,2015,6.92,5.0,2.26,12.9,21.6,0.87
119,2020,2.2,1.3,22.3,12.7,10.0,4.1
121,1995,,3.0,,13.1,9.5,2.75
121,2000,,4.0,,19.6,16.9,2.88
121,2005,,5.2,,20.0,25.3,2.48
121,2010,,5.0,,22.3,23.5,1.32
121,2015,7.86,4.5,5.92,23.9,29.2,0.67
121,2020,28.3,4.9,39.8,17.8,37.2,1.3
123,1995,,3.7,,8.8,14.5,2.12
123,2000,,2.4,,8.4,10.1,1.77
123,2005,,2.6,,6.0,7.5,1.63
123,2010,,1.6,,42.0,18.4,3.64
123,2015,2.67,2.4,8.01,38.4,19.7,2.81
123,2020,2.2,2.6,33.3,34,12,"<1,00"
125,1995,,10.7,,9.0,9.5,1.25
125,2000,,9.0,,8.4,12.0,1.25
125,2005,,12.0,,6.5,10.2,1.11
125,2010,,13.0,,15.8,19.0,1.48
125,2015,8.32,9.8,25.46,16.5,20.2,1.73
125,2020,2.3,15.2,34.3,15.6,15.3,4.2
