point_id,year,BN-78/9180-11: 1.0-0.1 mm [%],BN-78/9180-11: 0.1-0.02 mm [%],BN-78/9180-11: < 0.02 mm [%],PTG 2008: 0.05-0.002 mm [%],PTG 2008: 2.0-0.05 mm [%],PTG 2008: < 0.002 mm [%]
93,2010,62.0,20.0,18.0,25.0,73.0,2.0
93,2015,60.0,26.0,14.0,24.0,74.0,2.0
93,2020,33.0,25.0,42.0,43.0,42.0,15.0
95,1995,68.0,20.0,12.0,,,4.0
95,2000,63.0,22.0,15.0,,,6.0
95,2005,66.0,19.0,15.0,,,3.0
95,2010,68.0,21.0,11.0,17.0,82.0,1.0
95,2015,64.0,26.0,10.0,17.0,80.0,3.0
95,2020,49.0,36.0,15.0,34.0,61.0,5.0
97,1995,55.0,23.0,22.0,,,7.0
97,2000,53.0,25.0,22.0,,,8.0
97,2005,54.0,23.0,23.0,,,5.0
97,2010,47.0,30.0,23.0,37.0,61.0,2.0
97,2015,39.0,32.0,29.0,36.0,54.0,10.0
97,2020,60.0,31.0,9.0,25.0,73.0,2.0
99,1995,74.0,16.0,10.0,,,1.0
99,2000,73.0,18.0,9.0,,,3.0
99,2005,74.0,15.0,11.0,,,2.0
99,2010,72.0,16.0,12.0,18.0,82.0,0.0
99,2015,71.0,17.0,12.0,18.0,81.0,1.0
99,2020,75.0,17.0,8.0,7.0,90.0,3.0
101,1995,92.0,3.0,5.0,,,1.0
101,2000,87.0,6.0,7.0,,,1.0
101,2005,87.0,6.0,7.0,,,1.0
101,2010,91.0,4.0,5.0,5.0,94.0,1.0
101,2015,90.0,6.0,4.0,6.0,94.0,0.0
101,2020,68.0,18.0,14.0,7.0,91.0,2.0
103,1995,63.0,24.0,13.0,,,3.0
103,2000,63.0,25.0,12.0,,,3.0
103,2005,65.0,20.0,15.0,,,2.0
103,2010,65.0,23.0,12.0,17.0,82.0,1.0
103,2015,66.0,23.0,11.0,16.0,82.0,2.0
103,2020,51.0,26.0,23.0,33.0,63.0,4.0
105,1995,57.0,23.0,20.0,,,6.0
105,2000,57.0,20.0,23.0,,,6.0
105,2005,57.0,20.0,23.0,,,4.0
105,2010,55.0,18.0,27.0,32.0,64.0,4.0
105,2015,56.0,21.0,23.0,31.0,66.0,3.0
105,2020,57.0,22.0,21.0,28.0,70.0,2.0
107,1995,74.0,17.0,9.0,,,2.0
107,2000,72.0,19.0,9.0,,,1.0
107,2005,71.0,18.0,11.0,,,2.0
107,2010,77.0,15.0,8.0,11.0,87.0,2.0
107,2015,76.0,16.0,8.0,13.0,86.0,1.0
107,2020,67.0,22.0,11.0,13.0,81.0,6.0
111,1995,63.0,20.0,17.0,,,5.0
111,2000,64.0,22.0,14.0,,,3.0
111,2005,65.0,19.0,16.0,,,4.0
111,2010,69.0,19.0,12.0,18.0,80.0,2.0
111,2015,63.0,24.0,13.0,19.0,79.0,2.0
111,2020,55.0,24.0,21.0,28.0,67.0,5.0
113,1995,63.0,21.0,16.0,,,6.0
113,2000,61.0,25.0,14.0,,,5.0
113,2005,61.0,22.0,17.0,,,5.0
113,2010,59.0,25.0,16.0,23.0,75.0,2.0
