,Name,Code,Value,coordinates,lat,lon
153200170,"KLIMKOWO,Poland",Wadąg (5844),155025,"(53.8127778, 20.8211111)",53.8127778, 20.8211111
153200090,"SZYPRY,Poland",Jez. Wadąg (5844959),15503,"(53.83371, 20.57289)",53.83371, 20.57289
153200120,"LELESZKI,Poland",Jez. Leleskie (5844819),15504,"(53.6350213, 20.8256193)",53.6350213, 20.8256193
153200110,"PASYM,Poland",Jez. Kalwa (584483399),15505,"(53.6521615, 20.7917422)",53.6521615, 20.7917422
153200100,"KOŚNO,Poland",Jez. Kośno (5844859),15506,"(53.1444444, 16.6747222)",53.1444444, 16.6747222
153200130,"KIKITY,Poland",Jez. Luterskie (584619),15507,"(53.9842905, 20.8587108)",53.9842905, 20.8587108
154209997,"SURYTY,Poland",Jez. Blanki (584679),15508,"(54.01716, 20.58598)",54.01716, 20.58598
154200040,"PIASECZNO,Poland",Elma (58474),15510,"(52.0747377, 21.0270885)",52.0747377, 21.0270885
154219998,"BIEDASZKI,Poland",Guber (5848),15520,"(54.2756892, 21.6292975)",54.2756892, 21.6292975
154210020,"PROSNA,Poland",Guber (5848),15530,"(51.5224735, 18.1319019)",51.5224735, 18.1319019
153210030,"KIERSZTANOWO,Poland",Jez. Juno (5848279),15531,"(53.9338976, 21.2619143)",53.9338976, 21.2619143
154219999,"BIEDASZKI,Poland",Dejna (58482),15540,"(54.2756892, 21.6292975)",54.2756892, 21.6292975
154210030,"BYKOWO,Poland",Sajna (58488),15550,"(54.2186935, 21.1112303)",54.2186935, 21.1112303
154210050,"LEŚNIEWO,Poland",Jez. Rydzówka (58498119),15551,"(52.8552181, 20.9392677)",52.8552181, 20.9392677
154219996,"HARSZ,Poland",Jez. Dargin (582159),15552,"(54.14219, 21.78688)",54.14219, 21.78688
154210060,"PRZYSTAŃ,Poland",Jez. Mamry (582199),15553,"(54.1998253, 21.6460086)",54.1998253, 21.6460086
154210070,"WĘGORZEWO,Poland",Węgorapa (582),15555,"(54.2138162, 21.7416569)",54.2138162, 21.7416569
154210080,"PRYNOWO,Poland",Węgorapa (582),15560,"(54.2474052, 21.6999651)",54.2474052, 21.6999651
154210100,"MIEDUNISZKI,Poland",Węgorapa (582),15570,"(54.3213437, 21.98207)",54.3213437, 21.98207
154219994,"PRZERWANKI,Poland",Sapina (58218),15572,"(54.1307574, 21.9227746)",54.1307574, 21.9227746
154219995,"STRĘGIELEK,Poland",Sapina (58218),15580,"(54.174352, 21.8694526)",54.174352, 21.8694526
154220050,"JURKISZKI,Poland",Gołdapa (5824),15590,"(54.3110846, 22.3691567)",54.3110846, 22.3691567
154229999,"GOŁDAP,Poland",Jez. Gołdap (582439),15591,"(54.3080218, 22.3018802)",54.3080218, 22.3018802
154220040,"GOŁDAP,Poland",Gołdapa (5824),15600,"(54.3080218, 22.3018802)",54.3080218, 22.3018802
154220110,"GOŁDAP 2,Poland",Gołdapa (5824),15602,"(54.3080218, 22.3018802)",54.3080218, 22.3018802
154220010,"BANIE MAZURSKIE,Poland",Gołdapa (5824),15610,"(54.2456955, 22.0390966)",54.2456955, 22.0390966
154220100,"KLESZCZÓWEK,Poland",Szeszupa (68),15620,"(54.280455, 22.9093999)",54.280455, 22.9093999
154230010,"POSZESZUPIE,Poland",Szeszupa (68),15630,"(54.3358551, 23.0134034)",54.3358551, 23.0134034
154220080,"WRÓBEL,Poland",Jez. Hańcza (6413),15631,"(54.24137, 22.0565099)",54.24137, 22.0565099
154229996,"WRÓBEL,Poland",Czarna Hańcza (64),15640,"(54.24137, 22.0565099)",54.24137, 22.0565099
154220090,"BRÓD STARY,Poland",Czarna Hańcza (64),15645,"(54.1351893, 22.8811457)",54.1351893, 22.8811457
154229994,"SOBOLEWO,Poland",Czarna Hańcza (64),15650,"(54.0655499, 22.9927968)",54.0655499, 22.9927968
154230020,"WIGRY,Poland",Jez. Wigry (6439),15651,"(54.040515600000006, 23.125480166601555)",54.040515600000006, 23.125480166601555
154230030,"CZERWONY FOLWARK,Poland",Czarna Hańcza (64),15660,"(54.0670353, 23.1122748)",54.0670353, 23.1122748
153230120,"JAŁOWY RÓG,Poland",Czarna Hańcza (64),15670,"(53.8999828, 23.4052762)",53.8999828, 23.4052762
154239999,"TARTAK,Poland",Piertanka (6434),15680,"(53.3861111, 23.4394445)",53.3861111, 23.4394445
153230090,"SUCHA RZECZKA,Poland",Jez. Serwy (646219),15681,"(53.8916665, 23.1921208)",53.8916665, 23.1921208
154230040,"ZELWA,Poland",Marycha (648),15690,"(54.0264105, 23.4485063)",54.0264105, 23.4485063
149220170,"KROŚCIENKO,Poland",Strwiąż (76),15700,"(49.4783429, 22.6682494)",49.4783429, 22.6682494
149190240,"JABŁONKA,Poland",Czarna Orawa (8222),15710,"(51.9218076, 18.984034)",51.9218076, 18.984034
149190250,"JABŁONKA,Poland",Piekielnik (82224),15720,"(51.9218076, 18.984034)",51.9218076, 18.984034
